Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795080588, 397170, 4304, 5584, 4256
1707795080600, 397181, 4160, 5520, 4256
1707795080611, 397192, 4208, 5584, 4448
1707795080622, 397203, 4144, 5488, 4256
1707795080633, 397214, 4176, 5472, 4192
1707795080644, 397225, 4208, 5568, 4256
1707795080655, 397236, 4176, 5520, 4272
1707795080666, 397247, 4224, 5568, 4336
1707795080677, 397258, 4192, 5520, 4336
1707795080688, 397269, 4160, 5600, 4176
1707795080699, 397280, 4128, 5584, 4384
1707795080710, 397291, 4176, 5504, 4256
1707795080721, 397302, 4160, 5568, 4288
1707795080732, 397313, 4176, 5488, 4160
1707795080743, 397324, 4160, 5536, 4272
1707795080754, 397335, 4192, 5472, 4256
1707795080765, 397346, 4192, 5552, 4288
1707795080776, 397357, 4128, 5552, 4304
1707795080787, 397368, 4128, 5520, 4096
1707795080798, 397379, 4240, 5568, 4224
1707795080809, 397390, 4176, 5536, 4256
1707795080821, 397401, 4160, 5568, 4096
1707795080831, 397412, 4176, 5568, 4288
1707795080841, 397423, 4176, 5520, 4272
1707795080853, 397434, 4144, 5552, 4272
1707795080864, 397445, 4192, 5488, 4336
1707795080875, 397456, 4096, 5504, 4400
1707795080886, 397467, 4224, 5552, 4320
1707795080897, 397478, 4144, 5552, 4256
1707795080908, 397489, 4208, 5568, 4368
1707795080919, 397500, 4144, 5584, 4304
1707795080930, 397511, 4144, 5568, 4352
1707795080941, 397522, 4128, 5584, 4304
1707795080952, 397533, 4144, 5536, 4288
1707795080963, 397544, 4176, 5520, 4288
1707795080974, 397555, 4288, 5536, 4272
1707795080985, 397566, 4128, 5488, 4304
1707795080996, 397577, 4176, 5472, 4304
1707795081007, 397588, 4144, 5504, 4288
1707795081018, 397599, 4160, 5488, 4304
1707795081029, 397610, 4144, 5568, 4240
1707795081040, 397621, 4160, 5568, 4272
1707795081051, 397632, 4160, 5552, 4160
1707795081062, 397643, 4160, 5472, 4208
1707795081073, 397654, 4208, 5408, 4256
1707795081084, 397665, 4176, 5520, 4368
1707795081094, 397676, 4176, 5552, 4256
1707795081105, 397687, 4224, 5568, 4288
1707795081116, 397698, 4224, 5568, 4256
1707795081127, 397709, 4176, 5568, 4272
1707795081138, 397720, 4192, 5520, 4544
1707795081150, 397731, 4288, 5568, 4384
1707795081160, 397742, 4192, 5520, 4336
1707795081172, 397753, 4160, 5504, 4304
1707795081182, 397764, 4192, 5472, 4288
1707795081193, 397775, 4096, 5456, 4336
1707795081205, 397786, 4144, 5456, 4304
1707795081216, 397797, 4160, 5472, 4288
1707795081227, 397808, 4192, 5456, 4320
1707795081237, 397819, 4240, 5504, 4304
1707795081249, 397830, 4192, 5552, 4288
1707795081260, 397841, 4160, 5504, 4256
1707795081271, 397852, 4208, 5520, 4192
1707795081282, 397863, 4208, 5520, 4272
1707795081292, 397874, 4288, 5520, 4256
1707795081303, 397885, 4128, 5552, 4288
1707795081314, 397896, 4192, 5536, 4176
1707795081325, 397907, 4208, 5504, 4256
1707795081336, 397918, 4128, 5568, 4288
1707795081347, 397929, 4112, 5408, 4288
1707795081359, 397940, 4128, 5520, 4256
1707795081369, 397951, 4176, 5520, 4240
1707795081380, 397962, 4288, 5504, 4256
1707795081391, 397973, 4176, 5536, 4288
1707795081402, 397984, 4176, 5520, 4224
1707795081413, 397995, 4208, 5568, 4256
1707795081425, 398006, 4176, 5504, 4304
1707795081436, 398017, 4208, 5504, 4416
1707795081448, 398028, 4176, 5504, 4288
1707795081458, 398039, 4160, 5488, 4320
1707795081469, 398050, 4256, 5584, 4240
1707795081480, 398061, 4192, 5520, 4256
1707795081491, 398072, 4160, 5456, 4112
1707795081502, 398083, 4192, 5488, 4288
1707795081513, 398094, 4176, 5536, 4288
1707795081524, 398105, 4144, 5600, 4416
1707795081535, 398116, 4144, 5536, 4288
1707795081546, 398127, 4144, 5568, 4192
1707795081557, 398138, 4272, 5584, 4272
1707795081568, 398149, 4176, 5552, 4208
1707795081578, 398160, 4128, 5616, 4384
1707795081589, 398171, 4160, 5568, 4224
1707795081601, 398182, 4144, 5520, 4256
1707795081612, 398193, 4192, 5456, 4144
1707795081623, 398204, 4176, 5536, 4336
1707795081633, 398215, 4128, 5536, 4144
1707795081644, 398226, 3968, 5584, 4320
1707795081656, 398237, 4144, 5552, 4336
1707795081666, 398248, 4096, 5664, 4144
1707795081677, 398259, 4144, 5552, 4336
1707795081689, 398270, 4112, 5552, 4320
