Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707794766407, 82977, 6624, 3872, 3296
1707794766418, 82988, 6656, 3872, 3280
1707794766429, 82999, 6720, 3824, 3296
1707794766440, 83010, 6720, 3824, 3232
1707794766451, 83021, 6736, 3776, 3216
1707794766462, 83032, 6752, 3840, 3120
1707794766473, 83043, 6672, 3808, 3136
1707794766484, 83054, 6736, 3824, 3168
1707794766495, 83065, 6640, 3840, 3136
1707794766506, 83076, 6736, 3872, 3136
1707794766517, 83087, 6832, 3840, 3104
1707794766528, 83098, 6864, 3856, 3120
1707794766539, 83109, 6832, 3840, 3152
1707794766550, 83120, 6912, 3808, 3088
1707794766561, 83131, 6704, 3760, 3072
1707794766572, 83142, 6928, 3760, 3104
1707794766583, 83153, 6832, 3712, 3152
1707794766594, 83164, 6976, 3712, 3056
1707794766605, 83175, 7120, 3760, 3088
1707794766616, 83186, 7168, 3792, 3056
1707794766627, 83197, 7280, 3920, 3120
1707794766638, 83208, 7392, 4032, 3056
1707794766649, 83219, 7440, 4144, 3136
1707794766660, 83230, 7888, 4176, 2816
1707794766671, 83241, 7904, 4448, 3312
1707794766681, 83252, 7760, 4544, 3424
1707794766693, 83263, 8400, 4544, 3552
1707794766704, 83274, 8368, 4624, 3312
1707794766715, 83285, 8560, 4672, 3280
1707794766726, 83296, 8576, 4752, 3168
1707794766737, 83307, 8512, 4880, 2816
1707794766747, 83318, 8288, 4848, 2736
1707794766758, 83329, 8192, 4656, 2576
1707794766769, 83340, 8144, 4352, 2336
1707794766781, 83351, 7520, 4048, 2240
1707794766792, 83362, 7056, 3728, 2112
1707794766803, 83373, 6992, 3264, 2304
1707794766814, 83384, 6112, 2768, 2352
1707794766825, 83395, 5584, 2304, 2448
1707794766836, 83406, 5296, 1888, 2208
1707794766847, 83417, 4848, 1680, 2128
1707794766858, 83428, 4400, 1312, 2208
1707794766869, 83439, 4240, 1184, 2256
1707794766880, 83450, 3824, 1024, 2272
1707794766891, 83461, 3280, 464, 2432
1707794766902, 83472, 2752, 160, 2560
1707794766913, 83483, 2560, -224, 2576
1707794766924, 83494, 2560, -544, 3232
1707794766935, 83505, 1872, -800, 3712
1707794766945, 83516, 784, -928, 4560
1707794766957, 83527, 320, -1296, 5008
1707794766968, 83538, -176, -1632, 5536
1707794766979, 83549, -288, -1664, 6576
1707794766990, 83560, -1280, -1648, 7824
