Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707794942477, 259054, 8560, 48, 736
1707794942488, 259065, 8624, 48, 768
1707794942499, 259076, 8416, 64, 784
1707794942510, 259087, 8448, 32, 560
1707794942522, 259098, 8480, -32, 784
1707794942532, 259109, 8464, -16, 752
1707794942544, 259120, 8480, 32, 752
1707794942555, 259131, 8448, 16, 736
1707794942566, 259142, 8384, 80, 752
1707794942576, 259153, 8480, 80, 704
1707794942587, 259164, 8320, 32, 704
1707794942598, 259175, 8368, -32, 1008
1707794942609, 259186, 8480, -80, 800
1707794942620, 259197, 8336, -80, 784
1707794942631, 259208, 8304, -32, 704
1707794942642, 259219, 8272, 32, 800
1707794942653, 259230, 8288, 48, 752
1707794942664, 259241, 8240, 48, 816
1707794942676, 259252, 8304, 32, 768
1707794942687, 259263, 8304, 0, 784
1707794942698, 259274, 8400, 16, 800
1707794942709, 259285, 8400, -64, 816
1707794942720, 259296, 8384, -32, 720
1707794942731, 259307, 8368, -32, 880
1707794942742, 259318, 8336, -48, 848
1707794942753, 259329, 8384, 0, 864
1707794942764, 259340, 8368, 16, 848
1707794942775, 259351, 8496, 16, 848
1707794942786, 259362, 8688, 32, 880
1707794942796, 259373, 8560, 64, 880
1707794942807, 259384, 8624, 48, 752
1707794942818, 259395, 8640, 112, 960
1707794942830, 259406, 8576, 64, 960
1707794942841, 259417, 8448, 80, 1168
1707794942852, 259428, 8512, 64, 944
1707794942862, 259439, 8336, 0, 960
1707794942873, 259450, 8224, -32, 944
1707794942885, 259461, 8144, -64, 960
1707794942896, 259472, 7952, -96, 944
1707794942907, 259483, 7424, -112, 1088
1707794942918, 259494, 6816, -192, 1136
1707794942929, 259505, 6384, -416, 1024
1707794942940, 259516, 6272, -720, 880
1707794942951, 259527, 5776, -976, 928
1707794942962, 259538, 5312, -1360, 1040
1707794942973, 259549, 5328, -1856, 1232
1707794942984, 259560, 4112, -2128, 1264
1707794942995, 259571, 3392, -2480, 1168
1707794943006, 259582, 2576, -2800, 1728
1707794943017, 259593, 1824, -2496, 1344
1707794943028, 259604, 960, -2528, 1328
1707794943039, 259615, 480, -2272, 1344
1707794943050, 259626, -272, -2240, 2704
1707794943060, 259637, -48, -1248, 1552
1707794943071, 259648, -80, -192, 1616
1707794943082, 259659, -224, 224, 1824
1707794943093, 259670, -240, 1744, 2768
1707794943104, 259681, -96, 3920, 3488
1707794943115, 259692, 608, 5520, 4352
1707794943127, 259703, 720, 6144, 4320
1707794943138, 259714, 3120, 6080, 4208
1707794943149, 259725, 2560, 7136, 4064
1707794943160, 259736, 2496, 8048, 3392
1707794943171, 259747, 2656, 8624, 3360
1707794943182, 259758, 2592, 9328, 3216
1707794943193, 259769, 2592, 10112, 3600
1707794943204, 259780, 2832, 10816, 4240
1707794943215, 259791, 3552, 11216, 5040
1707794943226, 259802, 4144, 11424, 5392
1707794943237, 259813, 4576, 11296, 5824
1707794943248, 259824, 4768, 11152, 6288
1707794943259, 259835, 4912, 11344, 6688
1707794943270, 259846, 5040, 11616, 7056
1707794943281, 259857, 4976, 12000, 7008
1707794943292, 259868, 4784, 12304, 6816
1707794943303, 259879, 4576, 12432, 6640
1707794943314, 259890, 4512, 12416, 6224
1707794943325, 259901, 4992, 12544, 6128
1707794943336, 259912, 5232, 12928, 6000
1707794943347, 259923, 5424, 13184, 5664
1707794943358, 259934, 5472, 13392, 5136
1707794943369, 259945, 5408, 13584, 4336
1707794943380, 259956, 5584, 13664, 4064
1707794943391, 259967, 5728, 13952, 3792
1707794943402, 259978, 6112, 14608, 3584
1707794943413, 259989, 6432, 15312, 3392
1707794943424, 260000, 6864, 15728, 2944
1707794943435, 260011, 7840, 16400, 2912
1707794943446, 260022, 8064, 15744, 2736
1707794943457, 260033, 7200, 14704, 1552
1707794943468, 260044, 7088, 13424, 688
1707794943479, 260055, 4928, 12512, -560
1707794943490, 260066, 3664, 11664, -2016
1707794943501, 260077, 2048, 11056, -4064
1707794943512, 260088, 1168, 11440, -6448
1707794943523, 260099, 1104, 11968, -10256
1707794943534, 260110, 2752, 12704, -12256
1707794943545, 260121, 3904, 11920, -13232
1707794943556, 260132, 4048, 11920, -13408
1707794943567, 260143, 3920, 11664, -11552
1707794943578, 260154, 3344, 11440, -9504
1707794943589, 260165, 2544, 10928, -9760
1707794943600, 260176, 2256, 10928, -10096
1707794943611, 260187, 1568, 9808, -10880
1707794943622, 260198, 1120, 9280, -11520
1707794943633, 260209, 1104, 8384, -12304
1707794943644, 260220, 1104, 7584, -13008
1707794943654, 260231, 640, 7072, -13424
1707794943665, 260242, 96, 6688, -13360
1707794943676, 260253, 80, 6864, -12912
1707794943688, 260264, 576, 6688, -12400
1707794943699, 260275, 592, 6592, -12544
1707794943711, 260286, 1120, 5856, -12704
1707794943721, 260297, 848, 5952, -11968
1707794943732, 260308, 848, 5584, -11824
1707794943743, 260319, -112, 5056, -11280
1707794943754, 260330, -1152, 4240, -11488
1707794943765, 260341, -2320, 3872, -12032
1707794943776, 260352, -3296, 3536, -12848
1707794943787, 260363, -4736, 2960, -14208
1707794943798, 260374, -6432, 2896, -14928
1707794943809, 260385, -8160, 3360, -15840
1707794943820, 260396, -8720, 3488, -15408
1707794943831, 260407, -12912, 3360, -15280
1707794943842, 260418, -15536, 4048, -13824
1707794943853, 260429, -17184, 3072, -12800
1707794943864, 260440, -19968, 3824, -9648
1707794943875, 260451, -23376, 3696, -6528
1707794943886, 260462, -25840, 5520, -2720
1707794943897, 260473, -27808, 8384, 2080
1707794943908, 260484, -28048, 15744, 12720
1707794943919, 260495, -26976, 14848, 19248
1707794943930, 260506, -26704, 15216, 23376
1707794943941, 260517, -23632, 15952, 24352
1707794943952, 260528, -19360, 16240, 23472
1707794943963, 260539, -15712, 16368, 24288
1707794943974, 260550, -11344, 14736, 25808
1707794943985, 260561, -7040, 13056, 26672
1707794943996, 260572, -5952, 10480, 24880
1707794944007, 260583, 624, 8368, 21936
1707794944017, 260594, 2544, 6448, 17808
1707794944028, 260605, 2944, 5248, 15184
1707794944039, 260616, 3632, 4912, 13840
1707794944051, 260627, 3696, 4176, 14112
1707794944062, 260638, 3888, 2976, 15520
1707794944073, 260649, 3392, 1968, 16256
1707794944084, 260660, 3600, 240, 17360
1707794944095, 260671, 3536, -800, 17056
1707794944106, 260682, 3200, -1248, 15616
1707794944117, 260693, 3024, -1280, 13744
1707794944128, 260704, 1936, -1392, 12336
1707794944138, 260715, 2528, -880, 13248
1707794944149, 260726, 3152, -624, 12976
1707794944161, 260737, 2816, -816, 11744
1707794944172, 260748, 2736, -1104, 10128
1707794944183, 260759, 2912, -1760, 10752
1707794944194, 260770, 3280, -1776, 10560
1707794944205, 260781, 3264, -1328, 9840
1707794944216, 260792, 3728, -480, 9376
1707794944227, 260803, 3984, 736, 9168
1707794944238, 260814, 4032, 1344, 8880
1707794944249, 260825, 4128, 1600, 8928
1707794944260, 260836, 4128, 1472, 8800
1707794944271, 260847, 4400, 1264, 8448
1707794944282, 260858, 4384, 1104, 8160
1707794944293, 260869, 4592, 816, 7968
1707794944304, 260880, 4336, 544, 7808
1707794944315, 260891, 4336, 368, 7872
1707794944326, 260902, 4272, 528, 7632
1707794944337, 260913, 4480, 800, 7328
1707794944348, 260924, 4704, 1120, 6976
1707794944359, 260935, 4688, 1184, 6608
1707794944370, 260946, 4624, 1264, 6512
1707794944381, 260957, 4880, 1280, 6224
1707794944391, 260968, 4976, 1264, 6240
1707794944402, 260979, 5120, 1216, 6368
1707794944413, 260990, 4992, 1440, 6512
1707794944424, 261001, 5216, 1424, 6608
1707794944435, 261012, 5168, 1248, 6432
1707794944446, 261023, 5264, 1360, 6240
1707794944458, 261034, 4944, 1488, 5968
1707794944469, 261045, 5072, 1600, 5504
1707794944480, 261056, 5056, 1680, 5536
1707794944490, 261067, 5200, 1552, 5520
1707794944502, 261078, 5264, 1440, 5760
1707794944512, 261089, 5408, 1344, 5760
1707794944523, 261100, 5472, 1296, 5744
1707794944534, 261111, 5584, 1200, 5888
1707794944546, 261122, 5408, 1152, 5840
1707794944557, 261133, 5440, 1168, 5984
1707794944567, 261144, 5424, 1056, 5904
1707794944579, 261155, 5472, 1008, 5936
1707794944590, 261166, 5488, 992, 6000
1707794944601, 261177, 5408, 1040, 6128
1707794944612, 261188, 5328, 1168, 6064
1707794944623, 261199, 5296, 1104, 5984
1707794944634, 261210, 5264, 1072, 5824
1707794944645, 261221, 5232, 1120, 5968
1707794944656, 261232, 5264, 1136, 5856
1707794944667, 261243, 5264, 1104, 5984
1707794944677, 261254, 5216, 912, 6064
1707794944688, 261265, 5136, 848, 6480
1707794944699, 261276, 5200, 544, 6608
1707794944710, 261287, 4992, 416, 6656
1707794944722, 261298, 4896, 416, 6752
1707794944732, 261309, 4896, 400, 6704
1707794944744, 261320, 4896, 336, 6480
1707794944754, 261331, 5072, 384, 6416
1707794944765, 261342, 5088, 480, 6272
1707794944777, 261353, 4848, 400, 6176
1707794944788, 261364, 4848, 368, 6112
1707794944799, 261375, 4752, 416, 5808
1707794944810, 261386, 4912, 512, 5776
1707794944821, 261397, 4912, 656, 5824
1707794944832, 261408, 4848, 720, 5776
1707794944843, 261419, 4784, 752, 6064
1707794944854, 261430, 4864, 688, 5968
1707794944865, 261441, 4768, 848, 5488
1707794944876, 261452, 4880, 896, 5184
1707794944887, 261463, 5056, 816, 4928
1707794944898, 261474, 5184, 880, 4896
1707794944909, 261485, 5232, 1008, 4944
1707794944920, 261496, 5184, 1216, 5040
1707794944931, 261507, 5296, 1120, 4896
1707794944942, 261518, 5360, 1312, 4752
1707794944953, 261529, 5264, 1232, 4560
1707794944964, 261540, 5632, 992, 4464
1707794944975, 261551, 5952, 784, 4448
1707794944986, 261562, 6160, 576, 4528
1707794944996, 261573, 6384, 624, 4624
1707794945007, 261584, 6544, 864, 4736
1707794945019, 261595, 6592, 896, 4336
1707794945031, 261606, 6560, 880, 3904
1707794945040, 261617, 6624, 912, 3712
1707794945052, 261628, 6832, 896, 3952
1707794945063, 261639, 7136, 576, 4064
1707794945074, 261650, 7472, 112, 4096
1707794945084, 261661, 7504, 0, 4016
1707794945095, 261672, 7456, -64, 3920
1707794945106, 261683, 7504, -96, 3536
1707794945117, 261694, 7632, 64, 3392
1707794945128, 261705, 7872, 304, 3632
1707794945140, 261716, 7984, 512, 3616
1707794945151, 261727, 8160, 496, 3840
1707794945161, 261738, 8128, 448, 3728
1707794945173, 261749, 8192, 304, 3584
1707794945184, 261760, 8224, 304, 3440
1707794945195, 261771, 8240, 320, 3216
1707794945206, 261782, 8240, 416, 3264
1707794945216, 261793, 8240, 496, 3344
1707794945228, 261804, 8176, 832, 3616
1707794945238, 261815, 8176, 912, 3856
1707794945250, 261826, 8240, 976, 3936
1707794945261, 261837, 8320, 1040, 4032
1707794945272, 261848, 8240, 976, 3968
1707794945283, 261859, 8144, 944, 4048
1707794945294, 261870, 8096, 1024, 3936
1707794945305, 261881, 8208, 912, 3904
1707794945316, 261892, 8224, 992, 4080
1707794945327, 261903, 8240, 1024, 4368
1707794945338, 261914, 8192, 1200, 4640
1707794945349, 261925, 8192, 1328, 4672
1707794945360, 261936, 8128, 1296, 4672
1707794945371, 261947, 8128, 1200, 4672
1707794945382, 261958, 8016, 1088, 4576
1707794945393, 261969, 7968, 976, 4496
1707794945403, 261980, 7920, 832, 4432
1707794945414, 261991, 7776, 800, 4528
1707794945426, 262002, 7952, 736, 4592
1707794945437, 262013, 7856, 800, 4352
1707794945448, 262024, 7888, 848, 4400
1707794945458, 262035, 7744, 976, 4464
1707794945470, 262046, 7728, 1088, 4336
1707794945481, 262057, 7680, 1072, 4384
1707794945492, 262068, 7680, 1152, 4480
1707794945503, 262079, 7728, 1184, 4544
1707794945514, 262090, 7680, 1136, 4448
1707794945525, 262101, 7536, 1072, 4384
1707794945536, 262112, 7584, 1072, 4288
1707794945547, 262123, 7360, 1152, 4208
1707794945558, 262134, 7296, 1024, 4096
1707794945569, 262145, 7360, 1072, 4032
1707794945580, 262156, 7280, 1072, 4128
1707794945591, 262167, 7216, 1072, 4320
1707794945602, 262178, 7296, 1152, 4016
1707794945613, 262189, 7120, 1216, 4080
1707794945623, 262200, 7040, 1264, 3856
1707794945634, 262211, 6992, 1328, 4032
1707794945646, 262222, 6976, 1392, 4032
1707794945657, 262233, 7008, 1456, 4224
