Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795384199, 700781, 8176, 672, 880
1707795384211, 700792, 8240, 736, 784
1707795384221, 700803, 8208, 800, 800
1707795384233, 700814, 8288, 832, 688
1707795384243, 700825, 8320, 816, 736
1707795384255, 700836, 8368, 992, 752
1707795384265, 700847, 8368, 976, 784
1707795384277, 700858, 8432, 1088, 672
1707795384287, 700869, 8432, 1072, 736
1707795384298, 700880, 8432, 1072, 640
1707795384310, 700891, 8384, 992, 592
1707795384320, 700902, 8384, 992, 528
1707795384331, 700913, 8416, 1040, 528
1707795384342, 700924, 8448, 992, 432
1707795384353, 700935, 8368, 1040, 432
1707795384365, 700946, 8352, 1056, 272
1707795384375, 700957, 8336, 1040, 544
1707795384387, 700968, 8320, 976, 560
1707795384397, 700979, 8320, 1088, 608
1707795384409, 700990, 8336, 1040, 624
1707795384419, 701001, 8336, 1072, 544
1707795384430, 701012, 8416, 1040, 592
1707795384441, 701023, 8288, 1040, 528
1707795384452, 701034, 8320, 1104, 480
1707795384464, 701045, 8336, 1120, 432
1707795384474, 701056, 8320, 1184, 464
1707795384485, 701067, 8320, 1152, 432
1707795384496, 701078, 8320, 1200, 384
1707795384507, 701089, 8336, 1232, 688
1707795384518, 701100, 8336, 1248, 528
1707795384529, 701111, 8400, 1152, 512
1707795384540, 701122, 8336, 1072, 496
1707795384551, 701133, 8256, 1088, 576
1707795384563, 701144, 8288, 1088, 608
1707795384573, 701155, 8288, 1120, 608
1707795384584, 701166, 8240, 1184, 624
1707795384595, 701177, 8208, 1200, 688
1707795384606, 701188, 8304, 1344, 560
1707795384617, 701199, 8144, 1392, 640
1707795384628, 701210, 8032, 1456, 768
1707795384640, 701221, 7888, 1456, 608
1707795384650, 701232, 7776, 1568, 672
1707795384661, 701243, 7616, 1648, 768
1707795384672, 701254, 7024, 1760, 816
1707795384683, 701265, 6688, 1936, 1008
1707795384694, 701276, 6576, 2144, 880
1707795384705, 701287, 5888, 2256, 816
1707795384716, 701298, 5472, 2384, 704
1707795384727, 701309, 5264, 2400, 752
1707795384738, 701320, 5024, 2432, 656
1707795384749, 701331, 5072, 2384, 656
1707795384760, 701342, 4688, 2304, 624
1707795384771, 701353, 4720, 2192, 544
1707795384783, 701364, 4704, 2000, 480
1707795384794, 701375, 4912, 2048, 608
1707795384805, 701386, 5120, 2064, 560
1707795384816, 701397, 5488, 2112, 704
1707795384826, 701408, 5680, 1984, 720
1707795384837, 701419, 5680, 1696, 848
1707795384848, 701430, 6352, 1584, 944
1707795384859, 701441, 6544, 1520, 1328
1707795384870, 701452, 6736, 1568, 1152
1707795384881, 701463, 7248, 1824, 1072
1707795384893, 701474, 7744, 2368, 1168
1707795384903, 701485, 8176, 2800, 1088
1707795384914, 701496, 8720, 3392, 928
1707795384926, 701507, 8880, 3888, 944
1707795384936, 701518, 9472, 4144, 1072
1707795384947, 701529, 9536, 3984, 1296
1707795384958, 701540, 9520, 4000, 992
1707795384969, 701551, 9712, 3936, 800
1707795384980, 701562, 9840, 3712, 448
1707795384992, 701573, 9904, 3584, 352
1707795385003, 701584, 10192, 3552, 400
1707795385014, 701595, 10288, 3312, 496
1707795385024, 701606, 10256, 3312, 512
1707795385036, 701617, 10448, 3136, 448
1707795385047, 701628, 10432, 3104, 192
1707795385058, 701639, 10720, 3040, 112
1707795385069, 701650, 10896, 3008, 80
1707795385080, 701661, 11168, 2992, 176
1707795385091, 701672, 11328, 2928, 304
1707795385102, 701683, 11440, 2704, 512
1707795385112, 701694, 11488, 2720, 544
1707795385123, 701705, 11680, 2544, 720
1707795385134, 701716, 11728, 2528, 480
1707795385145, 701727, 11712, 2352, 592
1707795385156, 701738, 11376, 1952, 512
1707795385168, 701749, 11648, 1632, 576
1707795385179, 701760, 12080, 1472, 1072
1707795385190, 701771, 11888, 768, 1392
1707795385200, 701782, 11824, 416, 1744
1707795385212, 701793, 12784, -224, 2432
1707795385223, 701804, 12912, -816, 2960
1707795385234, 701815, 13680, -1888, 3488
1707795385245, 701826, 14128, -2752, 4080
1707795385256, 701837, 14512, -4048, 4352
1707795385267, 701848, 14720, -5104, 4784
1707795385278, 701859, 14896, -5872, 5184
1707795385289, 701870, 15568, -6064, 5088
1707795385300, 701881, 16160, -5840, 5168
1707795385311, 701892, 16352, -5392, 5008
