Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707794805786, 122357, 4496, 6096, 3248
1707794805797, 122368, 4544, 6032, 3200
1707794805808, 122379, 4544, 6000, 3088
1707794805819, 122390, 4432, 5840, 3152
1707794805830, 122401, 4416, 5840, 3136
1707794805841, 122412, 4512, 5888, 3072
1707794805852, 122423, 4528, 5920, 3024
1707794805863, 122434, 4496, 5888, 3312
1707794805874, 122445, 4576, 5936, 3120
1707794805885, 122456, 4544, 5856, 3056
1707794805896, 122467, 4496, 5968, 2848
1707794805907, 122478, 4528, 6000, 2992
1707794805918, 122489, 4560, 6032, 2960
1707794805929, 122500, 4576, 6064, 3024
1707794805940, 122511, 4640, 6096, 3072
1707794805951, 122522, 4624, 6032, 3184
1707794805962, 122533, 4688, 6048, 3104
1707794805973, 122544, 4848, 6064, 3072
1707794805983, 122555, 4896, 6128, 2848
1707794805994, 122566, 4832, 6112, 3152
1707794806005, 122577, 5056, 6048, 3232
1707794806017, 122588, 5120, 5936, 3168
1707794806028, 122599, 5232, 5920, 3344
1707794806039, 122610, 5328, 5984, 3280
1707794806050, 122621, 5312, 6256, 3136
1707794806061, 122632, 5744, 6288, 2992
1707794806072, 122643, 5920, 6304, 3088
1707794806083, 122654, 5952, 6384, 3328
1707794806093, 122665, 6224, 6336, 3600
1707794806104, 122676, 6576, 6480, 3952
1707794806116, 122687, 6560, 6368, 4640
1707794806127, 122698, 6624, 6176, 5184
1707794806137, 122709, 6384, 6096, 6112
1707794806149, 122720, 6592, 5776, 6448
1707794806159, 122731, 6464, 5536, 7296
1707794806170, 122742, 6400, 5408, 7584
1707794806181, 122753, 6112, 5168, 8272
1707794806192, 122764, 5920, 4912, 9184
1707794806204, 122775, 5936, 4384, 9840
1707794806215, 122786, 5696, 4144, 10560
1707794806226, 122797, 4912, 3536, 10336
1707794806236, 122808, 4752, 3168, 10384
1707794806248, 122819, 4272, 3152, 10288
1707794806259, 122830, 4128, 3152, 10048
1707794806270, 122841, 4000, 3216, 9824
1707794806280, 122852, 3680, 3280, 9280
1707794806291, 122863, 3504, 3168, 8992
1707794806303, 122874, 3504, 3168, 8592
1707794806313, 122885, 3440, 3344, 8496
1707794806325, 122896, 3344, 3344, 8176
1707794806336, 122907, 3264, 3296, 8144
1707794806346, 122918, 2960, 3264, 8000
1707794806357, 122929, 2880, 3040, 7616
1707794806368, 122940, 3040, 2784, 7280
1707794806380, 122951, 3040, 2672, 7088
1707794806391, 122962, 2720, 2544, 6768
1707794806402, 122973, 2832, 2272, 6656
1707794806412, 122984, 2880, 2208, 6304
1707794806424, 122995, 2560, 2112, 5920
1707794806434, 123006, 2256, 2224, 5488
1707794806446, 123017, 1936, 2304, 5120
1707794806456, 123028, 2128, 2464, 5104
1707794806467, 123039, 2320, 2720, 5056
1707794806478, 123050, 2384, 2736, 4944
1707794806490, 123061, 2256, 2720, 4432
1707794806500, 123072, 2400, 2640, 4384
1707794806511, 123083, 2160, 2416, 3920
1707794806523, 123094, 1680, 2144, 3248
1707794806533, 123105, 1728, 1904, 2704
1707794806544, 123116, 1840, 1696, 2416
1707794806555, 123127, 1616, 2128, 1472
1707794806566, 123138, 800, 1792, 2336
1707794806577, 123149, 720, 1824, 1600
1707794806588, 123160, 736, 1984, 1248
1707794806600, 123171, 384, 2624, 896
1707794806610, 123182, 304, 3840, 416
1707794806621, 123193, 368, 4640, 288
1707794806633, 123204, 752, 5536, -384
1707794806644, 123215, 1840, 5872, -752
1707794806655, 123226, 2608, 6256, -1536
1707794806666, 123237, 3552, 6880, -2096
1707794806677, 123248, 4304, 7696, -2672
1707794806688, 123259, 4832, 8144, -3136
1707794806699, 123270, 4864, 8848, -3344
1707794806710, 123281, 5024, 9520, -3456
1707794806721, 123292, 4704, 9824, -3792
1707794806732, 123303, 4192, 9728, -5184
1707794806743, 123314, 4112, 9408, -6272
1707794806754, 123325, 4608, 8992, -7504
1707794806765, 123336, 5024, 8944, -8688
1707794806775, 123347, 5232, 9392, -9408
1707794806786, 123358, 5088, 10000, -9968
1707794806798, 123369, 4224, 10768, -10320
1707794806809, 123380, 3744, 11488, -9904
1707794806820, 123391, 2816, 12096, -9168
1707794806831, 123402, 2384, 13392, -8816
1707794806842, 123413, 1312, 14176, -8144
1707794806853, 123424, 512, 17136, -5824
1707794806864, 123435, -48, 19888, -3408
1707794806874, 123446, 0, 21856, -880
1707794806885, 123457, 640, 22288, 1600
1707794806897, 123468, 896, 21456, 2800
1707794806907, 123479, 848, 19360, 3856
1707794806918, 123490, 336, 18992, 5552
1707794806930, 123501, -1696, 21328, 912
1707794806941, 123512, -4448, 22816, 480
1707794806952, 123523, -4752, 24752, 1808
1707794806963, 123534, -7088, 26144, 2448
1707794806974, 123545, -7920, 27168, 3184
1707794806985, 123556, -8928, 27744, 3840
1707794806996, 123567, -8608, 27600, 4240
1707794807007, 123578, -9200, 27072, 5472
1707794807018, 123589, -9008, 25952, 6704
1707794807030, 123600, -9168, 24336, 8768
1707794807040, 123611, -9440, 21520, 10384
1707794807051, 123622, -9440, 19184, 11040
1707794807062, 123633, -9760, 16576, 11248
1707794807073, 123644, -8480, 15056, 12464
1707794807084, 123655, -6160, 13440, 13312
1707794807095, 123666, -6032, 11424, 13616
1707794807106, 123677, -4880, 10592, 12976
1707794807117, 123688, 96, 4864, 17408
1707794807128, 123699, -9712, 6896, 3872
1707794807139, 123710, -5968, 8128, 3312
1707794807150, 123721, -5984, 2784, 9488
1707794807160, 123732, -5984, 2448, 6944
1707794807171, 123743, -816, 3088, 3696
1707794807182, 123754, -2960, 2800, 2032
1707794807193, 123765, -3168, 1008, 2720
1707794807204, 123776, 0, 0, 3168
1707794807216, 123787, -144, 1136, 2448
1707794807227, 123798, 576, 1552, 2144
1707794807238, 123809, 688, 2464, 1568
1707794807249, 123820, 1088, 2960, -128
1707794807260, 123831, 864, 3392, -432
1707794807272, 123842, 1136, 3328, -96
1707794807282, 123853, 1312, 4096, 336
1707794807293, 123864, 1840, 4000, 272
1707794807304, 123875, 1824, 4272, -192
1707794807314, 123886, 2032, 4416, 288
1707794807326, 123897, 2416, 4416, -848
1707794807337, 123908, 2144, 4320, -1120
1707794807348, 123919, 2192, 4160, -1200
1707794807359, 123930, 2448, 4064, -976
1707794807370, 123941, 2400, 4112, -928
1707794807381, 123952, 6128, 3184, -1536
1707794807391, 123963, 2528, 4240, -624
1707794807402, 123974, 2080, 4160, 96
1707794807413, 123985, 3504, 4288, -480
1707794807424, 123996, 4720, 4144, -272
1707794807436, 124007, 4256, 3984, -432
1707794807447, 124018, 4480, 3888, -592
1707794807458, 124029, 4896, 3712, -576
1707794807469, 124040, 5040, 3712, -672
1707794807480, 124051, 4832, 3888, -1072
1707794807491, 124062, 4832, 3936, -912
1707794807502, 124073, 4736, 4016, -1328
1707794807513, 124084, 5376, 4272, -1376
