Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795256120, 572708, 7536, 3888, 224
1707795256131, 572719, 7504, 3968, 176
1707795256142, 572730, 7568, 3920, 224
1707795256153, 572741, 7536, 3872, 224
1707795256164, 572752, 7600, 3888, 448
1707795256175, 572763, 7680, 3792, 224
1707795256186, 572774, 7520, 3856, 160
1707795256197, 572785, 7504, 3824, 144
1707795256208, 572796, 7552, 3872, 192
1707795256219, 572807, 7488, 3856, 272
1707795256231, 572818, 7552, 3856, 224
1707795256242, 572829, 7568, 3840, 224
1707795256253, 572840, 7600, 3760, 208
1707795256263, 572851, 7424, 3792, 192
1707795256274, 572862, 7552, 3872, 160
1707795256285, 572873, 7520, 3872, 128
1707795256296, 572884, 7520, 3776, 176
1707795256307, 572895, 7584, 3792, 144
1707795256318, 572906, 7616, 3792, 48
1707795256329, 572917, 7568, 3840, 96
1707795256340, 572928, 7520, 3888, -144
1707795256351, 572939, 7440, 3856, 48
1707795256362, 572950, 7440, 3872, 144
1707795256373, 572961, 7456, 3856, 64
1707795256384, 572972, 7504, 3856, 176
1707795256395, 572983, 7552, 3888, 96
1707795256406, 572994, 7424, 3872, 64
1707795256417, 573005, 7536, 3936, 16
1707795256428, 573016, 7536, 3904, 208
1707795256439, 573027, 7456, 3904, 128
1707795256450, 573038, 7488, 3888, 160
1707795256461, 573049, 7520, 3776, 32
1707795256472, 573060, 7504, 3728, 48
1707795256483, 573071, 7568, 3712, 176
1707795256494, 573082, 7472, 3824, 144
1707795256505, 573093, 7472, 3776, 96
1707795256516, 573104, 7552, 3696, 208
1707795256527, 573115, 7472, 3728, 176
1707795256538, 573126, 7472, 3680, 80
1707795256549, 573137, 7472, 3648, 64
1707795256561, 573148, 7520, 3664, 48
1707795256571, 573159, 7552, 3728, -112
1707795256582, 573170, 7632, 3808, 32
1707795256594, 573181, 7712, 3792, -128
1707795256605, 573192, 7792, 3760, -32
1707795256616, 573203, 7856, 3696, -304
1707795256627, 573214, 7920, 3680, -368
1707795256638, 573225, 7920, 3792, -640
1707795256649, 573236, 7968, 3888, -880
1707795256660, 573247, 8048, 4160, -1328
1707795256671, 573258, 8032, 4544, -1888
1707795256682, 573269, 8192, 4800, -2336
1707795256692, 573280, 8128, 4992, -2800
1707795256703, 573291, 8080, 5216, -3120
1707795256714, 573302, 8032, 5472, -3520
1707795256726, 573313, 8064, 5904, -3952
1707795256736, 573324, 7504, 6304, -4336
1707795256747, 573335, 7280, 6752, -4960
1707795256758, 573346, 7264, 7168, -5296
1707795256769, 573357, 6352, 7408, -5760
1707795256781, 573368, 5680, 8016, -6320
1707795256791, 573379, 5040, 8096, -6784
1707795256803, 573390, 4608, 8240, -6928
1707795256814, 573401, 4528, 8448, -7120
1707795256824, 573412, 3568, 8336, -6960
1707795256835, 573423, 3200, 8336, -6512
1707795256846, 573434, 2704, 8224, -6432
1707795256857, 573445, 2128, 7616, -5888
1707795256868, 573456, 1664, 8032, -6128
1707795256879, 573467, 1360, 7760, -5984
1707795256890, 573478, 1216, 7472, -5600
1707795256901, 573489, 1392, 7040, -4416
1707795256912, 573500, 1552, 6688, -3376
1707795256923, 573511, 1664, 5968, -1984
1707795256934, 573522, 1792, 5296, -528
1707795256945, 573533, 1984, 4784, 720
1707795256957, 573544, 2112, 4544, 2032
1707795256968, 573555, 2464, 4432, 3232
