Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795019838, 336417, 5040, 3248, 5488
1707795019849, 336428, 4992, 3280, 5696
1707795019862, 336439, 5152, 3296, 5776
1707795019871, 336450, 5264, 3248, 5872
1707795019882, 336461, 5376, 3184, 6048
1707795019893, 336472, 5472, 3088, 6064
1707795019904, 336483, 5680, 3008, 6256
1707795019915, 336494, 5648, 2992, 6192
1707795019926, 336505, 5696, 3088, 6272
1707795019937, 336516, 5552, 3184, 6304
1707795019948, 336527, 5760, 3280, 6272
1707795019959, 336538, 5712, 3392, 6128
1707795019970, 336549, 5696, 3424, 6176
1707795019981, 336560, 5632, 3504, 6224
1707795019992, 336571, 5584, 3552, 6128
1707795020003, 336582, 5536, 3424, 5984
1707795020014, 336593, 5376, 3408, 5936
1707795020026, 336604, 5312, 3248, 6032
1707795020036, 336615, 5296, 3168, 5952
1707795020048, 336626, 5312, 3040, 5456
1707795020058, 336637, 5088, 2832, 5888
1707795020069, 336648, 5248, 2672, 5808
1707795020080, 336659, 5296, 2672, 5552
1707795020092, 336670, 5472, 2688, 5728
1707795020102, 336681, 5520, 2592, 5776
1707795020113, 336692, 5840, 2640, 5648
1707795020124, 336703, 6256, 2736, 5616
1707795020135, 336714, 6800, 2896, 5472
1707795020146, 336725, 7184, 2896, 5744
1707795020157, 336736, 7744, 2592, 6048
1707795020169, 336747, 8000, 2416, 6320
1707795020179, 336758, 8000, 2016, 6960
1707795020190, 336769, 8880, 1664, 7568
1707795020201, 336780, 9632, 1296, 8112
1707795020212, 336791, 10224, 1200, 8800
1707795020223, 336802, 10208, 1056, 9488
1707795020234, 336813, 9984, 912, 10480
1707795020245, 336824, 9680, 1040, 11488
1707795020256, 336835, 9776, 1168, 12112
1707795020267, 336846, 9712, 1712, 12880
1707795020278, 336857, 9952, 1792, 13104
1707795020289, 336868, 9568, 1568, 13376
1707795020300, 336879, 9136, 1472, 13488
1707795020311, 336890, 8464, 1152, 13408
1707795020322, 336901, 7712, 928, 13184
1707795020333, 336912, 7296, 720, 12800
1707795020344, 336923, 6768, 448, 11984
1707795020355, 336934, 6576, 176, 11712
1707795020366, 336945, 5376, -64, 11456
1707795020377, 336956, 4624, -448, 11136
1707795020388, 336967, 3696, -800, 10448
1707795020399, 336978, 3216, -944, 9888
1707795020410, 336989, 2816, -1008, 9040
1707795020421, 337000, 2496, -1264, 8592
1707795020432, 337011, 1904, -1616, 8256
1707795020443, 337022, 1936, -2480, 7600
1707795020453, 337033, 624, -3120, 6992
1707795020464, 337044, 160, -3664, 6224
1707795020476, 337055, -128, -3792, 5584
1707795020487, 337066, -400, -3744, 5344
1707795020498, 337077, -880, -4112, 5424
1707795020509, 337088, -1344, -4480, 5552
1707795020520, 337099, -1952, -4976, 5584
1707795020531, 337110, -2064, -5568, 5200
1707795020542, 337121, -2544, -5888, 4768
1707795020553, 337132, -2688, -6160, 4416
1707795020564, 337143, -2688, -6240, 3920
1707795020575, 337154, -3040, -6464, 3696
1707795020586, 337165, -3392, -6560, 3552
1707795020597, 337176, -3504, -6288, 3664
1707795020608, 337187, -3520, -5792, 3584
1707795020620, 337198, -3264, -5440, 3184
1707795020630, 337209, -3136, -5328, 2560
1707795020642, 337220, -2944, -5280, 1440
1707795020652, 337231, -2880, -5072, 672
1707795020663, 337242, -2576, -4864, 32
1707795020674, 337253, -2576, -4576, -368
1707795020685, 337264, -2336, -4176, -368
1707795020696, 337275, -2224, -4064, -160
1707795020707, 337286, -1920, -3856, -32
1707795020719, 337297, -1744, -3504, -48
1707795020730, 337308, -1488, -3168, -400
1707795020741, 337319, -1296, -2576, -368
1707795020751, 337330, -688, -2496, -496
1707795020762, 337341, -528, -1920, -112
1707795020773, 337352, -496, -1696, 128
1707795020784, 337363, -240, -1504, 272
1707795020795, 337374, -64, -1232, 160
1707795020806, 337385, 0, -1120, -112
1707795020817, 337396, 0, -976, -240
1707795020828, 337407, 64, -736, -384
1707795020839, 337418, -80, -272, -304
1707795020850, 337429, -16, 160, -48
1707795020860, 337440, 112, 416, -64
1707795020871, 337451, 160, 864, 160
1707795020883, 337462, 224, 1072, 368
1707795020894, 337473, 272, 1488, 496
1707795020905, 337484, 528, 1984, 864
1707795020916, 337495, 576, 2944, 1216
1707795020927, 337506, 1312, 3424, 1680
1707795020938, 337517, 1488, 3888, 2640
1707795020949, 337528, 1504, 4208, 3200
1707795020960, 337539, 1840, 4112, 3536
1707795020971, 337550, 1792, 4288, 3808
1707795020982, 337561, 2176, 4544, 3728
1707795020993, 337572, 2128, 4880, 3744
1707795021004, 337583, 2144, 5488, 4240
1707795021015, 337594, 1392, 5920, 5008
1707795021026, 337605, 1200, 6544, 6560
1707795021037, 337616, 1872, 6800, 6960
1707795021048, 337627, 2576, 6800, 7216
1707795021059, 337638, 2464, 6768, 7616
1707795021070, 337649, 2016, 6544, 8256
1707795021081, 337660, 1184, 6512, 9040
1707795021091, 337671, 912, 6304, 9568
1707795021103, 337682, 704, 6384, 9856
1707795021114, 337693, 1616, 7008, 9600
1707795021125, 337704, 2144, 7648, 9776
1707795021136, 337715, 1648, 8176, 10048
1707795021147, 337726, 784, 8032, 11184
1707795021158, 337737, -192, 7504, 12048
1707795021169, 337748, -576, 7184, 12736
1707795021180, 337759, -624, 7296, 12672
1707795021191, 337770, 256, 7760, 12400
1707795021202, 337781, 800, 7984, 12560
1707795021213, 337792, 752, 7680, 13328
1707795021224, 337803, 208, 7472, 14016
1707795021235, 337814, -144, 7392, 14896
1707795021246, 337825, -224, 7776, 14656
1707795021257, 337836, -1264, 8176, 14528
1707795021269, 337847, -1648, 8256, 13520
1707795021279, 337858, -2032, 8688, 12816
1707795021291, 337869, -2032, 8720, 12288
1707795021301, 337880, -1968, 9056, 12112
1707795021312, 337891, -2576, 8704, 13040
1707795021323, 337902, -3008, 8112, 14224
1707795021334, 337913, -3152, 7808, 14256
1707795021345, 337924, -3824, 8096, 13776
1707795021356, 337935, -4416, 8384, 13040
1707795021367, 337946, -4944, 8832, 12496
1707795021378, 337957, -5776, 8720, 12752
1707795021389, 337968, -5968, 8240, 13248
1707795021401, 337979, -6864, 7920, 13392
1707795021411, 337990, -7248, 7760, 13408
1707795021422, 338001, -7296, 7360, 13008
1707795021433, 338012, -7440, 6192, 13664
1707795021444, 338023, -7536, 4256, 14656
