Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795138755, 455338, 4592, 6416, -1344
1707795138766, 455349, 4528, 6336, -1424
1707795138777, 455360, 4480, 6256, -1408
1707795138788, 455371, 4448, 6176, -1488
1707795138799, 455382, 4400, 6080, -1312
1707795138810, 455393, 4384, 5984, -1360
1707795138821, 455404, 4400, 5984, -1344
1707795138832, 455415, 4560, 5952, -1328
1707795138843, 455426, 4464, 6000, -1392
1707795138854, 455437, 4496, 5968, -1280
1707795138865, 455448, 4576, 5936, -1216
1707795138876, 455459, 4576, 5856, -1264
1707795138887, 455470, 4592, 5808, -1248
1707795138898, 455481, 4624, 5808, -1264
1707795138909, 455492, 4704, 5920, -1216
1707795138920, 455503, 4832, 6064, -1376
1707795138931, 455514, 4672, 6176, -1248
1707795138942, 455525, 4896, 6272, -1152
1707795138953, 455536, 4832, 6384, -1120
1707795138964, 455547, 4912, 6464, -1232
1707795138975, 455558, 4960, 6464, -1280
1707795138986, 455569, 5008, 6480, -1264
1707795138997, 455580, 5136, 6528, -1296
1707795139008, 455591, 5088, 6480, -1632
1707795139019, 455602, 5232, 6560, -1360
1707795139030, 455613, 5056, 6608, -1312
1707795139041, 455624, 4896, 6576, -1232
1707795139052, 455635, 5152, 6640, -1280
1707795139063, 455646, 5104, 6704, -1264
1707795139074, 455657, 5168, 6720, -1504
1707795139085, 455668, 5120, 6736, -1344
1707795139096, 455679, 5056, 6688, -1536
1707795139107, 455690, 4912, 6640, -1456
1707795139118, 455701, 5072, 6688, -1424
1707795139129, 455712, 5152, 6688, -1296
1707795139140, 455723, 5232, 6672, -1440
1707795139151, 455734, 5232, 6592, -1552
1707795139162, 455745, 5312, 6656, -1552
1707795139173, 455756, 5328, 6640, -1760
1707795139184, 455767, 5216, 6800, -1856
1707795139195, 455778, 5264, 7024, -1968
1707795139206, 455789, 5136, 7168, -2000
1707795139217, 455800, 5072, 7248, -2112
1707795139228, 455811, 5216, 7328, -2272
1707795139239, 455822, 5008, 7472, -2368
1707795139250, 455833, 5008, 7504, -2480
1707795139261, 455844, 4960, 7456, -2576
1707795139272, 455855, 4880, 7232, -2720
1707795139283, 455866, 4720, 6992, -2864
1707795139294, 455877, 4608, 6720, -3088
1707795139305, 455888, 4336, 6432, -3248
1707795139316, 455899, 4320, 5968, -3568
1707795139327, 455910, 3808, 5552, -3680
1707795139338, 455921, 3312, 5104, -3824
1707795139349, 455932, 2832, 4656, -3968
1707795139360, 455943, 2288, 4000, -4208
1707795139371, 455954, 2240, 2896, -4640
1707795139382, 455965, 1344, 2080, -4896
1707795139393, 455976, 992, 1136, -4896
1707795139404, 455987, 1056, 816, -4176
1707795139415, 455998, 1168, 592, -3184
1707795139426, 456009, 1120, 496, -1904
1707795139437, 456020, 1056, 896, -960
1707795139448, 456031, 1088, 1472, -192
1707795139458, 456042, 624, 2144, 336
1707795139469, 456053, 272, 2224, 256
1707795139480, 456064, 32, 2224, 336
1707795139492, 456075, -160, 2448, 848
1707795139502, 456086, -96, 2688, 1456
1707795139513, 456097, 304, 2928, 2432
1707795139524, 456108, 464, 3072, 3024
1707795139535, 456119, 480, 3248, 3600
1707795139546, 456130, 720, 3328, 4224
1707795139557, 456141, 560, 3472, 4560
1707795139569, 456152, 416, 3712, 4992
1707795139580, 456163, 128, 4080, 5200
1707795139591, 456174, -16, 4464, 5312
1707795139602, 456185, 16, 5344, 5536
1707795139613, 456196, 80, 6400, 6080
1707795139623, 456207, -80, 7232, 6288
1707795139635, 456218, -192, 7888, 6512
1707795139646, 456229, -336, 8176, 6656
1707795139657, 456240, -512, 8320, 6704
1707795139667, 456251, -368, 9056, 7008
1707795139678, 456262, -1008, 9424, 7024
1707795139690, 456273, -1248, 9760, 6896
1707795139701, 456284, -1392, 9936, 7264
1707795139712, 456295, -1568, 10400, 7344
1707795139723, 456306, -1968, 10736, 7360
1707795139733, 456317, -2144, 11184, 7312
1707795139745, 456328, -2320, 11568, 7200
1707795139756, 456339, -2192, 11456, 6816
1707795139767, 456350, -2896, 11424, 6512
1707795139778, 456361, -3248, 11904, 6464
1707795139789, 456372, -3824, 12640, 6064
1707795139800, 456383, -3984, 13504, 5744
1707795139811, 456394, -4064, 13984, 4880
1707795139822, 456405, -4160, 13872, 4560
1707795139833, 456416, -4192, 13408, 4272
1707795139844, 456427, -4144, 12816, 3936
1707795139855, 456438, -4272, 12592, 3776
1707795139866, 456449, -4176, 12624, 3920
1707795139877, 456460, -3888, 12672, 3808
1707795139888, 456471, -3680, 12736, 3920
1707795139899, 456482, -3808, 12416, 3792
1707795139910, 456493, -4016, 12128, 3376
1707795139921, 456504, -4224, 12080, 2848
1707795139932, 456515, -4352, 12064, 2336
1707795139943, 456526, -4800, 12064, 1776
1707795139954, 456537, -4944, 11840, 1152
1707795139964, 456548, -5024, 11888, 752
1707795139976, 456559, -5152, 11680, 528
1707795139987, 456570, -5152, 11456, 256
1707795139998, 456581, -5168, 11264, 256
1707795140009, 456592, -5184, 10928, 128
1707795140020, 456603, -5136, 10784, 48
1707795140031, 456614, -4880, 11056, -96
1707795140042, 456625, -4688, 11280, 320
1707795140053, 456636, -4896, 11200, -144
1707795140064, 456647, -5040, 11184, -560
1707795140075, 456658, -5104, 11312, -1040
1707795140086, 456669, -5216, 11648, -1552
1707795140097, 456680, -5232, 12144, -1968
1707795140108, 456691, -5392, 12928, -2608
1707795140119, 456702, -5440, 13152, -2912
1707795140130, 456713, -5440, 12704, -3440
1707795140141, 456724, -5472, 12208, -3920
1707795140152, 456735, -5856, 11696, -4240
1707795140163, 456746, -6048, 11328, -4672
1707795140174, 456757, -6384, 11712, -4688
1707795140185, 456768, -5696, 10864, -5616
1707795140196, 456779, -5520, 10400, -5872
1707795140207, 456790, -5696, 10400, -5824
1707795140218, 456801, -5568, 10496, -5440
1707795140229, 456812, -4816, 10608, -5536
1707795140240, 456823, -5488, 10656, -4992
1707795140251, 456834, -5360, 9872, -5024
1707795140262, 456845, -5088, 8928, -5024
1707795140272, 456856, -4784, 8352, -5184
1707795140283, 456867, -4800, 7984, -5008
1707795140295, 456878, -4304, 8160, -4640
1707795140306, 456889, -4096, 8128, -4224
1707795140317, 456900, -4096, 8144, -3888
1707795140328, 456911, -3888, 8064, -3760
1707795140339, 456922, -3744, 7360, -3792
1707795140350, 456933, -3584, 6800, -3472
1707795140361, 456944, -3328, 6192, -3552
1707795140372, 456955, -3232, 5184, -3440
1707795140383, 456966, -2448, 4432, -3232
1707795140394, 456977, -2080, 3472, -2944
1707795140405, 456988, -1968, 2864, -2560
1707795140416, 456999, -1920, 2448, -2384
1707795140427, 457010, -1456, 2128, -1920
1707795140438, 457021, -1024, 1696, -1488
1707795140449, 457032, -912, 1296, -1136
1707795140460, 457043, -880, 768, -1264
1707795140471, 457054, -1184, 272, -1376
1707795140482, 457065, -1296, -64, -1728
1707795140493, 457076, -704, -304, -1360
1707795140503, 457087, 160, -688, -752
1707795140514, 457098, 144, -704, -560
1707795140526, 457109, -112, -624, -672
1707795140537, 457120, -176, -688, -848
1707795140548, 457131, -48, -720, -320
1707795140558, 457142, 96, -768, -48
1707795140569, 457153, 704, -464, 1152
1707795140580, 457164, 1216, -48, 2208
1707795140591, 457175, 1216, 128, 2432
1707795140602, 457186, 1072, 352, 2192
1707795140613, 457197, 432, 384, 1568
1707795140624, 457208, 592, 528, 1648
1707795140636, 457219, 832, 720, 2848
1707795140646, 457230, 1536, 992, 3616
1707795140657, 457241, 1952, 1664, 4496
1707795140668, 457252, 2016, 1984, 5488
1707795140679, 457263, 2912, 1968, 5712
1707795140691, 457274, 2832, 1952, 5808
1707795140701, 457285, 2800, 2160, 6000
1707795140712, 457296, 2896, 2368, 6256
1707795140724, 457307, 2848, 2736, 5920
1707795140734, 457318, 2864, 3232, 6016
1707795140745, 457329, 3184, 3888, 6224
1707795140757, 457340, 3456, 4384, 6464
1707795140767, 457351, 3840, 4880, 6688
1707795140778, 457362, 4000, 5648, 6880
1707795140790, 457373, 4336, 6480, 6784
1707795140800, 457384, 4608, 7280, 6640
1707795140812, 457395, 4720, 7936, 6208
1707795140822, 457406, 4544, 8512, 5760
1707795140833, 457417, 4896, 9088, 5296
1707795140844, 457428, 4912, 9712, 5232
1707795140856, 457439, 6128, 10256, 5104
1707795140867, 457450, 6384, 10736, 5072
1707795140878, 457461, 6432, 11248, 4960
1707795140889, 457472, 6480, 11600, 4928
1707795140900, 457483, 6352, 11824, 4464
1707795140911, 457494, 7504, 11504, 3792
1707795140922, 457505, 7712, 11040, 3472
1707795140933, 457516, 7616, 11120, 2528
1707795140944, 457527, 7920, 11392, 1856
1707795140955, 457538, 7520, 12000, 1040
1707795140966, 457549, 7104, 12368, 272
1707795140977, 457560, 6720, 12480, -224
1707795140988, 457571, 6640, 12512, -752
1707795140999, 457582, 6336, 12336, -1072
1707795141010, 457593, 6032, 11888, -1344
1707795141021, 457604, 5968, 11424, -928
1707795141032, 457615, 5296, 10944, -768
1707795141043, 457626, 4880, 10288, -384
