Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795200144, 516729, 6096, -2160, 5168
1707795200154, 516740, 6080, -2176, 5200
1707795200165, 516751, 6048, -2192, 5072
1707795200177, 516762, 6016, -2240, 5168
1707795200187, 516773, 6048, -2304, 5248
1707795200198, 516784, 5920, -2352, 5200
1707795200210, 516795, 5904, -2432, 5264
1707795200220, 516806, 5984, -2400, 5264
1707795200231, 516817, 6064, -2368, 5168
1707795200242, 516828, 5904, -2416, 5152
1707795200253, 516839, 6000, -2512, 5200
1707795200264, 516850, 5904, -2496, 5152
1707795200276, 516861, 5904, -2464, 5168
1707795200286, 516872, 5920, -2480, 5104
1707795200298, 516883, 6000, -2480, 5088
1707795200309, 516894, 5968, -2464, 5312
1707795200320, 516905, 5968, -2464, 5088
1707795200331, 516916, 6112, -2464, 5024
1707795200342, 516927, 5984, -2368, 5200
1707795200353, 516938, 6048, -2336, 5136
1707795200363, 516949, 6080, -2256, 5088
1707795200374, 516960, 6160, -2224, 5072
1707795200386, 516971, 6192, -2224, 5168
1707795200397, 516982, 6224, -2176, 5024
1707795200408, 516993, 6352, -2128, 5152
1707795200419, 517004, 6256, -2000, 5216
1707795200430, 517015, 6208, -2112, 5120
1707795200441, 517026, 6240, -2032, 5200
1707795200452, 517037, 6240, -1968, 5200
1707795200463, 517048, 6272, -1984, 5072
1707795200474, 517059, 6272, -1968, 4992
1707795200485, 517070, 6256, -1920, 4912
1707795200496, 517081, 6288, -1936, 5008
1707795200507, 517092, 6208, -2016, 5088
1707795200518, 517103, 6096, -2080, 4912
1707795200529, 517114, 6112, -2096, 5024
1707795200540, 517125, 6112, -2160, 5024
1707795200551, 517136, 6288, -2224, 4896
1707795200562, 517147, 6016, -2160, 4848
1707795200572, 517158, 6080, -2240, 4992
1707795200583, 517169, 5984, -2592, 5184
1707795200595, 517180, 5584, -2832, 5328
1707795200606, 517191, 5216, -3152, 5424
1707795200617, 517202, 5040, -3280, 5632
1707795200628, 517213, 4752, -3408, 5808
1707795200639, 517224, 4464, -3728, 6240
1707795200650, 517235, 4144, -4112, 6752
1707795200661, 517246, 3824, -4560, 7056
1707795200672, 517257, 3520, -5168, 7616
1707795200683, 517268, 2608, -5904, 8000
1707795200694, 517279, 2176, -7152, 8368
1707795200705, 517290, 1568, -8016, 8560
1707795200716, 517301, 1056, -8992, 8960
1707795200727, 517312, 816, -10288, 9376
1707795200738, 517323, -176, -11008, 9632
1707795200749, 517334, -560, -11456, 9776
1707795200760, 517345, -768, -11552, 9616
1707795200770, 517356, -2048, -11504, 9680
1707795200781, 517367, -2352, -11616, 9728
1707795200793, 517378, -2768, -11424, 9776
1707795200804, 517389, -2960, -11248, 9936
1707795200814, 517400, -2960, -10832, 10016
1707795200825, 517411, -3296, -10080, 10048
1707795200836, 517422, -3424, -9056, 9808
1707795200847, 517433, -3376, -6864, 9152
1707795200859, 517444, -3072, -4256, 8640
1707795200869, 517455, -1424, -112, 8288
1707795200880, 517466, -224, 2896, 8000
1707795200891, 517477, 1392, 5552, 7856
1707795200902, 517488, 1776, 8528, 7216
1707795200913, 517499, 5360, 10336, 6528
1707795200924, 517510, 6448, 12080, 5392
1707795200935, 517521, 6848, 13072, 4496
1707795200946, 517532, 8864, 13072, 3088
1707795200957, 517543, 9392, 11984, 1760
1707795200968, 517554, 9376, 10064, 880
1707795200979, 517565, 9264, 8480, 256
1707795200990, 517576, 9152, 6688, -240
1707795201001, 517587, 8944, 5616, -496
1707795201012, 517598, 8864, 4672, -528
1707795201023, 517609, 8848, 4208, 0
1707795201034, 517620, 9280, 4096, 304
1707795201046, 517631, 9184, 3728, 304
1707795201056, 517642, 11888, 2304, -2384
1707795201068, 517653, 8064, 3088, 768
1707795201079, 517664, 8368, 3328, 1456
1707795201090, 517675, 8192, 1280, 3200
1707795201101, 517686, 7536, 1808, 2336
1707795201112, 517697, 7632, 2128, 2960
1707795201123, 517708, 7344, 2336, 2944
1707795201134, 517719, 6768, 2256, 2496
1707795201145, 517730, 6240, 2208, 2656
1707795201156, 517741, 5888, 2272, 2560
1707795201167, 517752, 5920, 2384, 1760
1707795201178, 517763, 5680, 2640, 944
1707795201189, 517774, 5296, 3296, 576
1707795201199, 517785, 5264, 3680, 80
1707795201211, 517796, 4368, 4064, -304
1707795201222, 517807, 3888, 4480, -976
1707795201233, 517818, 3776, 4704, -1376
1707795201244, 517829, 4208, 4960, -1776
1707795201255, 517840, 4160, 5280, -2096
1707795201266, 517851, 3600, 5680, -2016
1707795201277, 517862, 3232, 5616, -1776
1707795201288, 517873, 2528, 5760, -1552
1707795201299, 517884, 1968, 6112, -1568
1707795201310, 517895, 1120, 6224, -1440
1707795201321, 517906, 352, 6640, -1584
1707795201332, 517917, 16, 6976, -1248
1707795201343, 517928, -16, 7568, -144
1707795201354, 517939, -1008, 7264, 1792
1707795201365, 517950, -2064, 6080, 4384
1707795201376, 517961, -2384, 5440, 6608
1707795201387, 517972, -2800, 4800, 9264
1707795201398, 517983, -2848, 3088, 12992
1707795201409, 517994, -3120, 1056, 15696
1707795201420, 518005, -3248, -144, 18048
1707795201431, 518016, -3264, -448, 18624
1707795201442, 518027, -2784, 176, 18848
1707795201453, 518038, -2672, 416, 19888
1707795201463, 518049, -2592, 640, 20752
1707795201474, 518060, -2240, 0, 21520
1707795201485, 518071, -2272, -144, 21168
1707795201496, 518082, -1440, -240, 20992
1707795201507, 518093, -208, 304, 20080
1707795201518, 518104, 0, 1056, 18144
1707795201529, 518115, -96, 1328, 16128
1707795201541, 518126, -320, 1280, 14448
1707795201551, 518137, -432, 1024, 13776
1707795201563, 518148, -400, 784, 13040
1707795201574, 518159, -256, 688, 12192
1707795201585, 518170, -256, 704, 11584
1707795201596, 518181, -192, 832, 10720
1707795201607, 518192, -336, 928, 10192
1707795201618, 518203, -192, 832, 9664
1707795201628, 518214, -224, 944, 9008
1707795201640, 518225, -176, 1056, 8416
1707795201651, 518236, -48, 1296, 7920
1707795201661, 518247, -80, 1392, 7552
1707795201672, 518258, -96, 1488, 7424
1707795201684, 518269, -208, 1408, 7472
1707795201695, 518280, -240, 1408, 7136
1707795201706, 518291, -720, 1440, 6960
1707795201717, 518302, -1024, 1248, 6752
1707795201728, 518313, -1264, 1056, 6608
1707795201739, 518324, -1440, 688, 6512
1707795201750, 518335, -1600, 192, 6640
1707795201761, 518346, -2144, -224, 6656
1707795201772, 518357, -2464, -800, 6928
1707795201783, 518368, -2512, -1200, 6784
1707795201794, 518379, -3296, -1632, 6752
1707795201805, 518390, -3872, -2176, 6576
1707795201816, 518401, -4176, -2816, 6752
1707795201827, 518412, -4656, -3872, 7296
1707795201838, 518423, -4912, -5488, 8240
1707795201849, 518434, -6416, -6784, 8992
1707795201860, 518445, -6944, -7856, 10512
1707795201871, 518456, -7072, -8448, 11872
1707795201882, 518467, -7872, -9104, 13344
1707795201893, 518478, -8752, -9072, 15168
1707795201904, 518489, -9392, -7840, 16048
1707795201915, 518500, -9712, -5584, 16896
1707795201926, 518511, -9856, -2224, 17648
1707795201937, 518522, -9280, 80, 17312
1707795201948, 518533, -8352, 1824, 16192
1707795201959, 518544, -8352, 2448, 14608
1707795201970, 518555, -7056, 3728, 12832
1707795201981, 518566, -4896, 6336, 9744
1707795201992, 518577, -3104, 9104, 7792
1707795202003, 518588, -1728, 10816, 6496
1707795202014, 518599, -1520, 12672, 5344
1707795202025, 518610, -32, 13312, 4944
1707795202035, 518621, 672, 13808, 5584
1707795202047, 518632, 880, 12976, 6064
1707795202058, 518643, 1648, 11408, 6656
1707795202068, 518654, 1648, 9344, 6752
1707795202079, 518665, 2064, 8352, 6416
1707795202090, 518676, 2752, 8304, 6144
1707795202101, 518687, 2848, 8384, 5856
1707795202112, 518698, 3104, 8000, 5952
1707795202123, 518709, 3024, 6960, 6528
1707795202135, 518720, 2976, 5840, 6864
1707795202146, 518731, 2688, 4896, 7248
1707795202157, 518742, 2560, 4000, 7936
1707795202168, 518753, 2448, 3616, 8016
1707795202179, 518764, 2336, 3216, 8112
1707795202190, 518775, 2336, 2352, 7984
1707795202201, 518786, 1920, 1760, 7792
1707795202212, 518797, 1888, 1344, 7344
1707795202223, 518808, 1920, 1360, 7424
1707795202234, 518819, 1968, 1552, 7552
1707795202245, 518830, 2048, 1536, 7776
1707795202256, 518841, 1888, 1392, 7904
1707795202267, 518852, 1680, 1136, 8096
1707795202277, 518863, 1680, 976, 8224
1707795202288, 518874, 1440, 832, 8224
1707795202299, 518885, 1600, 640, 8048
1707795202310, 518896, 1552, 352, 7792
1707795202321, 518907, 1376, 0, 7936
1707795202333, 518918, 1216, -320, 7840
1707795202344, 518929, 1184, -448, 7936
1707795202355, 518940, 1200, -304, 7952
1707795202366, 518951, 1216, -128, 8048
1707795202376, 518962, 1296, 64, 8032
1707795202387, 518973, 1232, -32, 8160
1707795202399, 518984, 1264, -48, 7968
1707795202410, 518995, 1216, -16, 7984
1707795202420, 519006, 1232, 144, 7984
1707795202432, 519017, 1296, 368, 7872
1707795202443, 519028, 1344, 608, 7760
1707795202454, 519039, 1488, 640, 7760
1707795202464, 519050, 1232, 640, 7696
1707795202475, 519061, 1104, 560, 7552
1707795202486, 519072, 1072, 432, 7648
1707795202497, 519083, 976, 432, 7760
1707795202508, 519094, 880, 400, 7776
1707795202519, 519105, 944, 368, 7776
1707795202530, 519116, 976, 80, 7504
1707795202541, 519127, 992, -144, 7936
1707795202552, 519138, 896, -128, 7984
1707795202563, 519149, 960, -32, 7904
1707795202574, 519160, 944, 0, 8128
1707795202585, 519171, 1024, 64, 8160
1707795202596, 519182, 1136, 176, 8320
1707795202607, 519193, 1120, 48, 8208
1707795202619, 519204, 1168, 112, 8080
1707795202630, 519215, 1104, 144, 7936
1707795202640, 519226, 1008, 96, 7920
1707795202651, 519237, 1072, 96, 7888
1707795202662, 519248, 1088, 128, 7952
1707795202673, 519259, 1072, 80, 7984
1707795202685, 519270, 1056, 112, 7888
1707795202695, 519281, 912, 80, 8096
1707795202707, 519292, 1024, 96, 8128
1707795202718, 519303, 1056, 48, 8144
1707795202728, 519314, 832, -16, 8048
1707795202739, 519325, 912, 16, 7984
1707795202750, 519336, 928, 64, 7888
1707795202761, 519347, 912, 96, 7856
1707795202772, 519358, 912, 160, 7584
1707795202784, 519369, 784, 192, 7936
1707795202795, 519380, 944, 208, 7952
1707795202805, 519391, 1008, 144, 7856
1707795202817, 519402, 1056, 112, 7968
1707795202828, 519413, 1024, 96, 7920
1707795202839, 519424, 1056, 48, 7888
1707795202849, 519435, 1120, 32, 7792
1707795202860, 519446, 1152, 48, 7568
1707795202871, 519457, 1088, 80, 7776
1707795202882, 519468, 1200, 192, 7824
1707795202893, 519479, 1120, 288, 7888
1707795202905, 519490, 1168, 320, 7808
1707795202916, 519501, 1248, 432, 7888
1707795202927, 519512, 1248, 464, 7952
1707795202937, 519523, 1232, 480, 7984
1707795202948, 519534, 1184, 448, 7872
1707795202959, 519545, 1264, 448, 8032
1707795202970, 519556, 1168, 448, 8016
1707795202981, 519567, 1152, 416, 7792
1707795202992, 519578, 1168, 288, 7984
1707795203003, 519589, 1120, 256, 8000
1707795203014, 519600, 1056, 208, 7952
1707795203025, 519611, 1184, 272, 8032
1707795203036, 519622, 1232, 368, 8128
1707795203047, 519633, 1296, 448, 7920
1707795203058, 519644, 1232, 576, 7872
1707795203070, 519655, 1232, 656, 7760
1707795203081, 519666, 1264, 576, 7872
1707795203091, 519677, 1200, 464, 7920
1707795203103, 519688, 1040, 400, 7904
1707795203113, 519699, 1264, 336, 7904
1707795203124, 519710, 1296, 352, 7936
1707795203135, 519721, 1392, 304, 7920
1707795203146, 519732, 1248, 160, 7968
1707795203157, 519743, 1248, 96, 8176
1707795203168, 519754, 1264, 48, 8096
1707795203179, 519765, 1232, 112, 8016
1707795203190, 519776, 1232, 160, 8144
1707795203201, 519787, 1296, 192, 8112
1707795203212, 519798, 1344, 208, 8224
1707795203223, 519809, 1360, 192, 7920
1707795203234, 519820, 1264, 144, 7888
1707795203244, 519831, 1184, 48, 7856
1707795203256, 519842, 1184, 80, 7792
1707795203267, 519853, 1232, 64, 7728
1707795203278, 519864, 1216, 176, 7728
1707795203289, 519875, 1248, 272, 7696
1707795203300, 519886, 1296, 304, 7696
1707795203311, 519897, 1328, 272, 7680
1707795203322, 519908, 1200, 336, 7584
1707795203333, 519919, 1280, 448, 7664
1707795203345, 519930, 1264, 512, 7648
1707795203357, 519941, 1312, 480, 7760
1707795203367, 519952, 1296, 544, 7744
1707795203378, 519963, 1216, 544, 7792
1707795203389, 519974, 1184, 576, 8096
1707795203400, 519985, 1152, 560, 7888
1707795203411, 519996, 1200, 560, 8016
1707795203421, 520007, 1200, 480, 8096
1707795203432, 520018, 1216, 528, 8096
1707795203443, 520029, 1136, 432, 8032
1707795203454, 520040, 1152, 336, 7952
1707795203465, 520051, 1248, 288, 8016
1707795203476, 520062, 1232, 192, 7792
1707795203487, 520073, 1328, 272, 7888
1707795203498, 520084, 1328, 224, 7904
1707795203509, 520095, 1264, 320, 7888
1707795203520, 520106, 1296, 256, 7888
1707795203531, 520117, 1280, 272, 8064
1707795203543, 520128, 1312, 272, 8032
1707795203554, 520139, 1216, 240, 8016
1707795203564, 520150, 1312, 240, 7952
1707795203575, 520161, 1312, 224, 8000
1707795203587, 520172, 1232, 192, 8000
1707795203597, 520183, 1280, 160, 8016
1707795203608, 520194, 1248, 112, 8048
1707795203619, 520205, 1280, 64, 8240
1707795203630, 520216, 1104, 208, 7984
1707795203641, 520227, 1232, 240, 8016
1707795203652, 520238, 1120, 272, 8032
1707795203663, 520249, 1184, 304, 7904
1707795203674, 520260, 1152, 368, 7840
1707795203685, 520271, 1168, 320, 7840
1707795203696, 520282, 1152, 336, 7824
1707795203707, 520293, 1152, 240, 7632
