Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795327580, 644164, 8320, 928, -64
1707795327590, 644175, 8320, 944, -48
1707795327602, 644186, 8384, 976, -144
1707795327612, 644197, 8432, 1008, 0
1707795327624, 644208, 8416, 1056, -16
1707795327634, 644219, 8400, 1072, 0
1707795327646, 644230, 8448, 1056, -48
1707795327656, 644241, 8416, 1088, 32
1707795327667, 644252, 8384, 1024, 112
1707795327678, 644263, 8352, 1024, 32
1707795327689, 644274, 8400, 1024, 32
1707795327700, 644285, 8400, 992, 64
1707795327711, 644296, 8352, 1008, 48
1707795327722, 644307, 8320, 880, -112
1707795327733, 644318, 8304, 944, 48
1707795327744, 644329, 8304, 976, 48
1707795327755, 644340, 8320, 992, 96
1707795327766, 644351, 8400, 992, 48
1707795327777, 644362, 8368, 1040, 80
1707795327788, 644373, 8384, 1040, 48
1707795327799, 644384, 8384, 992, 48
1707795327810, 644395, 8368, 976, -32
1707795327821, 644406, 8368, 944, 0
1707795327833, 644417, 8336, 912, -16
1707795327844, 644428, 8320, 944, 32
1707795327855, 644439, 8320, 944, 32
1707795327865, 644450, 8336, 992, -16
1707795327876, 644461, 8416, 960, -16
1707795327887, 644472, 8384, 944, -32
1707795327898, 644483, 8416, 1056, 80
1707795327909, 644494, 8320, 1056, -64
1707795327920, 644505, 8352, 960, -48
1707795327931, 644516, 8336, 928, 80
1707795327942, 644527, 8304, 880, -48
1707795327953, 644538, 8272, 912, 80
1707795327964, 644549, 8336, 832, 64
1707795327975, 644560, 8208, 768, 16
1707795327986, 644571, 8144, 736, 48
1707795327997, 644582, 8272, 704, 80
1707795328008, 644593, 8240, 704, 64
1707795328019, 644604, 8304, 720, 144
1707795328030, 644615, 8304, 688, 96
1707795328041, 644626, 8304, 688, 192
1707795328052, 644637, 8352, 592, 208
1707795328063, 644648, 8336, 576, 208
1707795328074, 644659, 8336, 336, 160
1707795328085, 644670, 8368, 288, 224
1707795328098, 644681, 8304, 176, 272
1707795328107, 644692, 8272, -48, 368
1707795328119, 644703, 8240, -336, 400
1707795328130, 644714, 8288, -544, 416
1707795328140, 644725, 8336, -432, 560
1707795328151, 644736, 8704, -256, 672
1707795328162, 644747, 8992, 0, 960
1707795328173, 644758, 9280, 80, 1008
1707795328184, 644769, 9552, 320, 1104
1707795328195, 644780, 10224, 848, 976
1707795328207, 644791, 10752, 1168, 864
1707795328217, 644802, 11312, 1488, 752
1707795328229, 644813, 11616, 1952, 816
1707795328240, 644824, 12512, 2592, 896
1707795328251, 644835, 13184, 3200, 1152
1707795328261, 644846, 13760, 3520, 1088
1707795328272, 644857, 14048, 4016, 1216
1707795328284, 644868, 14080, 4640, 1312
1707795328294, 644879, 14624, 5584, 1296
1707795328305, 644890, 14992, 6864, 944
1707795328316, 644901, 15248, 8256, 208
1707795328327, 644912, 15568, 9376, -672
1707795328339, 644923, 15312, 11360, -1936
1707795328350, 644934, 14720, 12000, -2640
1707795328361, 644945, 13584, 11696, -3104
1707795328372, 644956, 13008, 10512, -2976
1707795328383, 644967, 9104, 9008, -2256
1707795328394, 644978, 6912, 6960, -1216
1707795328405, 644989, 6416, 5552, -608
1707795328416, 645000, 1712, 4512, -160
1707795328427, 645011, -1296, 3216, 320
1707795328437, 645022, -3824, 1328, -16
1707795328449, 645033, -6016, -944, -336
1707795328460, 645044, -8448, -4224, -1008
1707795328471, 645055, -10672, -6768, -1440
1707795328482, 645066, -12544, -9152, -1472
1707795328493, 645077, -13328, -11920, -1040
1707795328504, 645088, -17584, -13776, -256
1707795328515, 645099, -18544, -15040, 144
1707795328526, 645110, -16864, -14720, -1200
1707795328537, 645121, -14976, -13312, -2304
1707795328548, 645132, -14352, -11280, -2144
1707795328559, 645143, -7744, -8800, -912
1707795328570, 645154, -3504, -4112, 496
1707795328581, 645165, -2352, 2880, 1344
1707795328592, 645176, 10208, 11456, 2416
1707795328603, 645187, 20720, 23936, 2864
1707795328614, 645198, 29248, 31824, 848
1707795328625, 645209, 32432, 32592, -3168
1707795328636, 645220, 32544, 32640, -8592
1707795328647, 645231, 31504, 27232, -9664
1707795328658, 645242, 25568, 16144, -7120
1707795328669, 645253, 23712, 10400, -3488
1707795328680, 645264, 10640, 6576, -704
1707795328691, 645275, 4512, 1728, 1520
1707795328702, 645286, 768, -1936, 2448
1707795328713, 645297, -2448, -5776, 2240
1707795328724, 645308, -3424, -9968, 2080
1707795328735, 645319, -10240, -13904, 2160
1707795328746, 645330, -13536, -16080, 3216
1707795328757, 645341, -14256, -17328, 3888
1707795328768, 645352, -16480, -18416, 2544
1707795328779, 645363, -14800, -16656, -720
1707795328791, 645374, -12224, -13776, -2160
1707795328801, 645385, -9568, -9984, -1776
1707795328812, 645396, -8864, -5520, -592
1707795328823, 645407, -560, -448, -112
1707795328834, 645418, 3984, 8208, -256
1707795328845, 645429, 5648, 16752, 336
1707795328856, 645440, 20864, 25088, -1104
1707795328867, 645451, 29664, 29632, -5376
1707795328878, 645462, 29968, 30736, -8448
