Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707794855713, 172286, 3536, 6848, -2576
1707794855724, 172297, 3616, 6784, -2608
1707794855735, 172308, 3776, 6720, -2592
1707794855746, 172319, 3488, 6736, -2560
1707794855757, 172330, 3568, 6672, -2608
1707794855768, 172341, 3568, 6704, -2512
1707794855779, 172352, 3584, 6736, -2512
1707794855790, 172363, 3632, 6816, -2576
1707794855801, 172374, 3616, 6752, -2560
1707794855812, 172385, 3680, 6832, -2496
1707794855823, 172396, 3744, 6848, -2544
1707794855834, 172407, 3664, 6832, -2576
1707794855845, 172418, 3792, 6896, -2464
1707794855856, 172429, 3680, 6976, -2736
1707794855867, 172440, 3760, 7072, -2976
1707794855878, 172451, 3968, 7072, -2976
1707794855889, 172462, 3760, 7120, -2848
1707794855900, 172473, 3744, 7152, -2704
1707794855911, 172484, 3808, 7120, -2416
1707794855922, 172495, 3968, 7136, -2176
1707794855933, 172506, 4048, 7280, -1888
1707794855944, 172517, 4064, 7168, -1984
1707794855955, 172528, 4080, 7216, -1984
1707794855965, 172539, 4144, 7136, -1936
1707794855977, 172550, 4112, 7152, -2064
1707794855988, 172561, 4096, 7136, -2064
1707794855999, 172572, 4112, 7040, -2032
1707794856010, 172583, 4032, 7056, -1936
1707794856021, 172594, 4080, 6960, -1872
1707794856031, 172605, 4176, 6912, -1760
1707794856043, 172616, 4096, 6816, -1632
1707794856053, 172627, 4048, 6736, -1408
1707794856064, 172638, 4112, 6576, -1040
1707794856076, 172649, 4128, 6544, -736
1707794856087, 172660, 4048, 6416, -464
1707794856098, 172671, 3856, 6352, -224
1707794856109, 172682, 3760, 6256, 256
1707794856119, 172693, 3632, 6160, 240
1707794856131, 172704, 3408, 6192, 368
1707794856141, 172715, 3184, 6048, 384
1707794856153, 172726, 2928, 5984, 304
1707794856164, 172737, 2784, 5712, 304
1707794856175, 172748, 2464, 5280, 400
1707794856186, 172759, 2432, 4976, 464
1707794856197, 172770, 1808, 4864, 80
1707794856208, 172781, 1664, 4576, 256
1707794856219, 172792, 1696, 4448, 224
1707794856230, 172803, 1552, 4464, -16
1707794856241, 172814, 1344, 4560, 32
1707794856252, 172825, 1056, 4752, -112
1707794856263, 172836, 912, 5024, -256
1707794856274, 172847, 992, 5120, -320
1707794856285, 172858, 992, 5296, -480
1707794856296, 172869, 880, 5312, -912
1707794856307, 172880, 720, 5280, -1216
1707794856318, 172891, 448, 4960, -1776
1707794856329, 172902, 320, 4720, -2048
1707794856340, 172913, -144, 4576, -2160
1707794856351, 172924, -384, 4544, -2352
1707794856363, 172935, -544, 4640, -2368
1707794856373, 172946, -480, 4976, -2448
1707794856384, 172957, -448, 5280, -2736
1707794856395, 172968, -528, 5376, -2976
1707794856406, 172979, -640, 5488, -3008
1707794856417, 172990, -736, 5792, -2896
1707794856428, 173001, -784, 6160, -2656
1707794856439, 173012, -864, 6336, -2480
1707794856451, 173023, -1104, 6208, -2704
1707794856461, 173034, -1488, 6288, -3104
1707794856472, 173045, -1344, 6464, -3616
1707794856483, 173056, -1872, 6832, -3904
1707794856494, 173067, -1952, 7376, -4336
1707794856505, 173078, -1872, 7680, -3952
1707794856516, 173089, -1920, 7664, -3600
1707794856527, 173100, -2064, 7536, -3040
1707794856538, 173111, -2208, 7616, -3088
1707794856550, 173122, -2512, 7680, -2992
1707794856560, 173133, -2624, 7776, -3104
1707794856571, 173144, -2864, 7776, -2992
1707794856582, 173155, -2896, 7904, -2704
1707794856593, 173166, -2864, 8176, -2416
1707794856604, 173177, -2960, 8832, -2464
1707794856615, 173188, -2912, 9360, -3168
1707794856626, 173199, -2992, 9616, -3408
1707794856637, 173210, -2640, 9664, -3728
1707794856648, 173221, -2672, 9472, -3664
1707794856659, 173232, -2832, 9232, -3760
1707794856670, 173243, -2944, 8496, -3696
1707794856681, 173254, -3088, 8192, -3520
1707794856692, 173265, -3216, 7792, -3792
1707794856703, 173276, -3328, 7696, -4048
1707794856714, 173287, -3328, 7552, -4304
1707794856725, 173298, -3520, 7536, -4496
1707794856736, 173309, -3792, 7600, -4176
1707794856747, 173320, -3728, 7760, -4416
1707794856758, 173331, -3776, 8128, -4528
1707794856769, 173342, -3984, 7920, -4688
1707794856780, 173353, -4144, 7904, -4800
1707794856791, 173364, -4432, 7728, -5008
1707794856802, 173375, -4448, 7488, -5104
1707794856813, 173386, -4912, 7376, -5136
1707794856824, 173397, -5120, 7408, -5264
1707794856835, 173408, -5360, 7440, -5280
1707794856846, 173419, -5504, 7744, -5360
1707794856857, 173430, -5744, 8128, -5536
1707794856868, 173441, -6000, 8000, -5696
1707794856879, 173452, -6192, 7936, -5776
1707794856890, 173463, -6272, 7968, -5616
1707794856901, 173474, -6400, 8032, -5536
1707794856912, 173485, -6336, 8096, -5360
1707794856923, 173496, -6272, 8304, -5120
1707794856934, 173507, -6368, 8464, -4864
1707794856945, 173518, -6720, 9008, -4896
1707794856956, 173529, -7328, 8928, -5056
1707794856967, 173540, -7808, 9600, -5104
1707794856978, 173551, -7920, 9136, -5040
1707794856989, 173562, -8288, 9360, -4784
1707794857000, 173573, -8576, 9264, -4224
1707794857011, 173584, -8816, 9280, -3664
1707794857022, 173595, -9168, 9104, -3280
1707794857033, 173606, -9408, 9024, -2800
1707794857044, 173617, -9600, 9248, -2608
1707794857055, 173628, -9728, 9344, -2256
1707794857066, 173639, -9840, 9552, -1920
1707794857077, 173650, -10176, 9136, -1856
1707794857088, 173661, -10352, 8912, -1984
1707794857099, 173672, -10560, 9008, -2304
1707794857110, 173683, -10416, 9216, -2496
1707794857121, 173694, -11024, 9152, -2928
1707794857132, 173705, -10800, 9136, -2960
1707794857143, 173716, -11008, 8896, -2688
1707794857154, 173727, -10848, 8400, -2096
1707794857165, 173738, -10640, 8016, -1712
1707794857176, 173749, -10176, 7520, -1344
1707794857187, 173760, -10192, 6976, -2112
1707794857198, 173771, -9632, 6640, -2896
1707794857209, 173782, -9152, 6720, -3632
1707794857220, 173793, -9168, 6352, -4048
1707794857231, 173804, -8592, 6096, -4352
1707794857244, 173815, -8336, 5760, -5008
1707794857253, 173826, -8464, 5504, -5152
1707794857264, 173837, -8704, 5344, -5216
1707794857276, 173848, -8816, 4720, -4800
1707794857286, 173859, -7840, 4240, -4176
1707794857297, 173870, -7728, 3680, -3664
1707794857310, 173881, -7472, 3200, -2880
1707794857319, 173892, -5744, 2896, -2544
1707794857330, 173903, -4912, 2432, -2160
1707794857343, 173914, -4688, 2240, -2032
1707794857352, 173925, -5840, 256, 848
1707794857363, 173936, -5216, 2544, -544
1707794857374, 173947, -2544, 1664, -2560
1707794857385, 173958, -2560, 448, -4400
1707794857396, 173969, -2816, 1984, -4016
1707794857407, 173980, -2016, 1504, -4848
1707794857418, 173991, -2736, 960, -5216
1707794857429, 174002, -2368, 464, -5136
1707794857440, 174013, -2736, 496, -5024
1707794857451, 174024, -2400, 1024, -4880
1707794857462, 174035, -2304, 2000, -6208
1707794857473, 174046, -1904, 2432, -6032
1707794857484, 174057, -1664, 2608, -5824
1707794857495, 174068, -1712, 2656, -5712
1707794857506, 174079, -1520, 2816, -5744
1707794857517, 174090, -1472, 2368, -5648
1707794857528, 174101, -2464, 1968, -5712
1707794857539, 174112, -2608, 1760, -5968
1707794857550, 174123, -2656, 1776, -5984
1707794857561, 174134, -2736, 1776, -5904
1707794857572, 174145, -2688, 2080, -5744
1707794857583, 174156, -2624, 2672, -5728
1707794857594, 174167, -2384, 3536, -5920
1707794857605, 174178, -2224, 4000, -5904
1707794857617, 174189, -2128, 4112, -5856
1707794857627, 174200, -2256, 3840, -5808
1707794857638, 174211, -2224, 3856, -5440
1707794857649, 174222, -2304, 4032, -5392
1707794857660, 174233, -2032, 4464, -5664
1707794857671, 174244, -1712, 4768, -5568
1707794857682, 174255, -1504, 5120, -5664
1707794857693, 174266, -1296, 5488, -5728
1707794857704, 174277, -1248, 5632, -5760
1707794857715, 174288, -1232, 5744, -5728
