Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208866424, 876104, -3600, -2112, 6384
1708208866437, 876118, -3728, -2128, 6288
1708208866449, 876130, -3792, -2208, 6224
1708208866462, 876142, -3888, -2192, 6048
1708208866475, 876154, -3904, -2192, 5952
1708208866488, 876167, -3952, -2192, 6256
1708208866499, 876180, -3904, -2224, 6080
1708208866512, 876192, -3920, -2256, 5984
1708208866524, 876205, -3984, -2208, 6112
1708208866537, 876217, -3856, -2096, 6288
1708208866550, 876229, -3952, -2064, 6272
1708208866563, 876242, -4000, -1984, 6288
1708208866575, 876255, -3968, -1968, 6272
1708208866587, 876267, -3904, -1968, 6128
1708208866599, 876279, -3936, -2032, 6112
1708208866612, 876293, -3904, -2064, 6160
1708208866625, 876305, -3920, -2016, 6224
1708208866638, 876317, -3904, -1952, 6352
1708208866650, 876329, -3952, -1952, 6448
1708208866662, 876342, -3792, -1968, 6784
1708208866674, 876355, -3632, -2048, 6976
1708208866687, 876367, -3680, -2064, 6864
1708208866700, 876380, -3760, -1952, 6800
1708208866712, 876392, -3792, -1984, 6720
1708208866725, 876404, -3712, -2016, 6608
1708208866738, 876418, -3552, -1984, 6704
1708208866749, 876430, -3424, -2048, 6624
1708208866762, 876442, -3552, -1984, 6608
1708208866774, 876454, -3328, -2000, 6800
1708208866787, 876468, -3392, -1984, 6864
1708208866800, 876480, -3536, -1872, 6768
1708208866813, 876492, -3584, -1792, 6704
1708208866824, 876505, -3760, -1792, 6512
1708208866837, 876517, -3840, -1824, 6480
1708208866850, 876530, -3792, -1856, 6544
1708208866862, 876542, -3792, -1760, 6272
1708208866875, 876555, -3920, -1680, 6144
1708208866888, 876567, -3904, -1744, 6272
1708208866901, 876580, -3856, -1712, 6304
1708208866913, 876593, -3808, -1856, 6416
1708208866925, 876605, -3584, -2016, 6448
1708208866937, 876617, -3472, -1984, 6400
1708208866950, 876630, -3536, -2064, 6288
1708208866962, 876643, -3728, -2080, 6288
1708208866975, 876655, -3744, -1968, 6256
1708208866988, 876667, -3680, -2016, 6192
1708208867001, 876680, -3776, -2080, 6320
1708208867013, 876692, -3808, -1920, 6320
1708208867025, 876705, -3760, -1936, 6176
1708208867037, 876718, -3664, -2048, 6192
1708208867050, 876730, -3600, -2176, 6336
1708208867062, 876742, -3552, -2160, 6272
1708208867075, 876755, -3456, -2160, 6352
1708208867088, 876768, -3424, -2176, 6256
1708208867101, 876780, -3456, -2144, 6272
1708208867112, 876792, -3520, -2144, 6320
1708208867125, 876805, -3440, -2128, 6288
1708208867138, 876818, -3488, -2176, 6496
1708208867150, 876830, -3552, -2224, 6208
1708208867163, 876843, -3456, -2208, 6320
1708208867176, 876855, -3728, -2336, 6416
1708208867187, 876867, -3600, -2272, 6464
1708208867200, 876880, -3616, -2304, 6512
