Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208606034, 615721, 2592, 1584, 7136
1708208606047, 615734, 2720, 1744, 6976
1708208606060, 615746, 2816, 1792, 6848
1708208606072, 615758, 2960, 1872, 6816
1708208606084, 615771, 2784, 1984, 6768
1708208606096, 615784, 2816, 1984, 6880
1708208606109, 615796, 2672, 1952, 6816
1708208606122, 615809, 2720, 2032, 6816
1708208606134, 615821, 2832, 2048, 6704
1708208606146, 615833, 2784, 2032, 6624
1708208606159, 615846, 2800, 1936, 6736
1708208606171, 615859, 2912, 1904, 6848
1708208606184, 615871, 3040, 1872, 6832
1708208606197, 615883, 2976, 1808, 7056
1708208606210, 615896, 2928, 1904, 7088
1708208606221, 615908, 3088, 1952, 7088
1708208606234, 615921, 2880, 1984, 7120
1708208606246, 615933, 2896, 2000, 7120
1708208606259, 615946, 2880, 1936, 7104
1708208606272, 615958, 2976, 1952, 6976
1708208606285, 615970, 3056, 1888, 6976
1708208606296, 615984, 3056, 1888, 7088
1708208606309, 615996, 3088, 2016, 7088
1708208606321, 616008, 3120, 1984, 7104
1708208606334, 616020, 3296, 1872, 7168
1708208606346, 616033, 3840, 1936, 7152
1708208606358, 616046, 4144, 2208, 7024
1708208606371, 616058, 4672, 2640, 6736
1708208606384, 616071, 4880, 3152, 6560
1708208606396, 616083, 4928, 3600, 6480
1708208606414, 616095, 4944, 3728, 6816
1708208606420, 616108, 5360, 4288, 6720
1708208606433, 616121, 5568, 4880, 6816
1708208606446, 616133, 6368, 6336, 6416
1708208606458, 616145, 6880, 8288, 5808
1708208606471, 616158, 5776, 9872, 5760
1708208606484, 616170, 3728, 9872, 6704
1708208606496, 616183, 1760, 9248, 7424
1708208606509, 616196, 1488, 8976, 7616
1708208606521, 616208, 2208, 8992, 7488
1708208606533, 616220, 1872, 8384, 6992
1708208606546, 616232, 576, 8000, 6384
1708208606559, 616245, 144, 7632, 5200
1708208606577, 616258, -3168, 7792, 3504
1708208606583, 616270, -5200, 7840, 2048
1708208606596, 616283, -7392, 7728, 304
1708208606608, 616295, -8464, 6848, 0
1708208606620, 616307, -8256, 5648, 848
1708208606633, 616320, -9296, 4288, 2816
1708208606645, 616333, -9072, 4128, 2496
1708208606658, 616345, -9008, 4240, 2656
1708208606671, 616357, -9744, 3248, 3152
1708208606683, 616370, -12208, 3040, 3152
1708208606696, 616382, -12432, 2944, 3792
1708208606709, 616395, -13280, 1808, 4576
1708208606720, 616408, -13376, 1200, 4944
1708208606733, 616420, -13408, 784, 4880
1708208606745, 616432, -13216, 480, 4704
1708208606758, 616444, -13920, -256, 5616
1708208606771, 616458, -14576, -1168, 6160
1708208606784, 616470, -14624, -2304, 7104
1708208606797, 616482, -15248, -2960, 7664
1708208606808, 616495, -13376, -2496, 7232
1708208606821, 616508, -12256, -1488, 6912
1708208606833, 616520, -12480, -1584, 7376
1708208606846, 616532, -13040, -2624, 7984
1708208606859, 616545, -11664, -3024, 8784
1708208606871, 616558, -9472, -2944, 9920
1708208606884, 616570, -7728, -2160, 10368
1708208606897, 616583, -6032, -688, 10512
1708208606908, 616595, -5072, 400, 10320
1708208606921, 616608, -4976, 1488, 9584
1708208606933, 616621, -5472, 2912, 8240
1708208606946, 616633, -8336, 3456, 7264
1708208606959, 616645, -10032, 3008, 6272
1708208606972, 616657, -10928, 2976, 5376
1708208606983, 616671, -11392, 2400, 4928
1708208606996, 616683, -11120, 2288, 4032
1708208607008, 616695, -10544, 2272, 2992
1708208607021, 616708, -9792, 2400, 2192
1708208607034, 616721, -8528, 2320, 2416
1708208607046, 616733, -7856, 2144, 3936
1708208607058, 616745, -7632, 1712, 4832
1708208607071, 616758, -7376, 1504, 5648
1708208607083, 616770, -6288, 1264, 6032
1708208607096, 616783, -5360, 1824, 6432
1708208607109, 616796, -6768, 688, 5632
1708208607121, 616808, -6336, 1776, 6144
1708208607133, 616820, -6016, 2256, 5984
1708208607146, 616833, -5808, 2112, 5728
1708208607158, 616845, -6144, 1552, 5952
1708208607171, 616858, -6112, 1168, 6368
1708208607183, 616870, -6256, 688, 7264
1708208607196, 616883, -6304, 0, 8656
1708208607209, 616895, -6672, -112, 8992
1708208607220, 616907, -7440, 16, 8928
1708208607233, 616920, -8416, -304, 9184
1708208607245, 616933, -9280, -528, 8224
1708208607258, 616945, -9760, -736, 7936
1708208607271, 616957, -9808, -1184, 8384
1708208607284, 616970, -10528, -976, 8464
1708208607295, 616982, -12288, -1024, 8672
1708208607308, 616995, -13888, -1152, 8576
1708208607321, 617008, -15648, -1056, 8576
1708208607333, 617020, -16768, -608, 8144
1708208607346, 617032, -17776, -896, 9104
1708208607359, 617046, -18528, -1664, 10864
1708208607372, 617058, -19216, -1472, 11536
1708208607383, 617070, -20416, -2624, 11888
1708208607396, 617082, -20288, -2496, 12304
1708208607409, 617096, -19552, -784, 12960
1708208607421, 617108, -19584, 1008, 12272
1708208607434, 617120, -20752, 3632, 10160
1708208607447, 617133, -23376, 4800, 7904
1708208607460, 617146, -26640, 5376, 6688
1708208607471, 617158, -26240, 5136, 6480
1708208607484, 617170, -23392, 5440, 6944
1708208607496, 617183, -20880, 5712, 7968
1708208607509, 617196, -19712, 6288, 9024
1708208607522, 617208, -20336, 7136, 9616
1708208607535, 617221, -22128, 8528, 9424
1708208607546, 617233, -23344, 10000, 8576
1708208607559, 617246, -22320, 11456, 7632
1708208607572, 617259, -21840, 12608, 6064
1708208607584, 617271, -18576, 12384, 4816
1708208607597, 617283, -15856, 11504, 3968
1708208607610, 617296, -13536, 11872, 2768
1708208607623, 617309, -13888, 13040, 1984
1708208607634, 617321, -14000, 16800, -32
1708208607647, 617334, -12656, 19968, 832
1708208607659, 617347, -10832, 20976, 1600
1708208607672, 617359, -8544, 21024, 224
1708208607685, 617371, -6688, 22112, -3488
1708208607698, 617383, -5408, 23008, -6752
1708208607710, 617397, -4352, 22384, -4992
1708208607722, 617409, -4000, 19536, 192
1708208607734, 617421, -4096, 17776, 976
1708208607747, 617434, -3792, 19312, -1872
1708208607760, 617447, -2880, 17568, -4192
1708208607773, 617459, -192, 15088, -5744
1708208607786, 617472, 4544, 13024, -6784
1708208607797, 617484, 8912, 11152, -7152
1708208607810, 617497, 10640, 9536, -7456
1708208607822, 617509, 9504, 8240, -7136
1708208607835, 617522, 7584, 6560, -4768
1708208607848, 617534, 6256, 6352, -1040
1708208607859, 617546, 5968, 7488, 2592
1708208607872, 617560, 5456, 8336, 6416
1708208607885, 617572, 4608, 9056, 7872
1708208607897, 617584, 4640, 8400, 8048
1708208607910, 617596, 6816, 7760, 8256
1708208607922, 617609, 5824, 6080, 5776
1708208607935, 617622, 3360, 1712, 3280
1708208607948, 617634, 5392, 1920, 7264
1708208607959, 617647, 6048, 1216, 8896
1708208607972, 617659, 6064, 832, 10928
1708208607984, 617671, 5120, 3760, 10992
1708208607997, 617683, 2496, 6512, 9856
1708208608009, 617697, 208, 7184, 7808
1708208608022, 617709, -1968, 5200, 6368
1708208608035, 617721, -208, 5120, 8000
1708208608048, 617734, 2128, 5088, 7728
1708208608059, 617746, 3200, 3936, 6720
1708208608072, 617759, 3136, 2848, 5824
1708208608084, 617772, 3040, 2288, 6816
1708208608097, 617784, 3408, 2368, 7872
1708208608110, 617796, 3824, 2944, 7984
1708208608122, 617808, 2912, 2944, 7696
1708208608134, 617821, 1216, 1968, 8432
1708208608147, 617834, 144, 2080, 9632
1708208608159, 617846, -608, 2432, 8800
1708208608171, 617859, 416, 4112, 7024
1708208608184, 617871, 1952, 5520, 4688
