Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208723653, 733337, 6736, 32, 4544
1708208723666, 733349, 6688, -32, 4608
1708208723677, 733362, 6704, 32, 4560
1708208723690, 733374, 6688, 16, 4672
1708208723703, 733386, 6624, -32, 4816
1708208723715, 733399, 6608, 64, 4816
1708208723727, 733411, 6656, 144, 4832
1708208723739, 733424, 6736, 112, 4672
1708208723752, 733436, 6656, 96, 4560
1708208723765, 733449, 6800, 32, 4432
1708208723778, 733461, 6768, 48, 4416
1708208723790, 733473, 6816, 32, 4400
1708208723801, 733486, 6720, 48, 4544
1708208723814, 733498, 6576, 96, 4720
1708208723827, 733510, 6672, 128, 4528
1708208723840, 733523, 6608, 96, 4432
1708208723851, 733536, 6640, 32, 4464
1708208723864, 733548, 6640, -112, 4464
1708208723877, 733560, 6544, -144, 4288
1708208723889, 733573, 6496, -256, 4192
1708208723902, 733585, 6384, -320, 4096
1708208723913, 733597, 6112, -560, 3904
1708208723926, 733611, 5344, -832, 4032
1708208723939, 733623, 5136, -976, 3840
1708208723952, 733635, 3568, -1040, 3376
1708208723964, 733647, 2000, -1376, 2176
1708208723977, 733660, 1008, -1472, 1840
1708208723988, 733673, 64, -1024, 496
1708208724001, 733685, -1376, -1744, 16
1708208724013, 733698, -3120, -2192, -768
1708208724026, 733710, -3952, -2416, -1568
1708208724039, 733722, -4192, -2144, -1792
1708208724052, 733734, -4608, -1632, -1648
1708208724063, 733748, -4512, -2032, 1328
1708208724076, 733760, -5152, -3296, 3136
1708208724089, 733772, -5888, -3920, 4736
1708208724101, 733785, -5504, -3600, 5584
1708208724114, 733797, -6112, -2576, 6928
1708208724127, 733810, -5792, -3040, 13952
1708208724139, 733822, -5312, -4016, 23488
1708208724151, 733835, -5472, -3088, 31728
1708208724163, 733847, -6592, -928, 32624
1708208724176, 733860, -7024, 1680, 32640
1708208724189, 733873, -9120, 6496, 27072
1708208724202, 733885, -6880, 11056, 18912
1708208724214, 733897, -3024, 14960, 15824
1708208724227, 733911, -2144, 14320, 14832
1708208724239, 733923, -1520, 11792, 19152
1708208724252, 733935, -1696, 9760, 24512
1708208724264, 733947, -1280, 10832, 25088
1708208724277, 733961, -2688, 12144, 17360
1708208724290, 733973, -3920, 13360, 10448
1708208724302, 733985, -4208, 13552, 5296
1708208724315, 733999, -4864, 10816, 4624
1708208724326, 734011, -3664, 9360, 4144
1708208724339, 734023, -3408, 9024, 3952
1708208724352, 734035, -2112, 8400, 4288
1708208724365, 734048, -2432, 6992, 4432
1708208724377, 734061, -3616, 5312, 3632
1708208724390, 734073, -5568, 3728, 496
1708208724401, 734086, -6032, 624, -3616
1708208724414, 734098, -2080, -1072, -3024
1708208724427, 734110, 1952, -720, -880
1708208724440, 734123, 2992, 48, -80
1708208724452, 734136, 2944, 1296, 144
1708208724463, 734148, 1312, 2736, -1600
1708208724476, 734160, -144, 4096, -4912
1708208724489, 734173, -336, 4240, -6000
1708208724502, 734185, 1008, 3088, -2720
1708208724514, 734197, 2736, 1760, -912
1708208724527, 734211, 2800, 2512, -784
1708208724538, 734223, 2656, 3584, -1216
1708208724551, 734235, 2688, 4608, 32
1708208724564, 734247, 1744, 5568, 2016
1708208724577, 734260, -5296, 6544, 976
1708208724589, 734272, -8896, 8784, -864
1708208724601, 734285, -9920, 13024, -176
1708208724613, 734298, -10864, 16048, 2624
1708208724626, 734310, -12512, 17168, 6064
1708208724639, 734322, -12992, 17168, 8432
1708208724652, 734336, -12480, 17584, 8368
1708208724664, 734348, -11104, 17888, 8112
1708208724676, 734360, -8160, 17456, 8832
1708208724689, 734372, -7456, 17472, 8736
1708208724701, 734386, -3968, 16272, 7888
1708208724714, 734398, -3968, 14208, 5824
1708208724727, 734410, -4000, 13728, 2864
1708208724740, 734423, -3840, 14304, -432
1708208724752, 734436, -3696, 14768, -2224
1708208724764, 734448, -4992, 13184, -1296
1708208724776, 734460, -6752, 9424, 736
1708208724789, 734473, -7424, 6112, 1872
1708208724802, 734485, -7232, 240, 3824
1708208724815, 734498, -8784, -4272, 4288
1708208724827, 734511, -9072, -3616, 4608
1708208724840, 734523, -9472, -2192, 4032
1708208724851, 734535, -15056, -6720, 4944
1708208724864, 734548, -20512, -13776, 5408
1708208724877, 734561, -24608, -27360, 10208
1708208724890, 734573, -26864, -32464, 15008
1708208724903, 734585, -31376, -32624, 21584
1708208724915, 734599, -28784, -32624, 26208
1708208724928, 734611, -11120, -32624, 32288
1708208724939, 734623, 28848, -32624, 32640
1708208724952, 734637, 32528, -24064, 32640
1708208724965, 734649, 11664, -7552, 5088
1708208724978, 734661, -5504, -1312, -12672
1708208724990, 734674, -11136, -448, -14768
