Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708209161667, 1171340, 2064, 1120, 7472
1708209161680, 1171352, 2144, 1200, 7408
1708209161692, 1171364, 1984, 1168, 7376
1708209161705, 1171377, 1984, 1232, 7296
1708209161717, 1171390, 1968, 1184, 7296
1708209161731, 1171402, 1952, 1184, 7376
1708209161742, 1171415, 1984, 1232, 7408
1708209161756, 1171427, 1968, 1152, 7360
1708209161768, 1171440, 1968, 1120, 7360
1708209161780, 1171452, 1968, 1152, 7376
1708209161793, 1171465, 2096, 1104, 7120
1708209161805, 1171477, 2016, 1136, 7216
1708209161818, 1171489, 2224, 1168, 7152
1708209161830, 1171503, 2096, 1104, 7232
1708209161842, 1171515, 1984, 1040, 7184
1708209161855, 1171527, 1984, 960, 7136
1708209161869, 1171539, 2048, 912, 7040
1708209161880, 1171552, 2080, 784, 7040
1708209161892, 1171565, 2240, 784, 7008
1708209161904, 1171577, 2160, 800, 6752
1708209161917, 1171590, 2400, 816, 6800
1708209161931, 1171602, 2464, 608, 7136
1708209161943, 1171614, 2272, 448, 7248
1708209161955, 1171628, 2480, 288, 7152
1708209161968, 1171640, 2592, 112, 7072
1708209161980, 1171652, 2528, 32, 7072
1708209161993, 1171664, 2512, 80, 6896
1708209162005, 1171677, 2432, 112, 6720
1708209162017, 1171689, 2320, 160, 6496
1708209162030, 1171702, 2128, 272, 6000
1708209162042, 1171715, 1984, 16, 6064
1708209162054, 1171727, 1744, -704, 6480
1708209162067, 1171739, 1872, -1456, 6960
1708209162081, 1171751, 2208, -2000, 7104
1708209162093, 1171765, 2880, -2432, 6768
1708209162106, 1171777, 3280, -2400, 6128
1708209162118, 1171789, 2272, -1920, 4544
1708209162130, 1171802, 1152, -2000, 3968
1708209162143, 1171815, 864, -2592, 4704
1708209162155, 1171827, 960, -3392, 5328
1708209162168, 1171840, 992, -3696, 4384
1708209162180, 1171852, 1040, -4336, 3120
1708209162192, 1171864, 2448, -5792, 4128
1708209162205, 1171877, 2864, -7216, 6160
1708209162217, 1171890, 1824, -8128, 6624
1708209162230, 1171902, 1088, -7072, 5472
1708209162242, 1171914, 1024, -5904, 3344
1708209162254, 1171928, 1584, -6608, 3168
1708209162268, 1171940, 1120, -8160, 2896
1708209162281, 1171952, 1824, -9424, 2288
1708209162293, 1171964, 2608, -10544, 3664
1708209162306, 1171978, 2640, -10880, 4096
1708209162318, 1171990, 2448, -10000, 4128
1708209162330, 1172002, 2048, -8672, 2848
1708209162343, 1172015, 528, -8032, 880
1708209162355, 1172028, -112, -8000, -512
1708209162368, 1172040, -368, -9264, -640
1708209162380, 1172052, 96, -9712, -368
1708209162394, 1172065, 352, -9120, -176
1708209162405, 1172077, -1040, -8016, -640
1708209162419, 1172089, -2064, -6544, -2288
1708209162430, 1172103, -3632, -6032, -3664
1708209162444, 1172115, -3712, -6496, -4480
1708209162456, 1172127, -4816, -9840, -4352
1708209162468, 1172141, -4416, -11408, -4160
1708209162481, 1172153, -3440, -10576, -4320
1708209162493, 1172165, -4592, -9152, -5040
1708209162506, 1172177, -4816, -7552, -5792
1708209162518, 1172191, -5184, -6816, -6192
1708209162530, 1172203, -5328, -6864, -6944
1708209162543, 1172215, -5360, -6944, -7488
1708209162557, 1172228, -5008, -6272, -8288
1708209162568, 1172241, -5824, -6064, -8992
1708209162582, 1172253, -5904, -5776, -8592
1708209162594, 1172265, -6192, -6848, -8112
1708209162606, 1172279, -6480, -6320, -7184
1708209162619, 1172291, -5648, -4336, -6512
1708209162631, 1172303, -5248, -3536, -5168
1708209162644, 1172316, -6304, -2048, -3200
1708209162656, 1172329, -6528, -2080, -1568
1708209162668, 1172341, -6032, -1520, 192
1708209162681, 1172354, -5760, 128, 1216
1708209162695, 1172366, -5888, 2064, 2320
1708209162707, 1172379, -6112, 4224, 4240
1708209162720, 1172391, -6032, 4896, 3488
1708209162732, 1172404, -6048, 3424, 5072
1708209162744, 1172416, -4352, 3904, 6272
1708209162757, 1172428, -4080, 4608, 5968
1708209162769, 1172442, -3824, 4784, 5104
1708209162781, 1172454, -4224, 4928, 3456
1708209162794, 1172466, -2912, 4608, 3056
1708209162806, 1172478, -864, 5440, 2864
1708209162819, 1172492, 1744, 5200, 4448
1708209162833, 1172504, 2752, 4240, 6336
1708209162845, 1172516, 2912, 4192, 7184
1708209162857, 1172529, 1808, 4880, 5104
1708209162870, 1172542, 688, 3728, 4208
1708209162882, 1172554, 1152, 2704, 4736
1708209162895, 1172567, 1392, 2400, 4736
1708209162907, 1172579, 1392, 1248, 5296
1708209162919, 1172591, -800, 1008, 6096
1708209162932, 1172604, -2784, 704, 6096
1708209162944, 1172617, -5408, -960, 6432
1708209162957, 1172629, -6096, -3136, 6528
1708209162969, 1172641, -3712, -3280, 6576
1708209162981, 1172654, -1888, -2000, 5680
1708209162994, 1172667, -1648, -1952, 5488
1708209163008, 1172679, -2448, -2608, 6000
1708209163020, 1172691, -3472, -2176, 5184
1708209163033, 1172704, -3472, -656, 3104
1708209163045, 1172717, -3232, -976, 2288
1708209163057, 1172729, -1568, -2016, 3136
1708209163070, 1172742, -848, -2320, 3088
1708209163082, 1172754, -576, -3168, 3248
1708209163094, 1172767, -1616, -3936, 3760
1708209163107, 1172780, -3872, -3984, 3440
1708209163121, 1172792, -7152, -5248, 4032
1708209163132, 1172804, -8320, -7328, 5104
1708209163146, 1172817, -6192, -8016, 6272
1708209163158, 1172830, -3904, -8160, 6992
1708209163170, 1172842, -3504, -8384, 7392
1708209163183, 1172854, -1984, -8672, 6992
1708209163195, 1172868, -3440, -9312, 6272
1708209163208, 1172880, -2944, -9968, 5792
1708209163220, 1172892, -1632, -9808, 5488
1708209163232, 1172904, -592, -9072, 4144
1708209163245, 1172918, -224, -8400, 3744
1708209163259, 1172930, -1472, -7744, 4000
1708209163270, 1172942, -3248, -6624, 4048
1708209163284, 1172955, -3808, -6128, 4528
1708209163296, 1172968, -3568, -6768, 4352
1708209163308, 1172980, -2448, -7136, 3728
1708209163321, 1172993, -2032, -7376, 3600
1708209163333, 1173005, -480, -7824, 4272
1708209163346, 1173018, 16, -7952, 5328
1708209163358, 1173030, -512, -8304, 5760
1708209163370, 1173043, -656, -8480, 5584
1708209163383, 1173055, -992, -8720, 5200
1708209163395, 1173067, -1968, -9312, 4720
1708209163408, 1173081, -2064, -9792, 5168
1708209163421, 1173093, -1952, -9776, 5232
1708209163434, 1173105, -1280, -9872, 5136
1708209163446, 1173117, -1040, -9360, 5712
1708209163459, 1173131, -944, -8800, 5232
1708209163471, 1173143, -1280, -8304, 4576
1708209163483, 1173155, -1600, -7520, 4048
1708209163496, 1173168, -1232, -6496, 4224
1708209163508, 1173181, -2240, -4800, 3008
1708209163521, 1173193, -2896, -4816, 2896
1708209163533, 1173206, -1840, -5440, 3968
1708209163546, 1173218, -640, -5808, 4432
1708209163559, 1173231, -800, -5392, 3664
1708209163572, 1173243, -1472, -5040, 2176
1708209163584, 1173256, -800, -5136, 3392
1708209163597, 1173268, -336, -5632, 4496
1708209163609, 1173280, -368, -5488, 4688
1708209163621, 1173294, -576, -5088, 4448
1708209163634, 1173306, -1568, -5280, 3888
1708209163646, 1173318, -832, -5952, 4480
1708209163659, 1173330, -736, -6704, 4944
1708209163671, 1173344, -960, -7232, 5280
1708209163683, 1173356, -1472, -7248, 5184
1708209163696, 1173368, -1664, -6832, 4384
1708209163710, 1173381, -976, -6464, 4592
1708209163722, 1173394, -832, -6528, 4480
1708209163735, 1173406, -992, -6864, 4496
1708209163747, 1173419, -1216, -6832, 4560
1708209163759, 1173431, -1136, -6576, 4656
1708209163772, 1173443, -1184, -6672, 4256
1708209163784, 1173456, -976, -6928, 4416
1708209163797, 1173469, -928, -7040, 4864
1708209163809, 1173481, -1120, -6624, 4592
1708209163821, 1173493, -1120, -5904, 4752
1708209163834, 1173507, -1120, -6096, 4992
1708209163848, 1173519, -1200, -6560, 5472
1708209163859, 1173531, -1312, -6144, 4896
1708209163873, 1173543, -1536, -5776, 4032
1708209163885, 1173557, -1568, -5456, 3888
1708209163897, 1173569, -1392, -5776, 4080
1708209163910, 1173581, -1328, -6288, 4416
1708209163922, 1173594, -1504, -6416, 4592
