Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208656304, 665990, 3248, 752, 7136
1708208656317, 666002, 3200, 784, 7200
1708208656329, 666014, 3072, 832, 7184
1708208656341, 666027, 3072, 832, 7120
1708208656354, 666039, 3024, 864, 7120
1708208656365, 666052, 3136, 880, 7104
1708208656378, 666064, 3168, 880, 7024
1708208656391, 666077, 3136, 816, 7024
1708208656404, 666089, 3200, 832, 7120
1708208656416, 666101, 3264, 784, 7104
1708208656429, 666114, 3248, 752, 7200
1708208656441, 666126, 3328, 704, 7200
1708208656452, 666139, 3264, 672, 7040
1708208656465, 666151, 3200, 624, 7168
1708208656478, 666164, 3264, 688, 7072
1708208656491, 666176, 3392, 688, 6992
1708208656503, 666188, 3280, 720, 6960
1708208656516, 666201, 3312, 640, 6976
1708208656527, 666214, 3280, 592, 6992
1708208656540, 666226, 3200, 624, 7120
1708208656553, 666238, 3296, 640, 7120
1708208656565, 666251, 3264, 608, 7008
1708208656578, 666263, 3280, 656, 7056
1708208656590, 666275, 3344, 656, 7152
1708208656603, 666288, 3264, 672, 7056
1708208656614, 666301, 3392, 688, 7072
1708208656627, 666313, 3408, 480, 6960
1708208656640, 666326, 3552, 352, 6960
1708208656652, 666338, 3904, 448, 6944
1708208656665, 666350, 4112, 544, 7040
1708208656677, 666362, 4192, 416, 6864
1708208656689, 666375, 4176, 48, 7120
1708208656702, 666388, 4512, -480, 7392
1708208656715, 666400, 4640, -1296, 7424
1708208656728, 666413, 5024, -2272, 8016
1708208656739, 666425, 5312, -3392, 8432
1708208656752, 666437, 5552, -4352, 8416
1708208656765, 666450, 5232, -5440, 8128
1708208656777, 666463, 5168, -5744, 7440
1708208656790, 666475, 5264, -5792, 6736
1708208656801, 666487, 5328, -6320, 6624
1708208656814, 666500, 5152, -6880, 6976
1708208656827, 666512, 4816, -7808, 8096
1708208656840, 666525, 4384, -8304, 9664
1708208656852, 666537, 3664, -8720, 11088
1708208656865, 666550, 2448, -8640, 11824
1708208656876, 666562, 1152, -7424, 11488
1708208656889, 666575, -16, -5568, 10832
1708208656902, 666588, -2064, -4656, 10224
1708208656915, 666600, -2672, -3840, 9792
1708208656927, 666612, -5936, -3280, 9312
1708208656940, 666625, -6960, -2432, 9376
1708208656951, 666638, -8208, -1872, 9008
1708208656965, 666650, -9616, -896, 7616
1708208656976, 666662, -11120, -400, 6384
1708208656989, 666675, -12352, 48, 5216
1708208657002, 666687, -12368, 1392, 3648
1708208657015, 666700, -12224, 2704, 2896
1708208657027, 666713, -12192, 3280, 3200
1708208657040, 666725, -11920, 4064, 3824
1708208657052, 666737, -12224, 4240, 4304
1708208657064, 666750, -10640, 5168, 4448
1708208657078, 666763, -9600, 6288, 4144
1708208657089, 666775, -9344, 7264, 4592
1708208657102, 666787, -10080, 7808, 5136
1708208657115, 666800, -10816, 8528, 5088
1708208657127, 666813, -12112, 9216, 4240
1708208657140, 666825, -12944, 9392, 3472
1708208657151, 666838, -12848, 9168, 3840
1708208657164, 666850, -12720, 9984, 4448
1708208657177, 666863, -11488, 11104, 6048
1708208657190, 666875, -9520, 11808, 7040
1708208657203, 666888, -8848, 11120, 7936
1708208657215, 666900, -8816, 11712, 6976
1708208657228, 666913, -8480, 13760, 3024
1708208657239, 666926, -7968, 13824, 208
1708208657252, 666938, -7072, 12704, -1008
1708208657265, 666950, -4944, 12800, -2640
1708208657278, 666963, -2368, 13696, -3152
1708208657290, 666976, -1056, 13888, -1360
1708208657303, 666988, -1200, 13088, 816
1708208657314, 667000, -1392, 10720, 3520
1708208657327, 667014, -2992, 8048, 7936
1708208657340, 667026, -4320, 6560, 10032
1708208657353, 667038, -4880, 6224, 9552
1708208657365, 667051, -2768, 7344, 8736
1708208657378, 667063, -128, 8336, 7680
1708208657389, 667075, 2192, 9568, 6896
1708208657402, 667088, 3312, 10432, 7392
1708208657415, 667101, 2544, 10304, 8768
1708208657428, 667113, 288, 9088, 10800
1708208657440, 667125, -368, 7088, 12336
1708208657453, 667139, -2576, 5216, 13184
1708208657464, 667151, -2272, 4560, 12912
1708208657477, 667163, -1792, 5392, 11600
1708208657490, 667175, -1200, 6640, 10192
1708208657503, 667188, -736, 6448, 10224
1708208657515, 667201, -464, 5520, 10992
1708208657528, 667213, -176, 5232, 11616
1708208657539, 667226, -1120, 5264, 10576
1708208657552, 667238, -2560, 5264, 9424
1708208657565, 667250, -3152, 5440, 8096
1708208657578, 667264, -4976, 5616, 9440
1708208657590, 667276, -1152, 5904, 10656
1708208657603, 667288, -1888, 6112, 9568
1708208657615, 667300, -2928, 5792, 8816
1708208657627, 667313, -4000, 5552, 8704
1708208657640, 667326, -5696, 5184, 7504
1708208657653, 667338, -6144, 5792, 6368
1708208657665, 667351, -6032, 6784, 6272
1708208657678, 667363, -5408, 7488, 7296
1708208657690, 667375, -5344, 8032, 8064
1708208657703, 667388, -6048, 8368, 8208
1708208657716, 667401, -6464, 8880, 8192
1708208657727, 667413, -7024, 9520, 7696
1708208657740, 667425, -7472, 9856, 7584
1708208657753, 667438, -7136, 9088, 8320
1708208657765, 667451, -6368, 9248, 8592
1708208657778, 667463, -5872, 9280, 8592
1708208657789, 667475, -6016, 9184, 8832
1708208657802, 667488, -6256, 8512, 9744
1708208657815, 667500, -7264, 7312, 10912
1708208657828, 667513, -8080, 6288, 11312
1708208657840, 667526, -7344, 6432, 10688
1708208657853, 667538, -6704, 6672, 9472
1708208657866, 667550, -6544, 6752, 8448
1708208657877, 667564, -6800, 6688, 7680
1708208657890, 667576, -7424, 6000, 7264
1708208657903, 667588, -8512, 5232, 6608
1708208657915, 667600, -9712, 4560, 5392
1708208657928, 667613, -9968, 4160, 4896
1708208657939, 667626, -11776, 4176, 4112
1708208657952, 667638, -14912, 3440, 4432
1708208657965, 667651, -14416, 2704, 5440
1708208657978, 667663, -13344, 2336, 5872
1708208657990, 667676, -12416, 2464, 5184
1708208658003, 667688, -13744, 2864, 3216
1708208658014, 667701, -16832, 2272, 1808
1708208658027, 667713, -19920, 1008, 1696
1708208658040, 667725, -20784, -960, 4768
1708208658053, 667739, -21344, -3088, 8960
1708208658066, 667751, -21488, -5552, 10976
1708208658078, 667763, -22576, -7328, 13312
1708208658091, 667777, -20880, -8752, 12864
1708208658103, 667789, -18960, -9216, 11184
1708208658116, 667801, -15552, -9232, 11056
1708208658129, 667813, -13776, -8880, 10800
1708208658140, 667827, -10928, -9552, 13280
1708208658153, 667839, -9888, -12176, 16272
1708208658166, 667851, -9840, -13392, 18240
1708208658179, 667864, -11616, -15216, 18992
1708208658192, 667877, -11568, -23568, 10752
