Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208998502, 1008179, 3936, 1728, 5376
1708208998514, 1008191, 4000, 1824, 5808
1708208998527, 1008203, 3952, 1744, 6080
1708208998541, 1008217, 3600, 1664, 5920
1708208998552, 1008229, 3504, 1632, 5696
1708208998565, 1008241, 3424, 1792, 5472
1708208998578, 1008253, 3344, 1840, 4912
1708208998590, 1008267, 3520, 1872, 4816
1708208998603, 1008279, 4112, 2128, 4960
1708208998615, 1008291, 4128, 2480, 5184
1708208998627, 1008304, 3312, 2544, 5328
1708208998640, 1008316, 2688, 2400, 5584
1708208998652, 1008329, 2512, 2272, 5968
1708208998665, 1008342, 2816, 2112, 6160
1708208998677, 1008354, 3104, 1824, 6112
1708208998690, 1008366, 3360, 1600, 5968
1708208998702, 1008379, 3904, 1200, 6064
1708208998716, 1008392, 4144, 1056, 6000
1708208998727, 1008404, 4704, 1040, 5904
1708208998741, 1008416, 4752, 1168, 5760
1708208998753, 1008429, 4720, 1520, 5712
1708208998765, 1008442, 4592, 1712, 5840
1708208998778, 1008454, 4416, 1808, 5968
1708208998790, 1008466, 4336, 1584, 5760
1708208998803, 1008479, 4640, 1568, 5488
1708208998815, 1008492, 5040, 1440, 5360
1708208998827, 1008504, 5648, 1344, 5824
1708208998840, 1008517, 5776, 1392, 6000
1708208998854, 1008529, 6016, 1440, 6048
1708208998865, 1008541, 4992, 1712, 6096
1708208998878, 1008555, 4528, 2048, 6256
1708208998891, 1008567, 4576, 2560, 6096
1708208998903, 1008579, 4656, 2816, 5984
1708208998916, 1008591, 4624, 2640, 6016
1708208998928, 1008605, 4816, 2448, 6048
1708208998940, 1008617, 4944, 2352, 6064
1708208998953, 1008629, 5392, 2256, 5936
1708208998965, 1008642, 5584, 2352, 5488
1708208998978, 1008654, 5504, 2272, 5536
1708208998990, 1008667, 5600, 2160, 5568
1708208999002, 1008679, 5472, 2128, 5712
1708208999015, 1008692, 5072, 1904, 6272
1708208999029, 1008704, 4496, 1728, 6400
1708208999040, 1008717, 4208, 1936, 6144
1708208999054, 1008730, 4192, 2384, 5824
1708208999064, 1008742, 4208, 2544, 5616
1708208999078, 1008754, 4400, 2720, 5680
1708208999091, 1008766, 4240, 2432, 5936
1708208999103, 1008780, 4160, 2352, 6208
1708208999116, 1008792, 3584, 2352, 6112
1708208999128, 1008804, 2976, 2576, 5872
1708208999140, 1008817, 3040, 3040, 5328
1708208999153, 1008830, 2976, 3296, 4672
1708208999167, 1008842, 2832, 3232, 4464
1708208999178, 1008855, 2560, 2768, 4688
1708208999192, 1008867, 2448, 2560, 4528
1708208999202, 1008879, 2832, 2448, 4528
1708208999216, 1008892, 3200, 2224, 4592
1708208999229, 1008905, 3328, 2176, 4320
1708208999241, 1008917, 3360, 2128, 4592
1708208999253, 1008929, 3296, 1968, 4976
1708208999267, 1008943, 2896, 1952, 4976
1708208999278, 1008955, 3104, 1904, 5104
1708208999291, 1008967, 3376, 1872, 5280
1708208999303, 1008979, 3568, 1840, 5360
1708208999316, 1008992, 3680, 1824, 5280
1708208999328, 1009005, 3776, 1872, 5136
1708208999340, 1009017, 4048, 1936, 4944
1708208999353, 1009030, 3984, 1856, 5024
1708208999366, 1009042, 4000, 1920, 5120
1708208999379, 1009055, 4480, 2208, 5360
1708208999391, 1009068, 4320, 2144, 5536
1708208999404, 1009080, 4288, 2144, 5824
1708208999416, 1009092, 4208, 2272, 5696
1708208999428, 1009104, 4384, 2432, 5696
1708208999441, 1009118, 4976, 2448, 5952
1708208999453, 1009130, 5776, 2640, 6512
1708208999466, 1009142, 5744, 2288, 7600
1708208999478, 1009155, 5248, 2144, 8448
1708208999490, 1009168, 5216, 2336, 9616
1708208999504, 1009180, 5360, 2896, 10128
1708208999517, 1009192, 5040, 3632, 10400
1708208999529, 1009205, 4432, 4992, 9952
1708208999542, 1009218, 4064, 6432, 9808
1708208999554, 1009230, 3440, 7984, 10128
1708208999566, 1009243, 3008, 9136, 10352
1708208999579, 1009255, 1984, 10000, 11472
1708208999591, 1009268, 1072, 11504, 11440
1708208999604, 1009281, 128, 12688, 10992
1708208999617, 1009293, -1168, 13392, 9616
1708208999630, 1009305, -2128, 13072, 8672
1708208999642, 1009318, -2320, 12256, 8176
1708208999655, 1009331, -2208, 11568, 7808
1708208999667, 1009343, -1024, 10336, 7408
1708208999679, 1009355, -144, 8864, 6464
1708208999692, 1009369, 272, 7904, 5472
1708208999704, 1009381, 720, 6752, 4480
1708208999717, 1009393, 1824, 5920, 2800
1708208999729, 1009405, 2688, 4896, 1120
1708208999741, 1009418, 3136, 3472, 496
1708208999754, 1009431, 3520, 2624, 448
1708208999768, 1009443, 3216, 2128, 592
1708208999779, 1009456, 2720, 1984, -176
1708208999792, 1009468, 2800, 1664, -432
1708208999805, 1009480, 2160, 1744, -1824
1708208999817, 1009494, 1456, 960, -2304
1708208999830, 1009506, 1328, 320, -2320
1708208999842, 1009518, 1776, -512, -1024
1708208999855, 1009530, 2224, -1024, -96
1708208999867, 1009543, 3248, -704, 144
1708208999879, 1009556, 3488, -144, -736
1708208999892, 1009568, 3104, 256, -1600
1708208999904, 1009581, 2800, -768, -112
1708208999917, 1009593, 1568, -2128, 800
