Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208786619, 796301, 1696, 864, 7280
1708208786632, 796314, 1776, 880, 7472
1708208786645, 796326, 1808, 928, 7456
1708208786657, 796339, 1888, 800, 7200
1708208786668, 796351, 1952, 640, 7568
1708208786681, 796363, 1984, 528, 7728
1708208786694, 796376, 1936, 400, 7616
1708208786706, 796388, 1872, 496, 7440
1708208786719, 796401, 1888, 496, 7216
1708208786732, 796413, 1920, 480, 7264
1708208786743, 796426, 1904, 336, 7408
1708208786756, 796438, 1936, 368, 7424
1708208786768, 796450, 1840, 288, 7824
1708208786781, 796463, 1888, 144, 8016
1708208786794, 796475, 2032, 272, 7760
1708208786805, 796488, 1968, 352, 7392
1708208786818, 796500, 1792, 672, 6832
1708208786830, 796513, 1616, 816, 6544
1708208786843, 796525, 1680, 672, 6896
1708208786856, 796537, 1712, 448, 7376
1708208786869, 796550, 1632, 560, 7312
1708208786880, 796563, 1984, 496, 7456
1708208786892, 796575, 1888, 528, 7264
1708208786905, 796588, 1808, 768, 7008
1708208786918, 796600, 1664, 928, 6592
1708208786931, 796612, 1648, 1088, 6352
1708208786942, 796624, 1552, 1328, 6080
1708208786955, 796638, 1488, 1424, 6208
1708208786967, 796650, 1456, 1536, 6160
1708208786980, 796662, 1552, 1392, 6704
1708208786993, 796675, 1776, 1552, 6944
1708208787006, 796687, 1840, 1904, 7024
1708208787017, 796699, 1648, 2320, 6912
1708208787030, 796712, 1504, 2992, 6496
1708208787042, 796725, 1296, 3888, 6144
1708208787055, 796737, 1104, 4448, 6064
1708208787068, 796749, 1280, 5072, 6864
1708208787081, 796762, 1184, 5424, 8080
1708208787092, 796775, 1232, 5952, 8560
1708208787104, 796787, -80, 6768, 8128
1708208787117, 796800, -1456, 6880, 7408
1708208787130, 796812, -2240, 6144, 7472
1708208787143, 796824, -1728, 4816, 8848
1708208787154, 796836, -656, 3904, 10512
1708208787167, 796850, -128, 3696, 10992
1708208787179, 796862, -544, 3616, 10272
1708208787192, 796874, -1088, 3488, 9184
1708208787205, 796887, -1120, 2608, 8800
1708208787218, 796899, -2144, 1360, 8272
1708208787229, 796912, -2576, 160, 7968
1708208787242, 796924, -2176, -896, 8000
1708208787254, 796937, -1920, -2592, 8352
1708208787267, 796949, -2096, -4240, 8512
1708208787280, 796961, -1904, -4912, 8144
1708208787293, 796975, -1472, -5696, 8256
1708208787304, 796987, -1408, -6624, 8592
1708208787317, 796999, -1280, -7264, 9008
1708208787329, 797011, -1024, -7888, 9296
1708208787342, 797025, -160, -7536, 9152
1708208787355, 797037, -144, -6880, 8592
1708208787367, 797049, -608, -6544, 8144
1708208787380, 797062, -1200, -6928, 7904
1708208787393, 797074, -1456, -7712, 7680
1708208787404, 797086, -1040, -8192, 8032
1708208787417, 797100, -592, -8768, 8416
1708208787429, 797112, -336, -9056, 9104
1708208787442, 797124, -352, -8832, 8896
1708208787455, 797136, 32, -8480, 8304
1708208787468, 797149, -512, -7824, 7360
1708208787479, 797162, -2048, -9472, 8928
1708208787492, 797174, -1824, -10176, 9904
1708208787504, 797187, -1088, -9744, 10976
1708208787517, 797199, -1360, -9200, 10704
1708208787530, 797211, -2448, -8448, 9088
1708208787543, 797224, -3008, -7968, 7328
1708208787554, 797237, -3024, -7184, 5472
1708208787567, 797249, -2848, -6544, 4368
1708208787579, 797261, -2032, -6112, 4512
1708208787592, 797275, -1072, -6352, 5056
1708208787605, 797287, -976, -6928, 5888
1708208787618, 797299, -624, -7120, 6320
1708208787629, 797312, -480, -7216, 6352
1708208787642, 797324, -64, -6944, 6224
1708208787654, 797336, -16, -6800, 6240
1708208787667, 797349, 64, -6720, 6064
1708208787680, 797362, 192, -6496, 5888
1708208787691, 797374, 512, -6416, 5712
1708208787704, 797386, 656, -6400, 5664
1708208787716, 797399, 240, -6928, 6064
1708208787729, 797411, 16, -7504, 6624
1708208787742, 797423, -16, -7872, 6864
1708208787755, 797436, -192, -7888, 6704
1708208787766, 797449, -64, -7520, 5888
1708208787778, 797461, -32, -7072, 5104
1708208787791, 797473, -368, -6608, 4208
1708208787804, 797486, -704, -6160, 3728
1708208787817, 797498, -944, -5904, 3168
1708208787828, 797511, -1200, -6192, 2800
1708208787841, 797523, -848, -6272, 2448
1708208787853, 797536, -160, -6240, 2064
1708208787866, 797548, 736, -5968, 1424
1708208787879, 797560, 864, -5696, 896
1708208787892, 797573, 976, -5840, 928
1708208787903, 797586, 880, -6064, 1072
1708208787916, 797598, 1456, -6896, 1824
1708208787928, 797611, 1984, -7152, 2160
1708208787941, 797623, 2192, -6944, 2064
1708208787954, 797635, 2320, -6416, 1776
1708208787966, 797648, 2048, -5920, 1728
1708208787979, 797661, 2080, -5664, 1312
1708208787992, 797673, 2224, -5296, 1136
1708208788003, 797685, 2320, -5216, 1216
1708208788016, 797698, 2544, -5168, 1504
1708208788028, 797711, 2816, -4816, 1536
1708208788041, 797723, 2480, -4608, 1520
1708208788054, 797735, 2320, -4256, 976
1708208788065, 797748, 2432, -3920, 416
1708208788078, 797760, 2816, -3808, 272
1708208788091, 797772, 2864, -4016, 528
1708208788103, 797786, 2944, -4112, 848
1708208788116, 797798, 2928, -4384, 1648
1708208788129, 797810, 3072, -4800, 2112
1708208788140, 797822, 3376, -4800, 2096
1708208788153, 797835, 3440, -4640, 1328
1708208788166, 797848, 3504, -4368, 736
1708208788178, 797860, 3536, -4320, 560
1708208788191, 797873, 3584, -4352, 1184
1708208788204, 797885, 3744, -4208, 1616
1708208788215, 797897, 3808, -4016, 1760
1708208788228, 797911, 3840, -3888, 1792
1708208788240, 797923, 3712, -3264, 1728
1708208788253, 797935, 3536, -2864, 1584
1708208788266, 797947, 3248, -2576, 1568
1708208788279, 797960, 3328, -2304, 1696
1708208788291, 797973, 3872, -1952, 2432
1708208788303, 797985, 3856, -1936, 2800
1708208788315, 797998, 4000, -1392, 2704
1708208788328, 798010, 3456, -1024, 2736
1708208788341, 798022, 2960, -1184, 3264
1708208788354, 798035, 2912, -1040, 3840
1708208788365, 798048, 3248, -1168, 4464
1708208788378, 798060, 4000, -816, 4320
1708208788390, 798072, 4128, -192, 3664
1708208788403, 798085, 3632, -128, 3360
1708208788416, 798097, 3424, -176, 3680
1708208788428, 798110, 3936, -272, 4304
1708208788440, 798123, 4480, -96, 5344
1708208788452, 798135, 4560, -192, 5712
1708208788465, 798147, 4592, -192, 5728
1708208788478, 798159, 3600, 192, 4720
1708208788491, 798172, 3328, 608, 4400
1708208788502, 798185, 3648, 800, 4272
1708208788514, 798197, 4160, 736, 5184
1708208788527, 798210, 4416, 656, 5808
1708208788540, 798222, 4096, 592, 6048
1708208788553, 798234, 3408, 528, 5760
1708208788564, 798246, 3280, 928, 5328
1708208788577, 798259, 2864, 1440, 5072
1708208788589, 798272, 3184, 1984, 5520
1708208788602, 798284, 3168, 1920, 6496
1708208788615, 798297, 3184, 2848, 7008
1708208788628, 798309, 2432, 3424, 7040
1708208788639, 798321, 992, 3072, 6912
1708208788651, 798334, 256, 2752, 6336
1708208788664, 798347, 400, 2240, 5824
1708208788677, 798359, 544, 1584, 5744
1708208788690, 798371, 2320, 352, 6304
1708208788701, 798384, 2992, -816, 7280
1708208788714, 798396, 3440, -1696, 7920
1708208788726, 798408, 3280, -2560, 8384
1708208788739, 798422, 3248, -2832, 8736
1708208788752, 798434, 2880, -2336, 8048
1708208788765, 798446, 1808, -2192, 7040
1708208788776, 798458, 832, -2256, 6688
1708208788789, 798471, 640, -2176, 6656
1708208788801, 798484, 1504, -2384, 7760
1708208788814, 798496, 2048, -2576, 9056
1708208788827, 798509, 1712, -2528, 9376
1708208788840, 798521, 560, -2896, 9488
1708208788851, 798533, -672, -3360, 9056
1708208788864, 798546, -992, -2976, 8528
1708208788876, 798559, -400, -2512, 9008
1708208788889, 798571, -192, -2656, 10272
1708208788902, 798583, 704, -2592, 10896
1708208788915, 798596, 160, -2320, 10544
1708208788926, 798609, -656, -2368, 9552
1708208788938, 798621, -1664, -2800, 8752
1708208788951, 798633, -1344, -2608, 8480
1708208788964, 798646, -480, -2640, 9184
1708208788977, 798658, 0, -2864, 10512
1708208788988, 798670, -272, -3152, 11296
1708208789001, 798684, -928, -3152, 10544
1708208789013, 798696, -976, -3232, 9696
1708208789026, 798708, -1328, -3472, 8656
1708208789039, 798721, -1264, -3024, 7968
1708208789052, 798733, -928, -2528, 7984
1708208789064, 798746, -1264, -2064, 8384
1708208789077, 798758, -1696, -2448, 9472
1708208789088, 798771, -1712, -3072, 10096
1708208789101, 798783, -1952, -3584, 10128
1708208789114, 798796, -1872, -3728, 9360
1708208789127, 798809, -1536, -3440, 8768
1708208789139, 798821, -1520, -2880, 8576
1708208789151, 798833, -1392, -2656, 8640
1708208789164, 798845, -1200, -3248, 9520
1708208789176, 798859, -1104, -3536, 10032
1708208789189, 798871, -1280, -3808, 10064
1708208789202, 798883, -1728, -3760, 9728
1708208789214, 798896, -1648, -3184, 9312
1708208789227, 798909, -1568, -3360, 10016
1708208789240, 798921, -1616, -3280, 10592
1708208789251, 798934, -1008, -2976, 10688
1708208789265, 798946, -1328, -3152, 10400
1708208789277, 798959, -1488, -3296, 9808
1708208789290, 798971, -2032, -3072, 9168
1708208789302, 798984, -1776, -3616, 9312
1708208789314, 798996, -1184, -3600, 9280
1708208789327, 799008, -880, -3632, 9344
1708208789340, 799022, -1024, -3920, 9408
1708208789351, 799034, -1408, -3888, 8960
1708208789364, 799046, -1424, -3440, 8752
1708208789377, 799058, -896, -2976, 8416
1708208789389, 799071, -1024, -2640, 7984
1708208789402, 799084, -1024, -2528, 7840
1708208789415, 799096, -1008, -2288, 7632
1708208789426, 799109, -1120, -2560, 8016
1708208789439, 799121, -848, -3072, 8480
1708208789451, 799134, -416, -3120, 8720
1708208789464, 799147, 112, -2768, 8736
1708208789477, 799159, 400, -2256, 8336
1708208789490, 799171, -144, -2208, 8224
1708208789501, 799183, -304, -2288, 7808
1708208789514, 799196, -368, -2560, 7936
1708208789526, 799209, -688, -3008, 8096
1708208789539, 799221, -368, -3200, 8256
1708208789552, 799234, -224, -3504, 8352
1708208789563, 799246, 16, -3424, 8256
1708208789576, 799258, 288, -2992, 7376
1708208789588, 799270, 304, -2464, 6208
1708208789601, 799284, 320, -2080, 5232
1708208789614, 799296, 608, -1616, 4304
1708208789627, 799308, 688, -1248, 4416
1708208789638, 799321, 928, -912, 4848
1708208789651, 799333, 1184, -736, 5696
1708208789663, 799345, 1360, -528, 6704
1708208789676, 799357, 1232, -192, 7264
1708208789689, 799371, 880, 80, 7680
1708208789700, 799383, 624, 512, 7776
1708208789713, 799395, 432, 768, 7760
1708208789725, 799408, 400, 1152, 7552
1708208789738, 799420, 496, 1360, 7312
1708208789751, 799432, 816, 1360, 7424
1708208789762, 799444, 1104, 1120, 7504
1708208789775, 799458, 1248, 944, 7504
1708208789787, 799470, 1408, 720, 7472
