Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208916539, 926218, 1328, 832, 7248
1708208916551, 926230, 1136, 784, 7152
1708208916563, 926242, 1056, 688, 7200
1708208916576, 926255, 1056, 656, 7152
1708208916589, 926268, 976, 544, 7056
1708208916601, 926280, 1008, 512, 7024
1708208916614, 926292, 1024, 512, 7168
1708208916626, 926305, 976, 496, 7024
1708208916638, 926317, 1008, 512, 7200
1708208916651, 926329, 848, 480, 7584
1708208916663, 926342, 864, 336, 8080
1708208916676, 926354, 816, 288, 8176
1708208916688, 926367, 672, 640, 7632
1708208916701, 926380, 560, 960, 6912
1708208916713, 926392, 272, 1200, 6176
1708208916725, 926404, 304, 1536, 6080
1708208916738, 926416, 256, 1456, 6224
1708208916750, 926429, 400, 1120, 6832
1708208916762, 926441, 480, 448, 7584
1708208916775, 926453, 528, -48, 8048
1708208916787, 926467, 496, -384, 8240
1708208916800, 926479, 512, -736, 8032
1708208916811, 926491, 432, -704, 7792
1708208916824, 926503, 640, -912, 7616
1708208916837, 926516, 400, -1104, 7552
1708208916850, 926528, 336, -1328, 7456
1708208916862, 926540, 208, -1584, 7520
1708208916874, 926554, 128, -1744, 7552
1708208916887, 926566, 80, -1728, 7584
1708208916900, 926578, 16, -1744, 7296
1708208916912, 926590, 16, -1840, 7568
1708208916924, 926603, 16, -1888, 7920
1708208916936, 926615, 0, -2032, 8240
1708208916949, 926627, -112, -2112, 8656
1708208916962, 926640, -144, -1936, 9136
1708208916975, 926653, -304, -1792, 9472
1708208916986, 926665, -560, -1456, 9712
1708208916999, 926678, -720, -1184, 9936
1708208917011, 926690, -816, -1024, 10320
1708208917024, 926702, -1136, -640, 10864
1708208917037, 926715, -1712, -448, 11296
1708208917049, 926728, -1968, -176, 11536
1708208917061, 926740, -2160, 160, 11632
1708208917074, 926752, -2576, 880, 11072
1708208917086, 926765, -3200, 1968, 9920
1708208917099, 926778, -4032, 2960, 9008
1708208917111, 926790, -4496, 3680, 8560
1708208917124, 926802, -4688, 4096, 8672
1708208917136, 926815, -4704, 4176, 9008
1708208917149, 926827, -4704, 4128, 9408
1708208917161, 926840, -4208, 4032, 9600
1708208917174, 926853, -3968, 4096, 9568
1708208917186, 926865, -3728, 3888, 9728
1708208917199, 926877, -3664, 4032, 9376
1708208917212, 926889, -3408, 4320, 9008
1708208917224, 926903, -3584, 4400, 8576
1708208917236, 926915, -3632, 5136, 8048
1708208917249, 926927, -3856, 5536, 7344
1708208917261, 926940, -3808, 5840, 7216
1708208917274, 926952, -4016, 5920, 7232
1708208917287, 926965, -3664, 6016, 7312
1708208917299, 926978, -3312, 5968, 7488
1708208917311, 926990, -3104, 5808, 7808
1708208917324, 927002, -2944, 5920, 7648
1708208917336, 927014, -2640, 6368, 7120
1708208917349, 927028, -2688, 6752, 6320
1708208917362, 927040, -2832, 7216, 5504
1708208917374, 927052, -2880, 7440, 5136
1708208917386, 927065, -2880, 7536, 4976
1708208917399, 927077, -2288, 7424, 5232
1708208917411, 927090, -1952, 7264, 5888
1708208917424, 927102, -1680, 7152, 6000
1708208917437, 927115, -1584, 7216, 5776
1708208917448, 927127, -1728, 7488, 5088
1708208917461, 927139, -1552, 7856, 4400
1708208917474, 927153, -1504, 7936, 3968
1708208917486, 927165, -1456, 7824, 3712
1708208917499, 927177, -1376, 7616, 3952
1708208917511, 927190, -1056, 7056, 4384
1708208917524, 927202, -624, 6800, 4640
1708208917536, 927215, -160, 6720, 4560
1708208917548, 927227, 16, 6416, 4480
1708208917561, 927240, 224, 6448, 4064
1708208917573, 927252, 560, 6544, 3616
1708208917585, 927264, 784, 6496, 3328
1708208917598, 927277, 944, 6432, 3248
1708208917611, 927289, 880, 6480, 3312
1708208917623, 927302, 912, 6256, 3568
1708208917635, 927314, 656, 5968, 3632
1708208917648, 927327, 816, 6048, 3328
1708208917660, 927339, 1040, 6096, 2848
1708208917673, 927351, 1216, 6144, 2496
1708208917685, 927364, 1104, 5920, 2208
1708208917698, 927377, 1200, 5664, 1872
1708208917710, 927389, 1184, 5536, 1984
1708208917723, 927401, 1536, 5168, 2512
1708208917736, 927414, 1600, 4784, 3056
1708208917748, 927426, 1824, 4640, 3360
1708208917760, 927438, 1936, 4832, 2960
1708208917773, 927452, 2016, 5440, 2016
1708208917785, 927464, 1696, 5712, 1504
1708208917798, 927476, 1168, 4976, 2080
1708208917810, 927489, 1520, 4352, 3024
1708208917823, 927501, 1712, 4176, 3312
1708208917835, 927514, 2560, 4080, 3472
1708208917848, 927526, 3760, 4320, 3056
1708208917860, 927539, 3952, 4864, 2608
1708208917873, 927551, 3104, 4528, 2624
1708208917885, 927563, 2864, 3888, 2960
1708208917898, 927577, 3728, 3824, 3040
1708208917910, 927589, 4624, 3904, 2896
1708208917922, 927601, 5264, 3952, 2576
1708208917935, 927613, 5184, 4144, 2080
1708208917948, 927626, 5152, 4432, 1840
1708208917960, 927638, 4064, 3872, 2400
1708208917972, 927651, 4080, 3552, 3040
1708208917985, 927664, 4480, 3648, 3376
1708208917997, 927676, 4208, 3776, 3248
1708208918009, 927688, 4000, 3920, 3008
1708208918022, 927700, 3632, 3808, 3136
1708208918035, 927714, 3232, 2928, 3936
1708208918047, 927726, 3520, 2560, 3936
1708208918060, 927738, 3760, 2800, 3984
1708208918072, 927751, 4176, 2176, 4032
1708208918085, 927763, 4272, 2384, 3440
1708208918097, 927776, 4128, 2160, 3952
1708208918110, 927789, 3824, 1744, 3936
1708208918122, 927801, 4080, 2224, 3584
1708208918135, 927813, 3984, 2208, 3920
1708208918147, 927825, 3312, 1616, 4112
1708208918160, 927838, 3232, 1696, 3984
1708208918173, 927851, 3264, 1552, 4304
1708208918184, 927863, 3216, 736, 4752
1708208918197, 927876, 3520, 768, 4288
1708208918209, 927888, 3744, 816, 4192
1708208918222, 927900, 3568, 1056, 3392
1708208918235, 927912, 3584, 1200, 3200
1708208918247, 927926, 2976, 464, 3712
1708208918259, 927938, 2992, -208, 4144
1708208918272, 927950, 3536, -480, 4496
1708208918284, 927963, 3728, -688, 4432
1708208918297, 927975, 4192, -896, 4400
1708208918309, 927987, 4080, -1168, 4416
1708208918322, 928001, 4064, -1376, 4624
1708208918334, 928013, 4112, -1008, 4400
1708208918347, 928025, 4176, -544, 4368
1708208918359, 928037, 3488, -816, 4160
1708208918372, 928050, 3696, -448, 3600
1708208918385, 928063, 3824, -736, 4432
1708208918396, 928075, 3856, -1600, 5200
1708208918409, 928088, 3536, -1872, 6192
1708208918421, 928100, 3312, -2096, 6880
1708208918434, 928112, 3712, -1824, 6512
1708208918447, 928124, 4128, -576, 5344
1708208918458, 928138, 3888, -192, 4928
1708208918471, 928150, 2816, -800, 5456
1708208918484, 928162, 2672, -1152, 6336
1708208918496, 928175, 2736, -1920, 7344
1708208918509, 928187, 2656, -2400, 7984
1708208918522, 928200, 3408, -1888, 7632
1708208918533, 928212, 3872, -1200, 6832
1708208918546, 928225, 3120, -736, 5984
1708208918559, 928237, 2272, -768, 5728
1708208918571, 928249, 1936, -1024, 6192
1708208918584, 928262, 2128, -1296, 7088
1708208918595, 928275, 2224, -1632, 7344
1708208918608, 928287, 2336, -1856, 7248
1708208918621, 928300, 2512, -1616, 7488
1708208918634, 928312, 2224, -1552, 7104
1708208918646, 928325, 1648, -1888, 7072
1708208918659, 928337, 1184, -2208, 7344
1708208918671, 928350, 720, -3024, 8176
1708208918684, 928362, 592, -3856, 8848
1708208918696, 928374, 1328, -3104, 8336
1708208918708, 928387, 2048, -1344, 7376
1708208918721, 928400, 1424, -560, 5840
1708208918733, 928412, 1056, -560, 5408
1708208918746, 928424, -480, -1136, 5824
1708208918758, 928437, -640, -1312, 6432
1708208918771, 928449, 400, -736, 7552
1708208918783, 928461, 336, -1088, 8608
1708208918796, 928475, 208, -960, 9136
1708208918808, 928487, -272, -704, 9376
1708208918821, 928499, -1072, -992, 9296
1708208918834, 928512, -1200, -880, 9248
1708208918845, 928524, -896, -160, 9056
1708208918858, 928536, -464, 384, 8352
1708208918870, 928549, -736, 1088, 8112
1708208918883, 928562, -1344, 1392, 7936
1708208918896, 928574, -2272, 816, 8480
1708208918908, 928586, -2560, 288, 9424
1708208918920, 928599, -2304, 96, 10464
1708208918933, 928611, -2208, 96, 10864
1708208918945, 928624, -2400, 64, 10832
1708208918958, 928636, -2704, 400, 10592
1708208918969, 928649, -2880, 480, 10832
1708208918982, 928661, -2720, 336, 11616
