Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208974748, 984425, 2736, 736, 7344
1708208974761, 984438, 2784, 704, 7424
1708208974773, 984451, 2880, 688, 7504
1708208974785, 984463, 2944, 672, 7568
1708208974798, 984475, 3040, 704, 7536
1708208974810, 984487, 3024, 560, 7376
1708208974823, 984500, 3072, 368, 7520
1708208974835, 984513, 3008, 160, 7680
1708208974847, 984525, 2880, -48, 7776
1708208974860, 984538, 3344, 32, 7952
1708208974872, 984550, 3616, 288, 7904
1708208974885, 984562, 3568, 336, 7920
1708208974897, 984574, 3584, 336, 7984
1708208974909, 984587, 3600, 336, 8064
1708208974923, 984599, 3488, 224, 8208
1708208974934, 984612, 3520, 256, 8288
1708208974948, 984625, 3648, 144, 8224
1708208974961, 984637, 3856, 208, 8112
1708208974971, 984649, 4000, 224, 8208
1708208974985, 984662, 4144, 96, 8096
1708208974996, 984674, 4352, -64, 8144
1708208975010, 984686, 4704, -144, 8176
1708208975022, 984699, 5168, -464, 8736
1708208975035, 984712, 5296, -848, 9168
1708208975047, 984724, 5696, -1312, 9952
1708208975060, 984736, 6336, -1776, 10320
1708208975072, 984749, 6368, -1968, 10496
1708208975085, 984762, 6288, -1904, 10240
1708208975097, 984774, 6224, -1552, 9712
1708208975109, 984786, 5856, -1200, 9248
1708208975122, 984799, 5600, -1168, 8784
1708208975134, 984811, 5344, -1120, 8688
1708208975147, 984824, 5328, -1360, 8960
1708208975159, 984837, 5376, -1456, 8960
1708208975172, 984849, 5376, -1552, 9248
1708208975185, 984861, 5280, -1632, 9296
1708208975196, 984873, 5328, -1296, 8848
1708208975210, 984887, 5136, -992, 8336
1708208975223, 984899, 5024, -512, 7840
1708208975233, 984911, 5072, 176, 7136
1708208975247, 984924, 5008, 800, 6576
1708208975260, 984936, 4928, 1280, 6176
1708208975272, 984948, 4800, 1408, 6336
1708208975284, 984962, 4640, 1296, 6400
1708208975297, 984974, 4368, 1024, 6480
1708208975309, 984986, 4592, 864, 6512
1708208975322, 984998, 5232, 1056, 5968
1708208975334, 985011, 5440, 1168, 5344
1708208975347, 985024, 5248, 1184, 4704
1708208975359, 985036, 5280, 1120, 4368
1708208975371, 985049, 5088, 1056, 4720
1708208975384, 985061, 5104, 784, 4608
1708208975396, 985073, 5136, 384, 4864
1708208975409, 985085, 4256, 112, 4752
1708208975421, 985099, 4256, 192, 4320
1708208975433, 985111, 4464, 480, 4032
1708208975446, 985123, 4416, 448, 3392
1708208975458, 985136, 4368, 912, 2688
1708208975472, 985148, 4416, 1328, 2544
1708208975484, 985160, 4400, 1520, 2720
1708208975497, 985172, 3760, 1776, 3024
1708208975509, 985186, 2768, 1904, 3344
1708208975522, 985198, 2400, 1984, 3520
1708208975534, 985210, 2368, 2320, 3456
1708208975546, 985223, 2512, 2672, 3680
1708208975559, 985235, 2336, 3200, 3760
1708208975571, 985248, 1824, 3920, 3280
1708208975584, 985261, 1088, 4752, 2288
1708208975596, 985273, 560, 5248, 2096
1708208975608, 985285, 464, 5824, 2352
1708208975621, 985297, -800, 6432, 2336
1708208975633, 985310, -1168, 6560, 2736
1708208975645, 985323, -864, 6608, 3232
1708208975658, 985335, -304, 7600, 2704
1708208975670, 985348, -48, 8800, 2480
1708208975683, 985360, -528, 10208, 2480
1708208975697, 985372, -1312, 11968, 1184
1708208975707, 985385, -1600, 13760, -304
1708208975721, 985398, -3184, 15840, -1088
1708208975732, 985410, -6304, 16112, -1536
1708208975746, 985422, -6560, 16288, -1120
1708208975759, 985435, -5056, 17344, -1632
1708208975771, 985448, -4224, 18528, -2528
1708208975784, 985460, -4688, 19552, -4448
1708208975796, 985473, -6160, 20624, -5888
1708208975808, 985485, -8304, 20368, -6224
1708208975821, 985498, -10560, 18992, -6256
1708208975833, 985510, -10512, 16624, -5168
1708208975846, 985523, -10032, 14656, -4224
1708208975860, 985536, -9056, 11760, -1328
1708208975870, 985548, -8896, 8384, 272
1708208975884, 985561, -8016, 6624, 960
1708208975895, 985573, -8672, 5168, -624
1708208975909, 985585, -8400, 4528, -2384
1708208975922, 985598, -8320, 2176, 656
1708208975934, 985611, -8976, -2976, 8880
1708208975946, 985623, -7072, -6112, 13728
