Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708209082495, 1092169, 768, 2752, 7184
1708209082508, 1092183, 800, 2784, 7040
1708209082520, 1092195, 784, 2720, 7088
1708209082533, 1092207, 624, 2752, 7168
1708209082545, 1092219, 672, 2752, 7200
1708209082557, 1092232, 640, 2784, 7248
1708209082570, 1092245, 608, 2704, 7136
1708209082584, 1092257, 624, 2784, 7088
1708209082596, 1092270, 624, 2800, 7104
1708209082608, 1092282, 608, 2752, 7040
1708209082621, 1092294, 640, 2720, 7056
1708209082633, 1092306, 688, 2704, 7120
1708209082646, 1092320, 704, 2736, 7040
1708209082658, 1092332, 640, 2720, 7040
1708209082671, 1092344, 704, 2768, 7168
1708209082683, 1092357, 624, 2720, 7136
1708209082695, 1092369, 576, 2704, 7184
1708209082708, 1092382, 624, 2736, 7200
1708209082720, 1092395, 672, 2656, 7056
1708209082732, 1092407, 848, 2688, 7008
1708209082745, 1092419, 800, 2592, 6960
1708209082757, 1092431, 928, 2560, 6752
1708209082769, 1092444, 880, 2496, 6624
1708209082782, 1092457, 928, 2480, 6576
1708209082796, 1092469, 864, 2512, 6464
1708209082807, 1092482, 1120, 2560, 6688
1708209082821, 1092494, 1328, 2400, 7072
1708209082833, 1092506, 1536, 2512, 7216
1708209082845, 1092519, 1904, 3088, 7584
1708209082858, 1092532, 1920, 3856, 8160
1708209082870, 1092544, 1872, 4784, 9552
1708209082883, 1092556, 1696, 6112, 12608
1708209082895, 1092570, 1744, 6944, 18560
1708209082907, 1092582, 2368, 7456, 27424
1708209082920, 1092594, -352, 5936, 32400
1708209082934, 1092606, -6160, 2832, 32240
1708209082945, 1092620, -9584, 2288, 25584
1708209082958, 1092632, -9248, 3248, 16816
1708209082971, 1092644, -5504, 4032, 11344
1708209082983, 1092657, -2608, 3584, 6592
1708209082996, 1092670, -1248, 2320, 3072
1708209083008, 1092682, -1680, 112, 1680
1708209083020, 1092695, -1856, -1040, 544
1708209083034, 1092707, -2896, -2384, -1472
1708209083046, 1092720, -6416, -4880, -6400
1708209083059, 1092732, -5376, -6592, -14576
1708209083071, 1092745, -3232, -5200, -23648
1708209083083, 1092758, 720, -6496, -27328
1708209083096, 1092770, 4096, -5264, -24032
1708209083108, 1092783, 1200, -5568, -23120
1708209083122, 1092795, -2240, -6848, -17696
1708209083134, 1092808, -3248, -6800, -12176
1708209083147, 1092820, -4464, -3760, -8656
1708209083159, 1092833, -5264, -3104, -4112
1708209083172, 1092845, -5648, -1424, -320
1708209083184, 1092858, -5200, -368, 2272
1708209083196, 1092871, -5152, -560, 3536
1708209083209, 1092883, -3776, 1504, 5056
1708209083221, 1092895, 3376, 3792, 9520
1708209083234, 1092909, 3040, 3472, 23536
1708209083246, 1092921, -2928, 5664, 32320
1708209083260, 1092933, -11200, 4240, 32640
1708209083272, 1092945, -15536, -16, 32640
1708209083285, 1092959, -9200, 1632, 32640
1708209083297, 1092971, -4176, 2064, 32640
1708209083309, 1092983, -1584, 2816, 25600
1708209083322, 1092996, -224, 4160, 15008
1708209083334, 1093009, -352, 3472, 10400
1708209083346, 1093021, -784, 48, 9184
1708209083359, 1093033, -2640, -2256, 7232
1708209083373, 1093046, -4944, -4368, 3344
1708209083384, 1093059, -4656, -4576, 400
1708209083398, 1093071, -2336, -4864, -4976
1708209083410, 1093084, -1200, -5024, -14064
1708209083423, 1093096, -1680, -7568, -23280
1708209083435, 1093109, 512, -8016, -25200
1708209083447, 1093122, 3136, -6448, -22080
1708209083460, 1093134, 1696, -7440, -18560
1708209083472, 1093147, 1344, -5696, -12704
1708209083484, 1093159, 608, -3488, -9728
1708209083497, 1093172, 352, -2320, -8400
1708209083511, 1093184, -1904, -192, -6576
1708209083523, 1093196, -4160, 1504, -3568
1708209083536, 1093210, -2080, 2832, 2192
