Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708208675118, 684803, 3920, 2000, 6768
1708208675130, 684815, 3824, 2000, 6656
1708208675142, 684828, 3760, 2032, 6528
1708208675155, 684840, 3808, 2128, 6400
1708208675168, 684853, 3760, 2080, 6400
1708208675180, 684865, 3744, 2064, 6496
1708208675193, 684877, 3840, 1904, 6560
1708208675205, 684890, 4016, 1936, 6704
1708208675217, 684903, 4064, 1936, 6768
1708208675230, 684915, 3936, 1952, 6512
1708208675243, 684928, 3808, 2064, 6528
1708208675255, 684940, 3840, 2080, 6352
1708208675267, 684952, 3584, 2096, 6368
1708208675279, 684965, 3904, 2144, 6448
1708208675293, 684978, 4064, 2160, 6624
1708208675304, 684990, 4352, 2304, 6912
1708208675317, 685002, 4688, 2336, 7216
1708208675330, 685015, 5136, 2432, 7408
1708208675342, 685028, 5744, 2688, 7472
1708208675355, 685040, 6128, 3120, 7392
1708208675367, 685052, 6352, 3248, 8064
1708208675379, 685065, 6832, 3408, 8832
1708208675392, 685077, 8032, 3360, 10112
1708208675405, 685090, 8464, 3232, 11376
1708208675417, 685103, 8432, 3216, 11696
1708208675430, 685115, 8256, 3472, 11280
1708208675442, 685127, 7744, 3600, 10576
1708208675455, 685139, 7040, 3440, 9664
1708208675468, 685153, 6880, 3168, 8960
1708208675480, 685165, 6880, 2544, 8848
1708208675492, 685177, 6880, 2128, 8480
1708208675505, 685190, 6976, 1840, 8592
1708208675517, 685202, 7376, 1744, 8720
1708208675530, 685214, 7280, 1840, 8592
1708208675542, 685228, 6896, 1888, 8160
1708208675555, 685240, 6048, 1968, 7232
1708208675567, 685252, 5312, 1856, 6256
1708208675580, 685264, 4944, 1584, 5712
1708208675592, 685277, 5344, 1424, 5328
1708208675605, 685290, 5472, 1232, 5376
1708208675618, 685302, 6352, 1344, 5472
1708208675630, 685315, 6624, 1376, 5344
1708208675642, 685327, 5968, 1472, 4832
1708208675654, 685339, 5024, 1552, 4192
1708208675666, 685352, 4048, 1264, 3744
1708208675679, 685365, 3680, 1328, 3712
1708208675692, 685377, 3888, 1360, 3760
1708208675704, 685389, 4272, 1200, 4064
1708208675717, 685402, 4544, 1040, 4064
1708208675729, 685414, 4608, 720, 3904
1708208675742, 685427, 3600, 272, 3200
1708208675754, 685440, 3408, 64, 2368
1708208675767, 685452, 3520, 32, 1680
1708208675779, 685464, 3728, -144, 1408
1708208675791, 685476, 4000, -80, 912
1708208675804, 685489, 4112, -80, 528
1708208675816, 685501, 4144, -16, 384
1708208675829, 685513, 4464, 144, -80
1708208675841, 685526, 4896, 16, -320
1708208675853, 685539, 4976, -288, -400
1708208675866, 685551, 5344, -416, -736
1708208675878, 685563, 5792, -224, -960
1708208675891, 685576, 6128, -240, -960
1708208675903, 685588, 6224, -288, -1040
1708208675916, 685600, 6624, -320, -1120
1708208675928, 685613, 6656, -304, -1248
1708208675940, 685626, 6496, -448, -1216
1708208675953, 685638, 6656, -448, -1168
1708208675965, 685650, 6976, -512, -944
1708208675978, 685663, 7264, -544, -528
1708208675990, 685675, 7312, -368, -416
1708208676003, 685687, 7280, -368, -432
1708208676015, 685701, 7216, -304, -288
1708208676027, 685713, 6896, -416, -64
1708208676040, 685725, 6848, -608, 48
1708208676052, 685737, 7024, -576, 192
1708208676065, 685750, 7184, -592, 288
1708208676077, 685762, 7008, -496, 80
1708208676090, 685774, 6592, -496, -192
1708208676102, 685787, 6480, -560, -208
1708208676114, 685800, 6432, -656, -336
1708208676127, 685812, 5776, -816, -592
1708208676139, 685825, 5632, -976, -736
1708208676152, 685837, 5536, -1136, -752
1708208676164, 685849, 5344, -1056, -720
1708208676176, 685861, 5328, -1040, -320
1708208676189, 685874, 5120, -560, -352
1708208676202, 685887, 5264, -240, -368
1708208676214, 685899, 4544, 48, -240
1708208676227, 685912, 3552, 336, -112
1708208676238, 685924, 3216, 208, 320
1708208676251, 685936, 3184, -112, 736
1708208676264, 685948, 3120, -560, 992
1708208676276, 685961, 3280, -1024, 1696
1708208676289, 685974, 3216, -1136, 2544
1708208676300, 685986, 3088, -1040, 2784
1708208676313, 685999, 1728, -848, 3344
1708208676326, 686011, 896, -464, 3984
1708208676338, 686023, -64, 16, 4336
1708208676351, 686035, -960, 272, 4912
1708208676363, 686048, -1488, 656, 5536
1708208676375, 686061, -2128, 960, 6368
1708208676388, 686073, -2672, 1120, 7200
1708208676401, 686086, -2976, 1552, 8048
1708208676413, 686098, -3120, 1520, 8640
1708208676426, 686110, -3968, 1504, 9712
1708208676438, 686124, -4224, 1472, 10032
1708208676451, 686136, -4320, 2016, 10528
1708208676463, 686148, -4560, 2064, 10368
1708208676476, 686160, -4912, 2192, 10736
1708208676488, 686173, -5072, 1920, 11888
1708208676501, 686186, -5488, 1248, 12656
1708208676513, 686198, -5952, 752, 13376
1708208676526, 686211, -5968, 1152, 14080
1708208676539, 686223, -5280, 1888, 13856
1708208676552, 686236, -4224, 2016, 14000
1708208676563, 686248, -4896, 2160, 13680
1708208676576, 686261, -5664, 1920, 14032
1708208676588, 686273, -5664, 2000, 16176
