Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795525244, 275868, 592, -224, 8016
1707795525256, 275879, 544, -192, 8016
1707795525265, 275890, 464, -240, 8064
1707795525277, 275901, 608, -208, 8112
1707795525289, 275912, 480, -192, 8080
1707795525299, 275923, 512, -128, 8016
1707795525311, 275934, 544, -64, 8064
1707795525321, 275945, 624, -80, 8112
1707795525331, 275956, 496, -128, 8144
1707795525344, 275967, 560, -112, 8128
1707795525355, 275978, 544, -96, 8096
1707795525365, 275989, 528, -112, 8128
1707795525378, 276000, 512, -96, 8192
1707795525387, 276011, 480, -144, 8144
1707795525398, 276022, 512, -240, 7872
1707795525417, 276033, 496, -128, 8016
1707795525419, 276044, 528, -80, 7936
1707795525430, 276055, 416, 0, 7936
1707795525441, 276066, 464, 16, 7920
1707795525451, 276077, 432, 16, 8144
1707795525465, 276088, 304, -48, 8080
1707795525474, 276099, 432, -64, 8176
1707795525485, 276110, 448, -32, 8256
1707795525496, 276121, 400, -48, 8176
1707795525510, 276132, 528, -64, 8208
1707795525519, 276143, 432, -128, 8208
1707795525530, 276154, 464, -112, 8128
1707795525540, 276165, 480, -48, 8048
1707795525551, 276176, 464, -48, 8048
1707795525563, 276187, 512, -128, 8080
1707795525573, 276198, 560, -144, 8016
1707795525584, 276209, 496, -224, 8032
1707795525595, 276220, 528, -192, 8032
1707795525607, 276231, 592, -240, 8064
1707795525618, 276242, 560, -160, 8080
1707795525629, 276253, 512, -128, 7984
1707795525639, 276264, 448, -144, 8016
1707795525651, 276275, 464, -112, 8080
1707795525662, 276286, 432, -48, 8112
1707795525672, 276297, 528, -48, 8080
1707795525686, 276308, 608, -112, 8048
1707795525694, 276319, 528, -112, 8064
1707795525706, 276330, 496, -160, 8192
1707795525718, 276341, 512, -176, 8192
1707795525727, 276352, 560, -64, 8160
1707795525738, 276363, 576, -80, 7968
1707795525751, 276374, 576, -32, 8128
1707795525761, 276385, 560, -32, 8208
1707795525773, 276396, 496, -64, 8144
1707795525783, 276407, 464, -64, 8192
1707795525793, 276418, 480, -128, 8208
1707795525806, 276429, 432, -112, 8240
1707795525817, 276440, 496, -64, 8160
1707795525829, 276451, 480, -64, 8096
1707795525838, 276462, 464, -80, 8144
1707795525849, 276473, 512, -128, 8176
1707795525860, 276484, 624, -128, 8112
1707795525870, 276495, 400, -144, 8128
1707795525881, 276506, 416, -112, 8016
1707795525892, 276517, 464, -128, 8000
1707795525903, 276528, 448, -160, 8064
1707795525915, 276539, 448, -112, 8080
1707795525925, 276550, 480, -160, 8048
1707795525937, 276561, 464, -192, 7968
1707795525948, 276572, 528, -112, 7968
1707795525958, 276583, 448, -160, 8000
1707795525970, 276594, 480, -128, 8032
1707795525980, 276605, 448, -112, 8128
1707795525991, 276616, 400, -32, 7936
1707795526004, 276627, 384, -64, 8080
1707795526013, 276638, 432, -64, 8128
1707795526026, 276649, 496, -80, 8272
1707795526036, 276660, 480, -144, 8160
1707795526047, 276671, 544, -144, 8080
1707795526057, 276682, 432, -160, 8048
1707795526068, 276693, 480, -176, 8064
