Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795278156, 28764, 2288, -64, 8144
1707795278167, 28775, 2208, -48, 8176
1707795278177, 28786, 2240, -32, 8112
1707795278188, 28797, 2240, -32, 8016
1707795278199, 28808, 2144, -96, 8112
1707795278210, 28819, 2224, -80, 8128
1707795278223, 28830, 2352, -160, 8208
1707795278233, 28841, 2304, -224, 8048
1707795278245, 28852, 2240, -224, 8000
1707795278254, 28863, 2320, -176, 7920
1707795278265, 28874, 2304, -144, 7872
1707795278276, 28885, 2256, -128, 7616
1707795278288, 28896, 2304, -128, 7776
1707795278300, 28907, 2288, -112, 7776
1707795278309, 28918, 2256, -112, 7776
1707795278319, 28929, 2336, -224, 7856
1707795278332, 28940, 2368, -320, 7824
1707795278341, 28951, 2528, -416, 7744
1707795278355, 28962, 2336, -448, 7744
1707795278363, 28973, 2368, -352, 7712
1707795278376, 28984, 2384, -320, 7824
1707795278386, 28995, 2384, -224, 7872
1707795278396, 29006, 2448, -160, 7952
1707795278409, 29017, 2496, -48, 8016
1707795278421, 29028, 2608, 64, 7808
1707795278431, 29039, 2544, 64, 8048
1707795278441, 29050, 2736, 96, 8192
1707795278452, 29061, 2848, 112, 8272
1707795278465, 29072, 2992, 256, 8272
1707795278474, 29083, 3136, 496, 8224
1707795278484, 29094, 3248, 880, 8352
1707795278495, 29105, 3264, 1120, 8448
1707795278506, 29116, 3264, 1440, 8480
1707795278520, 29127, 3328, 1728, 8688
1707795278529, 29138, 3200, 2064, 8784
1707795278541, 29149, 3200, 2512, 8672
1707795278552, 29160, 3104, 2784, 8448
1707795278562, 29171, 2912, 3200, 8032
1707795278574, 29182, 2928, 3264, 7536
1707795278584, 29193, 2880, 3216, 7280
1707795278597, 29204, 2720, 2992, 7088
1707795278608, 29215, 2400, 2400, 7344
1707795278618, 29226, 2336, 1616, 7696
1707795278628, 29237, 2288, 1168, 7952
1707795278641, 29248, 2240, 784, 8016
1707795278649, 29259, 2192, 608, 7968
1707795278661, 29270, 2240, 736, 7872
1707795278673, 29281, 2160, 912, 7776
1707795278683, 29292, 2096, 1072, 7360
1707795278695, 29303, 1680, 1248, 7104
1707795278705, 29314, 1488, 1024, 7072
1707795278715, 29325, 1344, 752, 7232
1707795278728, 29336, 1328, 64, 7680
1707795278739, 29347, 1168, -608, 8080
1707795278748, 29358, 1024, -736, 8160
1707795278760, 29369, 848, -912, 7984
1707795278773, 29380, 480, -1248, 7872
1707795278782, 29391, 352, -1920, 8176
1707795278795, 29402, 368, -2800, 8464
1707795278805, 29413, 416, -3056, 8368
1707795278815, 29424, 352, -3328, 7872
1707795278829, 29435, 384, -3376, 7248
1707795278837, 29446, 32, -3248, 6688
1707795278851, 29457, -48, -3440, 6352
1707795278860, 29468, -112, -3648, 6048
1707795278871, 29479, -48, -3984, 5808
1707795278882, 29490, 96, -4240, 5696
1707795278893, 29501, -96, -4352, 5824
1707795278904, 29512, -64, -4608, 6400
1707795278913, 29523, 32, -4496, 6352
1707795278925, 29534, 0, -4224, 6352
1707795278943, 29545, -96, -3856, 6224
1707795278946, 29556, -400, -3488, 6208
1707795278957, 29567, -400, -3168, 5952
1707795278969, 29578, -448, -2880, 6128
1707795278979, 29589, -832, -2528, 5904
1707795278992, 29600, -912, -2928, 5824
1707795279003, 29611, -1088, -3024, 6000
1707795279014, 29622, -1088, -3600, 6192
1707795279026, 29633, -928, -3760, 6576
1707795279035, 29644, -800, -3616, 6800
1707795279048, 29655, -1136, -3440, 6960
1707795279058, 29666, -1248, -3152, 7136
1707795279069, 29677, -1136, -2544, 6928
1707795279079, 29688, -1120, -2096, 7056
1707795279090, 29699, -1984, -1856, 7312
1707795279103, 29710, -2304, -1440, 7344
1707795279113, 29721, -2592, -1536, 7472
1707795279124, 29732, -2592, -1776, 7712
1707795279135, 29743, -2496, -2112, 7568
1707795279145, 29754, -2720, -2528, 7296
1707795279157, 29765, -2912, -2704, 6880
1707795279168, 29776, -2896, -2992, 6064
1707795279179, 29787, -2800, -3072, 5824
1707795279189, 29798, -3296, -3424, 5968
1707795279200, 29809, -3440, -3776, 6416
1707795279211, 29820, -3616, -4048, 6624
1707795279222, 29831, -3712, -4288, 6784
1707795279233, 29842, -3920, -4672, 7040
1707795279244, 29853, -4112, -5616, 7616
1707795279257, 29864, -3856, -6448, 8096
1707795279267, 29875, -3600, -7280, 8320
1707795279276, 29886, -3600, -7776, 8432
1707795279287, 29897, -3312, -7840, 8368
1707795279300, 29908, -3072, -7744, 8304
1707795279310, 29919, -3040, -7456, 7856
1707795279322, 29930, -3040, -7248, 7520
1707795279333, 29941, -2912, -6864, 7104
1707795279344, 29952, -2880, -6384, 6704
1707795279355, 29963, -2944, -6032, 6336
1707795279365, 29974, -3104, -5824, 6192
1707795279377, 29985, -3072, -5648, 6112
1707795279386, 29996, -3552, -5504, 6192
1707795279399, 30007, -3936, -5584, 6160
1707795279410, 30018, -4160, -5840, 6384
1707795279421, 30029, -4336, -6592, 6352
1707795279431, 30040, -4672, -7440, 6400
1707795279443, 30051, -4976, -8400, 6608
1707795279453, 30062, -5136, -9040, 6816
1707795279465, 30073, -5696, -9680, 7136
1707795279476, 30084, -5808, -10160, 7200
1707795279489, 30095, -6752, -10192, 7312
1707795279497, 30106, -7232, -10016, 7296
1707795279508, 30117, -7920, -10128, 7440
1707795279520, 30128, -8368, -10224, 7328
1707795279531, 30139, -8848, -10688, 6800
1707795279541, 30150, -9008, -11152, 6240
1707795279553, 30161, -8912, -11440, 5968
1707795279566, 30172, -8768, -11792, 5264
1707795279574, 30183, -8896, -12080, 5104
1707795279587, 30194, -9200, -12240, 5472
1707795279596, 30205, -9408, -12144, 6160
1707795279608, 30216, -10016, -11632, 7456
1707795279621, 30227, -10304, -10624, 8080
1707795279629, 30238, -11520, -9472, 8848
1707795279640, 30249, -12016, -7968, 9408
1707795279651, 30260, -11792, -6880, 9776
1707795279663, 30271, -11120, -6080, 9888
1707795279676, 30282, -10944, -5504, 9728
1707795279685, 30293, -9936, -5328, 9728
1707795279695, 30304, -10352, -5440, 9936
1707795279707, 30315, -11008, -5200, 10400
1707795279717, 30326, -11264, -4112, 11200
1707795279728, 30337, -11616, -3264, 12240
1707795279740, 30348, -11536, -3056, 12704
1707795279751, 30359, -10704, -3168, 12896
1707795279762, 30370, -10400, -3536, 12128
1707795279772, 30381, -9616, -3936, 11824
1707795279783, 30392, -10080, -3856, 11664
1707795279794, 30403, -9664, -3280, 11632
1707795279805, 30414, -9472, -2576, 10816
1707795279816, 30425, -9568, -1312, 9600
1707795279829, 30436, -9584, -256, 9440
1707795279837, 30447, -9312, 976, 9568
1707795279850, 30458, -8400, 1120, 10800
1707795279861, 30469, -7824, 1136, 11424
1707795279870, 30480, -7488, 1744, 10704
1707795279883, 30491, -6064, 1920, 9760
1707795279894, 30502, -5520, 2800, 8400
1707795279904, 30513, -5312, 3184, 8032
1707795279914, 30524, -4448, 4800, 8144
1707795279929, 30535, -4368, 7152, 8528
1707795279937, 30546, -3936, 9024, 8464
1707795279948, 30557, -3424, 10544, 7408
1707795279960, 30568, -3392, 12112, 7328
1707795279970, 30579, -2528, 13152, 6464
1707795279981, 30590, -1744, 14112, 6848
1707795279994, 30601, -1008, 14864, 6848
1707795280003, 30612, -80, 14416, 6928
1707795280014, 30623, 272, 12960, 6544
1707795280025, 30634, 2400, 11200, 6320
1707795280036, 30645, 3376, 8464, 6048
1707795280047, 30656, 4000, 6656, 6016
1707795280059, 30667, 4336, 5264, 5776
1707795280071, 30678, 4624, 4032, 5824
1707795280080, 30689, 4752, 3632, 5696
1707795280092, 30700, 4880, 3584, 5792
1707795280104, 30711, 4768, 3504, 6096
1707795280112, 30722, 5024, 3520, 5984
1707795280124, 30733, 5168, 3408, 5584
1707795280136, 30744, 5184, 2608, 5408
1707795280145, 30755, 5280, 2192, 6608
1707795280158, 30766, 5360, 2464, 6512
1707795280168, 30777, 4928, 2832, 6304
1707795280179, 30788, 4864, 3088, 6112
1707795280191, 30799, 5088, 2848, 6304
1707795280201, 30810, 5216, 2304, 6160
1707795280211, 30821, 5216, 1744, 5984
1707795280223, 30832, 5392, 1472, 6384
1707795280233, 30843, 5568, 1328, 6816
1707795280244, 30854, 5712, 1376, 6768
1707795280257, 30865, 5728, 1456, 6432
1707795280269, 30876, 5632, 1456, 5984
1707795280278, 30887, 5728, 1552, 5904
1707795280291, 30898, 5600, 1616, 6240
1707795280299, 30909, 5808, 1456, 6512
1707795280312, 30920, 5600, 1392, 6752
1707795280324, 30931, 5520, 1216, 7056
1707795280333, 30942, 5632, 1120, 6992
1707795280344, 30953, 5648, 1024, 6944
1707795280355, 30964, 5600, 1184, 6816
1707795280367, 30975, 5680, 1296, 6704
1707795280378, 30986, 5552, 1376, 6464
1707795280388, 30997, 5536, 1408, 6480
1707795280400, 31008, 5360, 1360, 6512
1707795280413, 31019, 5328, 1360, 6384
