Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795424945, 175570, 2640, -4192, 6624
1707795424956, 175581, 2656, -4176, 6544
1707795424967, 175592, 2656, -4224, 6400
1707795424977, 175603, 2592, -4192, 6528
1707795424990, 175614, 2528, -4096, 6352
1707795424999, 175625, 2528, -4064, 6304
1707795425010, 175636, 2544, -4048, 6208
1707795425021, 175647, 2592, -4192, 6400
1707795425035, 175658, 2560, -4416, 6480
1707795425043, 175669, 2480, -4560, 6528
1707795425056, 175680, 2624, -4576, 6560
1707795425067, 175691, 2608, -4592, 6432
1707795425078, 175702, 2496, -4592, 6544
1707795425089, 175713, 2512, -4656, 6640
1707795425100, 175724, 2288, -4640, 6624
1707795425111, 175735, 2480, -4592, 6608
1707795425122, 175746, 2416, -4528, 6432
1707795425133, 175757, 2432, -4480, 6560
1707795425144, 175768, 2416, -4464, 6560
1707795425153, 175779, 2432, -4768, 6608
1707795425166, 175790, 2448, -4944, 6672
1707795425178, 175801, 2384, -5152, 6544
1707795425187, 175812, 2576, -5360, 6640
1707795425199, 175823, 2288, -5440, 6624
1707795425209, 175834, 2224, -5600, 6512
1707795425221, 175845, 2144, -5952, 6512
1707795425231, 175856, 2192, -6448, 6560
1707795425241, 175867, 2032, -7168, 6560
1707795425254, 175878, 2352, -7760, 6352
1707795425264, 175889, 2480, -8160, 6240
1707795425275, 175900, 2480, -8160, 5696
1707795425287, 175911, 2432, -8080, 5232
1707795425298, 175922, 2400, -7840, 4704
1707795425311, 175933, 2320, -7568, 4400
1707795425319, 175944, 2384, -7280, 4064
1707795425329, 175955, 2368, -6976, 3760
1707795425342, 175966, 2640, -6832, 3520
1707795425352, 175977, 2848, -7008, 3104
1707795425363, 175988, 3248, -7616, 2736
1707795425374, 175999, 3584, -7920, 2160
1707795425386, 176010, 3728, -8112, 1472
1707795425397, 176021, 4176, -8208, 976
1707795425409, 176032, 4368, -8128, 176
1707795425418, 176043, 4656, -8000, -208
1707795425429, 176054, 4624, -7904, -512
1707795425443, 176065, 4528, -7776, -480
1707795425452, 176076, 4784, -7504, -528
1707795425462, 176087, 5072, -7472, -512
1707795425473, 176098, 5136, -7728, -608
1707795425484, 176109, 5360, -7840, -416
1707795425495, 176120, 5536, -7696, -480
1707795425506, 176131, 5632, -7536, -528
1707795425518, 176142, 5760, -7168, -400
1707795425529, 176153, 5904, -6496, -768
1707795425539, 176164, 6208, -6272, -976
1707795425551, 176175, 6240, -6160, -1424
1707795425562, 176186, 6432, -6096, -1584
1707795425573, 176197, 6640, -6256, -1808
1707795425584, 176208, 6608, -6448, -2016
1707795425595, 176219, 6800, -6272, -2096
1707795425607, 176230, 6768, -6128, -2144
1707795425618, 176241, 6976, -5776, -2384
1707795425628, 176252, 6928, -5328, -2784
1707795425641, 176263, 6752, -4848, -2976
1707795425651, 176274, 6832, -4368, -3104
1707795425662, 176285, 6832, -3840, -3392
1707795425671, 176296, 6784, -3504, -3584
1707795425684, 176307, 6896, -3344, -3664
1707795425693, 176318, 6816, -3120, -3792
1707795425705, 176329, 6832, -2944, -3760
1707795425715, 176340, 6832, -2720, -3648
1707795425726, 176351, 6784, -2432, -3792
1707795425738, 176362, 6832, -2224, -3696
