Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795854485, 605109, -1024, -1600, 7968
1707795854497, 605120, -1088, -1632, 7952
1707795854507, 605131, -960, -1616, 7936
1707795854521, 605142, -1040, -1568, 7888
1707795854529, 605153, -1040, -1568, 7952
1707795854542, 605164, -1168, -1456, 7888
1707795854551, 605175, -1152, -1248, 7840
1707795854563, 605186, -1200, -1184, 7824
1707795854573, 605197, -1264, -1168, 7696
1707795854587, 605208, -1200, -1136, 7712
1707795854595, 605219, -1424, -1120, 7680
1707795854608, 605230, -1408, -1104, 7680
1707795854620, 605241, -1440, -1168, 7760
1707795854629, 605252, -1392, -1280, 7664
1707795854639, 605263, -1344, -1376, 7728
1707795854652, 605274, -1344, -1376, 7776
1707795854661, 605285, -1312, -1456, 7792
1707795854674, 605296, -1328, -1504, 7808
1707795854685, 605307, -1248, -1680, 7952
1707795854696, 605318, -1344, -1936, 7968
1707795854705, 605329, -976, -2144, 8064
1707795854717, 605340, -656, -2496, 7968
1707795854727, 605351, -672, -2752, 8304
1707795854738, 605362, -464, -2896, 8448
1707795854750, 605373, -384, -3072, 8560
1707795854761, 605384, -112, -3296, 8768
1707795854773, 605395, 32, -3408, 9088
1707795854783, 605406, 256, -3440, 9536
1707795854793, 605417, 256, -3216, 9632
1707795854804, 605428, 528, -3216, 9872
1707795854816, 605439, 608, -3072, 10080
1707795854828, 605450, 688, -2752, 10016
1707795854838, 605461, 640, -2336, 9744
1707795854848, 605472, 592, -1872, 9536
1707795854861, 605483, 544, -1392, 9408
1707795854870, 605494, 400, -1056, 8640
1707795854881, 605505, 464, -688, 7472
1707795854892, 605516, 496, -64, 6848
1707795854903, 605527, 128, 64, 6656
1707795854915, 605538, -192, 48, 6912
1707795854925, 605549, -320, -992, 7840
1707795854938, 605560, -240, -1600, 8400
1707795854947, 605571, -144, -2656, 9200
1707795854958, 605582, -528, -3456, 9600
1707795854969, 605593, -480, -4480, 10448
1707795854980, 605604, -704, -4736, 9824
