Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795338390, 89011, 2080, -2800, 7504
1707795338401, 89022, 1952, -2896, 7568
1707795338413, 89033, 1936, -3072, 7712
1707795338422, 89044, 1856, -3152, 7728
1707795338435, 89055, 1808, -3104, 7760
1707795338445, 89066, 1728, -3072, 7616
1707795338458, 89077, 1776, -2976, 7552
1707795338467, 89088, 1648, -3104, 7200
1707795338481, 89099, 1648, -3392, 7536
1707795338491, 89110, 1808, -3568, 7456
1707795338500, 89121, 1936, -3856, 7488
1707795338511, 89132, 1984, -4016, 7376
1707795338522, 89143, 1968, -3936, 7072
1707795338535, 89154, 2096, -3792, 6880
1707795338545, 89165, 2032, -3600, 6832
1707795338555, 89176, 2048, -3648, 6928
1707795338568, 89187, 2048, -3584, 7136
1707795338577, 89198, 2000, -3680, 7280
1707795338588, 89209, 2096, -3840, 7600
1707795338600, 89220, 2096, -3920, 7712
1707795338610, 89231, 2016, -3680, 7632
1707795338621, 89242, 1984, -3744, 7680
1707795338635, 89253, 1920, -3936, 7840
1707795338644, 89264, 2080, -3984, 7872
1707795338655, 89275, 2016, -4064, 7728
1707795338667, 89286, 1952, -3952, 7584
1707795338679, 89297, 1920, -4128, 7568
1707795338688, 89308, 1904, -4288, 7664
1707795338701, 89319, 2112, -4896, 7936
1707795338709, 89330, 2080, -5056, 7904
1707795338722, 89341, 2048, -4944, 7408
1707795338733, 89352, 2144, -4688, 7008
1707795338744, 89363, 1872, -4480, 6704
1707795338755, 89374, 1680, -4400, 6640
1707795338766, 89385, 1472, -4432, 6192
1707795338775, 89396, 1264, -4608, 6064
1707795338786, 89407, 1232, -4880, 6048
1707795338797, 89418, 1344, -5088, 5984
1707795338809, 89429, 1552, -5136, 5952
1707795338819, 89440, 1408, -5312, 6160
1707795338832, 89451, 1584, -5744, 6624
1707795338841, 89462, 1792, -6304, 6832
1707795338851, 89473, 2208, -6464, 6720
1707795338865, 89484, 2352, -6640, 6480
1707795338876, 89495, 2208, -6848, 6016
1707795338885, 89506, 2592, -6816, 5632
1707795338896, 89517, 2688, -6832, 5552
1707795338907, 89528, 2944, -6672, 5168
1707795338918, 89539, 3040, -6352, 4672
1707795338931, 89550, 3008, -6288, 4432
1707795338942, 89561, 3424, -6496, 4112
1707795338951, 89572, 3680, -6368, 3712
1707795338962, 89583, 3904, -6448, 3520
1707795338973, 89594, 4096, -6480, 3216
1707795338984, 89605, 4096, -6320, 2880
1707795338995, 89616, 4256, -5952, 2704
1707795339008, 89627, 4224, -5344, 2624
1707795339017, 89638, 4448, -5184, 2704
1707795339030, 89649, 4624, -4992, 2768
1707795339039, 89660, 4848, -4784, 3216
1707795339052, 89671, 4944, -4624, 3248
