Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795698604, 449228, 3440, 1136, 7360
1707795698615, 449239, 3440, 1120, 7312
1707795698626, 449250, 3360, 1072, 7296
1707795698637, 449261, 3456, 1120, 7328
1707795698648, 449272, 3456, 1040, 7440
1707795698659, 449283, 3456, 1072, 7376
1707795698672, 449294, 3472, 1024, 7376
1707795698681, 449305, 3472, 1008, 7280
1707795698692, 449316, 3456, 1072, 7296
1707795698703, 449327, 3584, 992, 7264
1707795698714, 449338, 3488, 1056, 7296
1707795698725, 449349, 3472, 1072, 7312
1707795698736, 449360, 3424, 1232, 7376
1707795698746, 449371, 3376, 1328, 7424
1707795698758, 449382, 3360, 1296, 7360
1707795698769, 449393, 3168, 1344, 7440
1707795698780, 449404, 3344, 1360, 7392
1707795698791, 449415, 3440, 1248, 7472
1707795698804, 449426, 3328, 1296, 7376
1707795698813, 449437, 3280, 1248, 7312
1707795698824, 449448, 3184, 1184, 7440
1707795698835, 449459, 3376, 1168, 7440
1707795698848, 449470, 3344, 1168, 7552
1707795698859, 449481, 3424, 1056, 7440
1707795698869, 449492, 3504, 1024, 7504
1707795698879, 449503, 3504, 1008, 7520
1707795698889, 449514, 3520, 992, 7552
1707795698900, 449525, 3520, 976, 7600
1707795698912, 449536, 3456, 1024, 7728
1707795698925, 449547, 3536, 1072, 7808
1707795698936, 449558, 3616, 1104, 7984
1707795698945, 449569, 3616, 1152, 8000
1707795698956, 449580, 3616, 1360, 8304
1707795698967, 449591, 3680, 1536, 8368
1707795698978, 449602, 3712, 1760, 8432
1707795698989, 449613, 3760, 2048, 8576
1707795698999, 449624, 3648, 2240, 8768
1707795699010, 449635, 3600, 2432, 8928
1707795699023, 449646, 3648, 2656, 9024
1707795699032, 449657, 3424, 2912, 9040
1707795699046, 449668, 3296, 3168, 9136
1707795699057, 449679, 3248, 3360, 8880
1707795699066, 449690, 3184, 3472, 8816
1707795699078, 449701, 3120, 3488, 8768
1707795699089, 449712, 3136, 3568, 8640
1707795699099, 449723, 3136, 3696, 8336
1707795699111, 449734, 3072, 3712, 8192
1707795699123, 449745, 3104, 3712, 7952
1707795699132, 449756, 3072, 3616, 7600
1707795699145, 449767, 3120, 3552, 7328
1707795699155, 449778, 3088, 3392, 6992
1707795699166, 449789, 3088, 3168, 6928
1707795699175, 449800, 3168, 2992, 6672
1707795699186, 449811, 3328, 2848, 6528
1707795699200, 449822, 3280, 2704, 6064
1707795699209, 449833, 3328, 2480, 5808
1707795699220, 449844, 3184, 2432, 5728
1707795699233, 449855, 3344, 2304, 5552
1707795699243, 449866, 3424, 2224, 5648
1707795699253, 449877, 3456, 2128, 5296
1707795699264, 449888, 3376, 1984, 5280
1707795699275, 449899, 3200, 1888, 5296
1707795699286, 449910, 3360, 1856, 5344
1707795699296, 449921, 3248, 1776, 5376
1707795699308, 449932, 3024, 1792, 5232
1707795699321, 449943, 2848, 1888, 5056
1707795699330, 449954, 2720, 1680, 5008
1707795699341, 449965, 2688, 1472, 4976
1707795699352, 449976, 2656, 1296, 5088
1707795699363, 449987, 2560, 1040, 5232
1707795699375, 449998, 2272, 832, 5264
1707795699387, 450009, 2000, 320, 5088
