Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795491057, 241680, 4848, -2336, 6560
1707795491066, 241691, 4768, -2352, 6592
1707795491079, 241702, 4752, -2320, 6448
1707795491088, 241713, 4752, -2256, 6448
1707795491101, 241724, 4688, -2224, 6480
1707795491110, 241735, 4656, -2176, 6480
1707795491122, 241746, 4608, -2144, 6176
1707795491132, 241757, 4752, -2144, 6352
1707795491146, 241768, 4688, -2096, 6368
1707795491155, 241779, 4688, -2064, 6528
1707795491165, 241790, 4704, -2064, 6352
1707795491179, 241801, 4624, -2128, 6256
1707795491187, 241812, 4768, -2096, 6208
1707795491198, 241823, 4640, -2112, 6208
1707795491209, 241834, 4624, -2176, 6224
1707795491223, 241845, 4672, -2256, 6272
1707795491232, 241856, 4656, -2240, 6144
1707795491242, 241867, 4640, -2240, 6128
1707795491253, 241878, 4768, -2176, 6240
1707795491266, 241889, 4784, -2240, 6000
1707795491275, 241900, 4704, -2272, 6272
1707795491286, 241911, 4912, -2336, 6384
1707795491297, 241922, 4960, -2512, 6512
1707795491308, 241933, 4992, -2704, 6704
1707795491322, 241944, 5168, -3040, 6720
1707795491331, 241955, 5216, -3392, 7088
1707795491341, 241966, 5328, -3536, 7328
1707795491352, 241977, 5472, -3856, 7824
1707795491364, 241988, 5728, -4080, 7840
1707795491375, 241999, 5872, -4480, 7904
1707795491385, 242010, 5984, -4752, 7744
1707795491397, 242021, 6016, -4992, 7696
1707795491407, 242032, 6000, -5328, 7488
1707795491419, 242043, 6160, -5536, 7376
1707795491430, 242054, 6240, -5792, 7024
1707795491441, 242065, 6096, -5952, 6544
1707795491454, 242076, 6208, -6096, 6096
1707795491462, 242087, 6304, -6208, 5712
1707795491475, 242098, 6432, -6352, 5072
1707795491485, 242109, 6144, -6432, 4576
1707795491495, 242120, 6096, -6384, 3744
1707795491506, 242131, 5856, -6336, 3312
1707795491518, 242142, 5728, -6208, 2928
1707795491528, 242153, 5728, -5808, 2304
1707795491541, 242164, 5328, -5424, 1760
1707795491550, 242175, 5072, -5088, 1264
1707795491564, 242186, 4928, -4672, 1072
1707795491575, 242197, 4832, -4384, 816
1707795491583, 242208, 4976, -4096, 448
1707795491597, 242219, 4672, -3936, 256
1707795491607, 242230, 4544, -3776, -192
1707795491618, 242241, 4480, -3696, -112
1707795491628, 242252, 4464, -3744, 0
1707795491639, 242263, 4208, -3728, -192
1707795491650, 242274, 4176, -3680, -304
1707795491663, 242285, 4064, -3488, -272
1707795491671, 242296, 4032, -3328, -176
1707795491682, 242307, 3632, -3136, 48
1707795491693, 242318, 3472, -2864, 208
1707795491704, 242329, 3168, -2736, 416
1707795491715, 242340, 2912, -2704, 480
1707795491727, 242351, 2976, -2640, 784
1707795491738, 242362, 2224, -2640, 688
1707795491751, 242373, 1712, -2656, 880
1707795491760, 242384, 1312, -2576, 960
1707795491773, 242395, 720, -2272, 1136
1707795491781, 242406, 576, -1968, 1504
1707795491795, 242417, -432, -1600, 1824
1707795491803, 242428, -1216, -1184, 2352
1707795491815, 242439, -1664, -960, 2800
1707795491826, 242450, -2208, -1040, 3360
1707795491836, 242461, -2480, -1520, 4256
1707795491848, 242472, -3040, -2144, 4912
1707795491859, 242483, -3264, -2624, 5376
1707795491870, 242494, -3376, -2800, 5280
1707795491880, 242505, -4032, -3168, 5936
1707795491891, 242516, -4160, -3632, 7232
1707795491903, 242527, -4160, -4032, 8016
1707795491913, 242538, -4304, -4368, 8032
1707795491925, 242549, -4192, -5088, 8304
1707795491936, 242560, -4032, -6000, 8432
1707795491946, 242571, -3872, -7216, 8912
1707795491957, 242582, -3792, -8064, 9424
1707795491968, 242593, -3760, -8320, 9488
1707795491981, 242604, -3712, -8416, 9184
1707795491991, 242615, -3696, -8432, 9120
1707795492001, 242626, -3744, -8592, 9568
1707795492014, 242637, -3616, -8992, 10320
1707795492023, 242648, -3472, -9264, 10464
1707795492037, 242659, -3312, -9392, 10032
1707795492045, 242670, -3424, -9664, 9744
1707795492057, 242681, -3216, -9792, 9376
1707795492068, 242692, -3152, -10080, 9216
1707795492078, 242703, -2592, -10304, 8880
1707795492089, 242714, -2704, -10576, 8320
1707795492102, 242725, -2896, -10560, 8032
1707795492112, 242736, -3184, -10080, 7568
1707795492122, 242747, -3216, -9280, 7696
1707795492134, 242758, -4208, -8656, 7952
1707795492144, 242769, -4640, -8224, 8208
1707795492155, 242780, -4624, -8096, 8896
1707795492167, 242791, -4848, -8320, 9552
1707795492178, 242802, -4960, -9200, 10016
1707795492190, 242813, -4944, -9936, 9856
1707795492199, 242824, -5056, -10464, 8976
1707795492212, 242835, -5056, -10624, 8080
1707795492222, 242846, -5264, -10624, 7520
1707795492233, 242857, -5232, -10592, 7040
1707795492245, 242868, -5392, -10560, 6912
1707795492256, 242879, -5088, -10496, 6992
1707795492267, 242890, -4960, -10896, 7328
1707795492279, 242901, -4768, -11216, 7456
1707795492287, 242912, -4896, -11280, 7296
1707795492300, 242923, -5008, -10832, 7104
1707795492309, 242934, -5200, -10400, 6960
1707795492320, 242945, -5104, -10048, 7296
1707795492331, 242956, -5104, -9680, 7344
1707795492343, 242967, -5152, -9280, 7328
1707795492354, 242978, -5264, -9184, 6976
1707795492366, 242989, -5248, -9120, 6912
1707795492376, 243000, -5184, -8880, 6624
1707795492388, 243011, -5680, -8512, 6368
1707795492398, 243022, -6000, -8128, 6240
1707795492408, 243033, -6080, -7728, 6080
1707795492419, 243044, -6192, -7504, 5872
1707795492430, 243055, -6224, -7360, 5744
1707795492441, 243066, -6224, -7392, 5648
1707795492452, 243077, -6096, -7296, 5552
1707795492464, 243088, -5936, -7104, 5360
1707795492476, 243099, -5712, -6848, 5104
1707795492486, 243110, -5520, -6560, 4848
1707795492498, 243121, -5408, -6512, 4752
1707795492509, 243132, -5232, -6528, 4544
1707795492521, 243143, -5008, -6464, 4656
1707795492529, 243154, -4816, -6304, 4816
1707795492540, 243165, -4432, -6064, 4720
1707795492551, 243176, -4240, -6080, 4688
1707795492565, 243187, -4000, -6192, 4752
1707795492574, 243198, -3904, -6192, 4880
1707795492586, 243209, -3536, -6224, 5200
1707795492597, 243220, -3184, -6128, 5680
1707795492606, 243231, -3200, -5856, 5712
1707795492617, 243242, -2928, -5664, 5776
1707795492629, 243253, -2736, -5376, 5872
1707795492641, 243264, -2736, -5088, 5888
1707795492651, 243275, -2640, -4800, 6016
1707795492662, 243286, -2736, -4848, 6000
1707795492672, 243297, -2432, -4976, 6480
1707795492684, 243308, -2240, -4880, 7136
1707795492694, 243319, -2096, -4736, 7328
1707795492705, 243330, -2064, -4624, 7424
1707795492717, 243341, -2144, -4528, 7312
1707795492728, 243352, -1472, -4592, 7248
1707795492740, 243363, -1200, -4864, 6976
1707795492751, 243374, -944, -4832, 6720
1707795492760, 243385, -816, -4720, 6400
1707795492772, 243396, -736, -4816, 6016
1707795492782, 243407, -528, -5040, 5744
1707795492793, 243418, -176, -5120, 5520
1707795492805, 243429, -192, -4864, 5488
1707795492816, 243440, -96, -4848, 5376
1707795492826, 243451, -176, -5120, 5232
1707795492837, 243462, 272, -5488, 4928
1707795492851, 243473, 368, -5808, 4704
1707795492859, 243484, 400, -5696, 4624
1707795492872, 243495, 544, -5456, 4544
1707795492881, 243506, 656, -5200, 4656
1707795492892, 243517, 784, -4944, 4704
1707795492903, 243528, 880, -4752, 4560
1707795492916, 243539, 1120, -4592, 4480
1707795492925, 243550, 1136, -4528, 4496
1707795492936, 243561, 1184, -4304, 4416
1707795492947, 243572, 1216, -4224, 4544
1707795492960, 243583, 1296, -4176, 4720
1707795492969, 243594, 1200, -3936, 4672
1707795492981, 243605, 1216, -3568, 4640
1707795492993, 243616, 1152, -3136, 4688
1707795493002, 243627, 1312, -3072, 4768
1707795493013, 243638, 1504, -3056, 4880
1707795493025, 243649, 1664, -2992, 4896
1707795493035, 243660, 1824, -2976, 4880
1707795493046, 243671, 2000, -2768, 4960
1707795493057, 243682, 2016, -2672, 4720
1707795493069, 243693, 2272, -2496, 4496
1707795493080, 243704, 2400, -2432, 4256
1707795493092, 243715, 2352, -2368, 4288
1707795493101, 243726, 2464, -2064, 4160
1707795493112, 243737, 2512, -1568, 4496
1707795493123, 243748, 2432, -1168, 4736
1707795493134, 243759, 2496, -752, 5120
1707795493145, 243770, 2576, -624, 5200
1707795493158, 243781, 2608, -560, 5280
1707795493167, 243792, 2672, -640, 5328
1707795493178, 243803, 2784, -784, 5424
1707795493192, 243814, 3008, -1296, 5552
1707795493203, 243825, 3024, -1296, 5632
1707795493212, 243836, 3088, -1200, 5728
1707795493222, 243847, 3024, -976, 5760
1707795493236, 243858, 3232, -688, 5856
1707795493244, 243869, 3248, -224, 6128
1707795493257, 243880, 3248, 336, 6368
1707795493266, 243891, 3184, 1072, 6464
1707795493277, 243902, 3104, 2064, 6912
1707795493291, 243913, 3040, 2768, 7360
1707795493301, 243924, 2880, 3296, 7952
1707795493311, 243935, 2928, 3792, 8128
1707795493321, 243946, 2752, 3728, 8384
1707795493335, 243957, 2960, 3184, 8768
1707795493343, 243968, 3008, 2704, 8944
1707795493354, 243979, 2976, 2304, 9024
1707795493365, 243990, 2976, 1664, 9104
1707795493377, 244001, 3312, 1120, 9056
1707795493388, 244012, 3312, 480, 8848
1707795493398, 244023, 3504, -144, 8816
1707795493411, 244034, 3712, -736, 8752
1707795493421, 244045, 3712, -1056, 8336
1707795493431, 244056, 3920, -1136, 7984
1707795493442, 244067, 3920, -1296, 7712
1707795493453, 244078, 3920, -1280, 7792
1707795493465, 244089, 3872, -1376, 7584
1707795493476, 244100, 3904, -1584, 7392
1707795493487, 244111, 3920, -1936, 7312
1707795493498, 244122, 4016, -2256, 7360
1707795493508, 244133, 4048, -2448, 7216
1707795493519, 244144, 3968, -2336, 7232
1707795493531, 244155, 3904, -2080, 7616
1707795493543, 244166, 3680, -2016, 7648
1707795493553, 244177, 3616, -1952, 7696
1707795493563, 244188, 3584, -1744, 7664
1707795493576, 244199, 3520, -1600, 7696
1707795493585, 244210, 3312, -1568, 7808
1707795493596, 244221, 3248, -1552, 7744
1707795493607, 244232, 3248, -1520, 7712
1707795493620, 244243, 3104, -1296, 7680
1707795493631, 244254, 3152, -1152, 7536
1707795493640, 244265, 3184, -1264, 7456
