Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795617094, 367718, 1312, 400, 7792
1707795617104, 367729, 1344, 400, 7632
1707795617116, 367740, 1376, 416, 7824
1707795617127, 367751, 1392, 400, 7872
1707795617138, 367762, 1360, 384, 7904
1707795617151, 367773, 1360, 384, 7904
1707795617159, 367784, 1280, 512, 8128
1707795617171, 367795, 1376, 560, 8080
1707795617182, 367806, 1232, 544, 8080
1707795617193, 367817, 1168, 608, 8128
1707795617206, 367828, 1168, 576, 8096
1707795617215, 367839, 1120, 592, 7968
1707795617225, 367850, 1120, 544, 8032
1707795617237, 367861, 1184, 592, 8000
1707795617248, 367872, 1264, 576, 7712
1707795617258, 367883, 1264, 560, 7856
1707795617269, 367894, 1280, 560, 7872
1707795617281, 367905, 1296, 624, 7888
1707795617292, 367916, 1216, 640, 7888
1707795617302, 367927, 1104, 768, 7984
1707795617313, 367938, 1072, 736, 8128
1707795617328, 367949, 1056, 720, 8160
1707795617337, 367960, 1120, 656, 8192
1707795617348, 367971, 1104, 576, 8160
1707795617357, 367982, 1152, 496, 8208
1707795617369, 367993, 1040, 528, 8160
1707795617382, 368004, 1120, 512, 8128
1707795617390, 368015, 1168, 416, 8144
1707795617402, 368026, 1248, 352, 8144
1707795617413, 368037, 1344, 272, 8096
1707795617424, 368048, 1360, 224, 8224
1707795617435, 368059, 1504, 192, 8352
1707795617445, 368070, 1760, 96, 8512
1707795617458, 368081, 1696, 64, 8656
1707795617468, 368092, 1760, 48, 8944
1707795617478, 368103, 1840, 0, 9376
1707795617490, 368114, 2240, 32, 10000
1707795617500, 368125, 2720, -16, 10848
1707795617512, 368136, 2960, 160, 11424
1707795617522, 368147, 3184, 512, 11856
1707795617533, 368158, 3088, 960, 12304
1707795617545, 368169, 2944, 1360, 12480
1707795617556, 368180, 2864, 1936, 12688
1707795617567, 368191, 2784, 2224, 12400
1707795617577, 368202, 2864, 2416, 12272
1707795617588, 368213, 2864, 2768, 12080
1707795617600, 368224, 2720, 2992, 11664
1707795617610, 368235, 2736, 3280, 11200
1707795617621, 368246, 2768, 3552, 10480
1707795617632, 368257, 2400, 3776, 9872
1707795617644, 368268, 2080, 3936, 9120
1707795617655, 368279, 1920, 4000, 8416
1707795617666, 368290, 1856, 3904, 7856
1707795617678, 368301, 1600, 3760, 7248
1707795617689, 368312, 1584, 3744, 6864
1707795617699, 368323, 1568, 3808, 6688
1707795617710, 368334, 1456, 3648, 6608
1707795617720, 368345, 1376, 3744, 6432
1707795617731, 368356, 1040, 3888, 5920
1707795617742, 368367, 1056, 3792, 5536
1707795617754, 368378, 1040, 3520, 5168
1707795617765, 368389, 976, 3344, 4752
1707795617776, 368400, 928, 3216, 4304
1707795617787, 368411, 1088, 2880, 3808
1707795617797, 368422, 1200, 2416, 3616
1707795617809, 368433, 1120, 1984, 3024
1707795617819, 368444, 1072, 1632, 2592
1707795617831, 368455, 688, 1456, 2176
1707795617842, 368466, 544, 1136, 2080
1707795617852, 368477, 320, 672, 1968
1707795617864, 368488, 208, 176, 1936
1707795617876, 368499, 192, -304, 1584
1707795617885, 368510, 16, -640, 1232
1707795617896, 368521, -32, -1136, 672
1707795617909, 368532, -128, -1488, 768
1707795617919, 368543, -368, -2096, 816
1707795617930, 368554, -768, -2880, 1040
1707795617941, 368565, -1040, -3488, 1216
1707795617952, 368576, -1216, -4096, 1392
1707795617964, 368587, -1216, -4640, 1904
1707795617975, 368598, -1280, -5184, 2112
1707795617984, 368609, -1264, -5872, 2512
1707795617996, 368620, -1136, -6288, 2736
1707795618009, 368631, -944, -6672, 3200
1707795618018, 368642, -896, -6944, 3856
1707795618028, 368653, -592, -7088, 4416
1707795618040, 368664, -400, -7248, 5120
1707795618052, 368675, -528, -7232, 5776
1707795618062, 368686, -816, -7456, 6624
1707795618072, 368697, -912, -7616, 7552
1707795618084, 368708, -1136, -7472, 7984
1707795618095, 368719, -1152, -7136, 8416
1707795618108, 368730, -1312, -7232, 8784
1707795618117, 368741, -1280, -7344, 9104
1707795618129, 368752, -1328, -7184, 9344
1707795618139, 368763, -1504, -6944, 9280
1707795618150, 368774, -1584, -6608, 9056
1707795618161, 368785, -1600, -6320, 8992
1707795618173, 368796, -1648, -5920, 8912
1707795618184, 368807, -1440, -5072, 8752
1707795618194, 368818, -1520, -4736, 8640
1707795618204, 368829, -1792, -4528, 8608
1707795618216, 368840, -1744, -4320, 8720
1707795618227, 368851, -2464, -4912, 9360
1707795618238, 368862, -2512, -4400, 9456
