Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795646321, 396945, 4080, -1056, 7120
1707795646333, 396956, 4096, -1072, 7200
1707795646344, 396967, 4064, -1088, 7152
1707795646355, 396978, 4096, -1136, 6848
1707795646364, 396989, 4016, -1088, 7008
1707795646376, 397000, 4096, -1072, 7088
1707795646387, 397011, 4080, -1088, 7024
1707795646399, 397022, 4080, -1088, 7088
1707795646410, 397033, 4128, -1104, 7120
1707795646423, 397044, 4256, -1136, 7024
1707795646430, 397055, 4112, -1200, 6992
1707795646442, 397066, 4160, -1232, 7120
1707795646452, 397077, 4128, -1216, 7040
1707795646466, 397088, 4176, -1232, 6992
1707795646475, 397099, 4128, -1136, 6944
1707795646485, 397110, 4128, -1216, 6944
1707795646497, 397121, 4208, -1248, 6960
1707795646510, 397132, 4176, -1296, 7072
1707795646521, 397143, 4128, -1360, 7088
1707795646530, 397154, 4128, -1360, 7184
1707795646540, 397165, 4096, -1280, 7248
1707795646552, 397176, 4064, -1360, 7104
1707795646564, 397187, 4064, -1296, 7248
1707795646574, 397198, 4144, -1200, 7232
1707795646585, 397209, 4080, -1040, 7072
1707795646596, 397220, 4096, -1056, 7344
1707795646606, 397231, 4064, -1024, 7120
1707795646617, 397242, 4000, -1136, 7392
1707795646629, 397253, 3952, -1120, 7328
1707795646640, 397264, 3952, -1072, 7344
1707795646653, 397275, 3984, -1168, 7184
1707795646662, 397286, 3984, -1104, 7072
1707795646673, 397297, 3968, -1120, 7152
1707795646684, 397308, 3920, -1344, 7216
1707795646696, 397319, 3984, -1840, 7728
1707795646708, 397330, 4032, -2304, 7408
1707795646717, 397341, 4096, -2912, 7568
1707795646729, 397352, 4112, -4016, 8000
1707795646738, 397363, 4304, -4640, 7968
1707795646750, 397374, 4416, -5248, 8160
1707795646761, 397385, 4400, -5568, 8016
1707795646774, 397396, 4544, -5840, 7920
1707795646783, 397407, 4464, -6240, 7552
1707795646795, 397418, 4448, -6368, 7216
1707795646805, 397429, 4192, -6400, 6768
1707795646817, 397440, 4064, -6240, 6352
1707795646829, 397451, 3920, -6048, 5984
1707795646838, 397462, 3792, -5776, 5488
1707795646848, 397473, 3904, -5472, 5312
1707795646860, 397484, 4016, -5136, 5024
1707795646871, 397495, 4096, -4752, 5040
1707795646883, 397506, 3856, -4560, 5136
1707795646893, 397517, 3744, -4512, 5376
1707795646904, 397528, 3888, -4560, 5440
1707795646915, 397539, 4064, -4688, 5808
1707795646927, 397550, 4416, -4688, 6064
1707795646937, 397561, 4432, -4576, 6208
1707795646948, 397572, 4544, -4512, 6832
1707795646960, 397583, 4688, -4480, 6560
1707795646971, 397594, 4512, -4304, 6496
1707795646980, 397605, 4496, -4192, 6560
1707795646991, 397616, 4448, -4096, 6816
1707795647003, 397627, 4240, -3792, 6976
1707795647013, 397638, 4240, -3344, 7232
1707795647024, 397649, 4064, -2864, 7344
1707795647036, 397660, 3872, -2496, 7456
1707795647047, 397671, 3664, -1952, 7600
1707795647059, 397682, 3472, -1328, 7648
1707795647069, 397693, 3552, -272, 7472
1707795647081, 397704, 2656, 256, 7280
1707795647090, 397715, 2464, 1088, 7072
1707795647101, 397726, 2224, 1744, 7088
1707795647113, 397737, 2048, 2240, 7184
1707795647123, 397748, 1824, 2496, 7616
1707795647135, 397759, 1600, 2896, 7808
1707795647147, 397770, 1296, 3552, 7552
1707795647157, 397781, 1200, 3888, 7456
1707795647169, 397792, 944, 4112, 7472
1707795647179, 397803, 752, 4288, 7504
1707795647190, 397814, 816, 4368, 7440
1707795647200, 397825, 832, 4224, 7392
1707795647211, 397836, 816, 4096, 6928
1707795647224, 397847, 1040, 3936, 6512
1707795647233, 397858, 1136, 3584, 5952
1707795647246, 397869, 1216, 3328, 5744
1707795647255, 397880, 1248, 3136, 5536
1707795647266, 397891, 1264, 2976, 5248
1707795647278, 397902, 896, 2992, 5264
1707795647289, 397913, 640, 3072, 5568
1707795647300, 397924, 448, 3072, 5760
1707795647312, 397935, 368, 2928, 6096
1707795647323, 397946, 208, 2736, 6368
1707795647333, 397957, 208, 2432, 6448
1707795647344, 397968, 160, 1936, 6528
1707795647355, 397979, 192, 1424, 6704
1707795647367, 397990, 384, 1008, 6880
1707795647377, 398001, 320, 512, 7072
1707795647388, 398012, 448, 112, 7680
1707795647398, 398023, 320, -256, 8016
1707795647410, 398034, 320, -864, 8112
1707795647421, 398045, 256, -1504, 8256
1707795647434, 398056, 336, -2288, 8336
1707795647443, 398067, 400, -2816, 8464
1707795647455, 398078, 368, -3120, 8480
1707795647466, 398089, 256, -3552, 8592
1707795647475, 398100, 144, -3888, 8752
1707795647489, 398111, 224, -4496, 9360
1707795647499, 398122, 176, -4912, 9920
1707795647509, 398133, 176, -5136, 10352
1707795647520, 398144, 224, -5296, 10368
1707795647532, 398155, 64, -5136, 10032
1707795647542, 398166, -32, -5072, 9872
1707795647555, 398177, -192, -4816, 9856
1707795647564, 398188, -352, -4720, 10096
1707795647577, 398199, -528, -4736, 10272
1707795647586, 398210, -608, -5008, 10160
1707795647597, 398221, -688, -5344, 10400
1707795647610, 398232, -720, -5696, 10480
1707795647620, 398243, -736, -5936, 10768
1707795647630, 398254, -848, -6000, 10992
1707795647640, 398265, -864, -6048, 11136
1707795647651, 398276, -736, -6144, 11104
1707795647665, 398287, -864, -6464, 11120
1707795647674, 398298, -528, -6688, 10656
1707795647685, 398309, -416, -6704, 9904
1707795647695, 398320, -384, -6688, 9680
1707795647708, 398331, -368, -6528, 9440
1707795647718, 398342, -368, -6416, 9104
1707795647729, 398353, -128, -6592, 9008
1707795647740, 398364, -48, -6736, 8848
1707795647751, 398375, -80, -6912, 8560
1707795647762, 398386, 256, -7072, 8432
1707795647773, 398397, 320, -7248, 8016
1707795647784, 398408, 144, -7360, 8128
1707795647795, 398419, 336, -7552, 7024
1707795647807, 398430, 480, -6816, 7344
1707795647816, 398441, 128, -6848, 7584
1707795647828, 398452, -224, -6688, 7424
1707795647857, 398463, -384, -6368, 7200
1707795647858, 398474, -544, -6208, 7072
1707795647862, 398485, -560, -6112, 6928
1707795647872, 398496, -880, -5952, 6960
1707795647883, 398507, -944, -5904, 6864
1707795647894, 398518, -1200, -5616, 6928
1707795647906, 398529, -1424, -5232, 6944
1707795647916, 398540, -1312, -4848, 6944
1707795647927, 398551, -1664, -4720, 6944
1707795647938, 398562, -1664, -4480, 7328
1707795647951, 398573, -1648, -4560, 7072
1707795647961, 398584, -1744, -4688, 7104
1707795647971, 398595, -1760, -4704, 7184
1707795647983, 398606, -1792, -4544, 7152
1707795647992, 398617, -1984, -4336, 7312
1707795648005, 398628, -2080, -3952, 7456
1707795648014, 398639, -2208, -3568, 7664
1707795648028, 398650, -2192, -3264, 8000
1707795648037, 398661, -2080, -3264, 8160
1707795648050, 398672, -1936, -3184, 8256
1707795648059, 398683, -1904, -3056, 8336
1707795648070, 398694, -1920, -2976, 8272
1707795648082, 398705, -1616, -2816, 8080
1707795648092, 398716, -1680, -2560, 8144
1707795648103, 398727, -1616, -2352, 7984
1707795648116, 398738, -1568, -2080, 7920
1707795648125, 398749, -1568, -1920, 7888
1707795648137, 398760, -1616, -1696, 8096
1707795648146, 398771, -1520, -1440, 8352
1707795648158, 398782, -1744, -1088, 8480
1707795648169, 398793, -1744, -688, 8736
1707795648182, 398804, -1696, -336, 8640
1707795648191, 398815, -1648, -128, 8624
1707795648202, 398826, -1632, 16, 8448
1707795648214, 398837, -1520, 144, 8352
1707795648224, 398848, -1328, 496, 8160
1707795648236, 398859, -1344, 576, 8080
1707795648245, 398870, -1264, 688, 8032
1707795648258, 398881, -1328, 784, 8048
1707795648267, 398892, -960, 848, 8080
1707795648279, 398903, -848, 672, 8176
1707795648292, 398914, -768, 608, 8192
1707795648303, 398925, -640, 512, 8224
1707795648312, 398936, -736, 240, 8128
1707795648323, 398947, -288, -32, 8192
1707795648334, 398958, -112, -544, 8160
1707795648345, 398969, -176, -848, 8160
1707795648357, 398980, 48, -1072, 8016
1707795648369, 398991, 144, -1200, 8016
1707795648379, 399002, 160, -1232, 8048
1707795648389, 399013, 144, -1296, 7952
1707795648400, 399024, 176, -1440, 8064
1707795648413, 399035, 352, -1712, 7984
1707795648421, 399046, 528, -2032, 7968
1707795648435, 399057, 576, -2160, 7776
1707795648444, 399068, 576, -2448, 7632
1707795648455, 399079, 608, -2544, 7616
1707795648466, 399090, 624, -2608, 7568
1707795648478, 399101, 560, -2496, 7584
1707795648487, 399112, 480, -2464, 7536
1707795648498, 399123, 480, -2432, 7600
1707795648510, 399134, 464, -2448, 7632
1707795648520, 399145, 416, -2496, 7696
1707795648533, 399156, 432, -2624, 7648
1707795648542, 399167, 592, -2816, 7648
1707795648554, 399178, 464, -2832, 7696
1707795648567, 399189, 432, -2896, 7664
1707795648576, 399200, 464, -2848, 7808
1707795648587, 399211, 368, -2816, 7808
1707795648598, 399222, 416, -2736, 7872
1707795648609, 399233, 400, -2752, 7824
1707795648620, 399244, 416, -2832, 7744
1707795648631, 399255, 480, -3040, 7696
1707795648642, 399266, 448, -3136, 7808
1707795648652, 399277, 624, -3056, 7984
1707795648665, 399288, 448, -2912, 8160
1707795648675, 399299, 240, -2512, 8080
1707795648687, 399310, 80, -2304, 8016
1707795648697, 399321, -48, -2016, 7840
