Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795814160, 564783, 960, -576, 8048
1707795814171, 564794, 1056, -624, 7984
1707795814181, 564805, 944, -640, 7920
1707795814192, 564816, 1088, -688, 7904
1707795814203, 564827, 944, -688, 7888
1707795814214, 564838, 944, -640, 7936
1707795814228, 564849, 928, -752, 8096
1707795814235, 564860, 960, -480, 7760
1707795814248, 564871, 992, -416, 7760
1707795814258, 564882, 1136, -768, 7824
1707795814271, 564893, 1088, -928, 7888
1707795814280, 564904, 992, -896, 8000
1707795814292, 564915, 1104, -832, 8016
1707795814304, 564926, 272, -512, 7984
1707795814315, 564937, 1104, -352, 7872
1707795814324, 564948, 1344, -896, 7776
1707795814336, 564959, 1552, -1072, 7920
1707795814348, 564970, 1648, -1136, 7920
1707795814359, 564981, 1744, -1072, 7808
1707795814371, 564992, 2112, -1264, 7680
1707795814380, 565003, 2368, -1392, 7632
1707795814392, 565014, 2752, -1664, 7728
1707795814401, 565025, 3072, -1984, 7824
1707795814412, 565036, 3216, -2064, 7744
1707795814425, 565047, 3232, -2128, 7488
1707795814434, 565058, 3280, -1936, 7632
1707795814445, 565069, 3216, -1904, 7680
1707795814456, 565080, 3008, -1696, 7808
1707795814467, 565091, 2976, -1456, 7792
1707795814478, 565102, 2960, -1392, 7424
1707795814489, 565113, 2800, -1296, 7584
1707795814500, 565124, 3056, -1520, 7504
1707795814512, 565135, 3104, -1968, 7776
1707795814524, 565146, 3104, -2336, 7680
1707795814536, 565157, 2976, -2464, 7456
1707795814545, 565168, 2896, -2544, 7360
1707795814557, 565179, 2512, -2688, 7344
1707795814566, 565190, 2064, -2368, 7712
1707795814578, 565201, 1792, -2192, 7776
1707795814589, 565212, 1696, -2064, 7808
1707795814599, 565223, 1712, -2656, 8064
1707795814610, 565234, 1744, -3024, 7936
1707795814623, 565245, 1664, -3056, 7296
1707795814632, 565256, 1616, -3152, 6960
1707795814644, 565267, 1520, -3504, 6720
1707795814656, 565278, 1536, -3984, 6544
1707795814665, 565289, 1408, -4112, 6480
1707795814676, 565300, 1248, -4128, 6320
1707795814687, 565311, 1296, -4016, 6256
1707795814698, 565322, 1088, -4032, 6400
1707795814710, 565333, 1072, -4336, 6848
1707795814722, 565344, 1024, -4736, 6768
1707795814731, 565355, 1120, -4832, 6672
1707795814743, 565366, 1120, -4224, 6320
1707795814753, 565377, 512, -3952, 6016
1707795814766, 565388, 592, -4640, 6176
1707795814778, 565399, 768, -5488, 6192
1707795814787, 565410, 608, -5728, 6304
1707795814799, 565421, 432, -6064, 6624
1707795814811, 565432, 256, -6704, 6784
1707795814821, 565443, 176, -7360, 7056
1707795814830, 565454, 0, -7440, 6752
1707795814843, 565465, -160, -7168, 6480
1707795814855, 565476, -304, -7392, 6240
1707795814863, 565487, -176, -7584, 6048
1707795814875, 565498, -224, -7424, 5328
1707795814885, 565509, -208, -7280, 4480
1707795814896, 565520, -528, -7056, 3776
1707795814910, 565531, -624, -6768, 3024
1707795814921, 565542, -880, -6256, 2480
1707795814929, 565553, -1104, -5456, 1728
1707795814942, 565564, -1392, -4640, 1728
1707795814951, 565575, -2064, -4048, 1584
1707795814963, 565586, -2416, -3584, 1472
1707795814973, 565597, -2720, -3088, 1616
1707795814984, 565608, -3040, -2432, 1648
