Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707795404937, 155561, 2048, -160, 6880
1707795404947, 155572, 1936, -240, 6912
1707795404958, 155583, 1936, -304, 6880
1707795404969, 155594, 1920, -288, 6736
1707795404979, 155605, 1936, -320, 6720
1707795404991, 155616, 1776, -384, 6624
1707795405001, 155627, 1696, -352, 6512
1707795405013, 155638, 1488, -304, 6128
1707795405024, 155649, 1376, -304, 5872
1707795405036, 155660, 1376, -688, 5584
1707795405046, 155671, 1296, -816, 5344
1707795405058, 155682, 1232, -944, 5344
1707795405068, 155693, 1088, -704, 5152
1707795405080, 155704, 864, -480, 5120
1707795405092, 155715, 720, -64, 5232
1707795405100, 155726, 224, 32, 5440
1707795405111, 155737, 64, -48, 5792
1707795405122, 155748, 48, 0, 5472
1707795405134, 155759, -448, -48, 5280
1707795405146, 155770, -528, -640, 5360
1707795405157, 155781, -560, -1152, 5504
1707795405168, 155792, -816, -1248, 5856
1707795405179, 155803, -1008, -1200, 6368
1707795405189, 155814, -1712, -1312, 6864
1707795405201, 155825, -2128, -1168, 7136
1707795405211, 155836, -2496, -880, 6848
1707795405225, 155847, -2672, -1024, 6480
1707795405234, 155858, -2784, -1312, 6336
1707795405245, 155869, -3104, -1472, 6288
1707795405256, 155880, -3296, -1680, 6560
1707795405267, 155891, -3472, -1808, 6944
1707795405279, 155902, -3856, -1696, 7008
1707795405289, 155913, -4144, -1584, 6784
1707795405299, 155924, -4320, -1600, 6656
1707795405312, 155935, -4608, -1968, 7040
1707795405321, 155946, -4624, -2304, 7344
1707795405332, 155957, -4992, -2400, 7584
1707795405344, 155968, -5184, -2464, 7584
1707795405355, 155979, -5360, -2336, 7808
1707795405366, 155990, -5664, -2336, 7920
1707795405377, 156001, -5728, -1888, 8368
1707795405390, 156012, -6384, -1456, 8384
1707795405398, 156023, -6768, -1248, 8512
1707795405409, 156034, -6816, -1584, 8416
1707795405420, 156045, -6944, -1792, 8320
