Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802837612, 702275, -1904, 7088, 2752
1707802837624, 702286, -1904, 7040, 2800
1707802837636, 702297, -1872, 7056, 2784
1707802837646, 702308, -1984, 7056, 2880
1707802837656, 702319, -1936, 7024, 2752
1707802837668, 702330, -1952, 6992, 2816
1707802837678, 702341, -2016, 7040, 2832
1707802837690, 702352, -2032, 7072, 2816
1707802837700, 702363, -1968, 7040, 2720
1707802837712, 702374, -2096, 7040, 2768
1707802837724, 702385, -1984, 7088, 2800
1707802837734, 702396, -1856, 7088, 2784
1707802837744, 702407, -1936, 7120, 2784
1707802837756, 702418, -1936, 7056, 2720
1707802837766, 702429, -1920, 7120, 2816
1707802837778, 702440, -1920, 7040, 2848
1707802837788, 702451, -1920, 7040, 2864
1707802837812, 702462, -1952, 7088, 2784
1707802837812, 702473, -2000, 7056, 2816
1707802837822, 702484, -1984, 7056, 2880
1707802837832, 702495, -2000, 7120, 2800
1707802837844, 702506, -1984, 7056, 2768
1707802837855, 702517, -1952, 7072, 2784
1707802837865, 702528, -1984, 7056, 2768
1707802837877, 702539, -1984, 7072, 2704
1707802837887, 702550, -1952, 7056, 2752
1707802837899, 702561, -1968, 7072, 2736
1707802837909, 702572, -1984, 7104, 2896
1707802837921, 702583, -1968, 7072, 2784
1707802837931, 702594, -1984, 7056, 2800
1707802837943, 702605, -2000, 7056, 2864
1707802837955, 702616, -1936, 7072, 2784
1707802837965, 702627, -1952, 7088, 2800
1707802837975, 702638, -1920, 7104, 2784
1707802837987, 702649, -1984, 7040, 2816
1707802838000, 702660, -1920, 7056, 2832
1707802838008, 702671, -1904, 7072, 2784
1707802838020, 702682, -1984, 7072, 2848
1707802838030, 702693, -2000, 6976, 2720
1707802838042, 702704, -1984, 7024, 2800
1707802838052, 702715, -1952, 7088, 2800
1707802838064, 702726, -2176, 7056, 2800
1707802838076, 702737, -2048, 7104, 2768
1707802838086, 702748, -1984, 7104, 2784
1707802838096, 702759, -1984, 7008, 2832
1707802838108, 702770, -1936, 7040, 2848
1707802838118, 702781, -1936, 7104, 2880
1707802838130, 702792, -1968, 7040, 2768
1707802838142, 702803, -2032, 7056, 2848
1707802838152, 702814, -1952, 7056, 2800
1707802838162, 702825, -1968, 7024, 2784
1707802838174, 702836, -1952, 7008, 2848
1707802838184, 702847, -1856, 7008, 2784
1707802838196, 702858, -1904, 7024, 2800
1707802838206, 702869, -1920, 7088, 2912
1707802838218, 702880, -1952, 7040, 2864
1707802838230, 702891, -2016, 7120, 2896
1707802838240, 702902, -1984, 7120, 2800
1707802838250, 702913, -1968, 7120, 2832
1707802838262, 702924, -1936, 7088, 2832
1707802838274, 702935, -1872, 7104, 2832
1707802838284, 702946, -1904, 7056, 2784
1707802838294, 702957, -1952, 7024, 2864
1707802838306, 702968, -1936, 7072, 2848
1707802838318, 702979, -2000, 7024, 2784
1707802838328, 702990, -2000, 7040, 2800
1707802838338, 703001, -2000, 6976, 2768
1707802838350, 703012, -1984, 7056, 2720
1707802838362, 703023, -2000, 7024, 2752
1707802838372, 703034, -1984, 7040, 2832
1707802838382, 703045, -1936, 7056, 2848
1707802838394, 703056, -1952, 7072, 2784
1707802838404, 703067, -1984, 7056, 2784
1707802838416, 703078, -2016, 7104, 2800
1707802838426, 703089, -2000, 7072, 2848
1707802838438, 703100, -1904, 7056, 2816
1707802838448, 703111, -1936, 7056, 2784
1707802838460, 703122, -1920, 7072, 2848
1707802838472, 703133, -2000, 7056, 2752
1707802838482, 703144, -1968, 7008, 2800
1707802838492, 703155, -1968, 7008, 2816
1707802838504, 703166, -1888, 7056, 2736
1707802838514, 703177, -1984, 7040, 2896
1707802838526, 703188, -1968, 7056, 2816
1707802838536, 703199, -1984, 6976, 2896
1707802838548, 703210, -1984, 7088, 2880
1707802838560, 703221, -1936, 7056, 2832
1707802838570, 703232, -1904, 7072, 2800
1707802838580, 703243, -1968, 7024, 2864
1707802838592, 703254, -2048, 7008, 2832
1707802838602, 703265, -2144, 7072, 2880
1707802838614, 703276, -2000, 7056, 2832
1707802838624, 703287, -1856, 7072, 2752
1707802838636, 703298, -1920, 7072, 2800
1707802838648, 703309, -2000, 7104, 2864
1707802838658, 703320, -1984, 7024, 2816
1707802838668, 703331, -1968, 7040, 2864
1707802838680, 703342, -1952, 7040, 2848
1707802838690, 703353, -2080, 7024, 2832
1707802838702, 703364, -1968, 7040, 2816
1707802838712, 703375, -2000, 6992, 2880
1707802838724, 703386, -2000, 7040, 2784
1707802838734, 703397, -1936, 7040, 2784
1707802838746, 703408, -1920, 7024, 2704
1707802838756, 703419, -1904, 7072, 2848
1707802838768, 703430, -1936, 7088, 2816
1707802838778, 703441, -1904, 7040, 2880
1707802838790, 703452, -2016, 7088, 2832
1707802838800, 703463, -1888, 7072, 2896
1707802838812, 703474, -1984, 7024, 2832
1707802838822, 703485, -1904, 7056, 2784
1707802838834, 703496, -1984, 7072, 2752
1707802838846, 703507, -1952, 7056, 2832
1707802838856, 703518, -1968, 7088, 2832
1707802838866, 703529, -1984, 7024, 2880
1707802838878, 703540, -1968, 7072, 2848
1707802838888, 703551, -1936, 7040, 2720
1707802838900, 703562, -1952, 7104, 2848
1707802838910, 703573, -1984, 7040, 2880
1707802838922, 703584, -1872, 7040, 2832
1707802838934, 703595, -1872, 7040, 2800
1707802838944, 703606, -1904, 7056, 2832
1707802838954, 703617, -1936, 7056, 2864
1707802838966, 703628, -1936, 7056, 2880
1707802838976, 703639, -1952, 7056, 2960
1707802838988, 703650, -2064, 7024, 2880
1707802839000, 703661, -1936, 6976, 2832
1707802839011, 703672, -1936, 6976, 2816
1707802839021, 703683, -1904, 7056, 2800
1707802839031, 703694, -1952, 7136, 2848
1707802839043, 703705, -1968, 7104, 2928
1707802839055, 703716, -1952, 7040, 2864
1707802839065, 703727, -1952, 7056, 2832
1707802839075, 703738, -2000, 7024, 2864
1707802839087, 703749, -1984, 7024, 2864
1707802839097, 703760, -1952, 6992, 2752
1707802839109, 703771, -1936, 7024, 2784
1707802839119, 703782, -1936, 7056, 2816
1707802839131, 703793, -1952, 7040, 2992
1707802839141, 703804, -1984, 7072, 2832
1707802839153, 703815, -1936, 7040, 2864
1707802839163, 703826, -1920, 7008, 2784
