Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802553253, 417914, -3152, 4352, 5472
1707802553264, 417925, -3232, 4416, 5504
1707802553275, 417936, -3264, 4384, 5552
1707802553286, 417947, -3312, 4352, 5568
1707802553297, 417958, -3296, 4384, 5552
1707802553308, 417969, -3360, 4448, 5520
1707802553319, 417980, -3328, 4432, 5664
1707802553329, 417991, -3264, 4400, 5568
1707802553339, 418002, -3168, 4400, 5600
1707802553352, 418013, -3152, 4432, 5536
1707802553363, 418024, -3200, 4528, 5536
1707802553374, 418035, -3216, 4464, 5536
1707802553385, 418046, -3184, 4464, 5488
1707802553396, 418057, -3152, 4448, 5504
1707802553407, 418068, -3104, 4432, 5632
1707802553418, 418079, -3024, 4400, 5568
1707802553429, 418090, -3120, 4448, 5536
1707802553440, 418101, -3168, 4368, 5536
1707802553450, 418112, -3216, 4464, 5552
1707802553460, 418123, -3152, 4480, 5584
1707802553473, 418134, -3200, 4464, 5584
1707802553484, 418145, -3136, 4400, 5472
1707802553495, 418156, -3072, 4480, 5552
1707802553506, 418167, -3040, 4432, 5552
1707802553517, 418178, -3008, 4496, 5568
1707802553528, 418189, -3088, 4384, 5600
1707802553539, 418200, -3008, 4464, 5616
1707802553550, 418211, -3168, 4384, 5616
1707802553561, 418222, -3168, 4368, 5488
1707802553572, 418233, -3200, 4448, 5488
1707802553583, 418244, -3168, 4416, 5520
1707802553594, 418255, -3024, 4384, 5520
1707802553605, 418266, -3136, 4416, 5520
1707802553616, 418277, -3136, 4368, 5456
1707802553627, 418288, -3232, 4352, 5520
1707802553638, 418299, -3248, 4432, 5456
1707802553649, 418310, -3264, 4432, 5568
1707802553660, 418321, -3248, 4416, 5552
1707802553671, 418332, -3216, 4368, 5520
1707802553682, 418343, -3168, 4368, 5520
1707802553693, 418354, -3120, 4432, 5536
1707802553704, 418365, -3088, 4352, 5600
1707802553715, 418376, -3056, 4368, 5504
1707802553726, 418387, -3120, 4384, 5472
1707802553737, 418398, -3104, 4320, 5392
1707802553748, 418409, -3040, 4352, 5488
1707802553759, 418420, -3088, 4432, 5552
1707802553768, 418431, -3104, 4576, 5632
1707802553781, 418442, -3328, 4544, 5680
1707802553792, 418453, -3520, 4560, 5744
1707802553803, 418464, -3632, 4448, 5712
1707802553814, 418475, -3792, 4432, 5744
1707802553825, 418486, -3808, 4304, 5680
1707802553836, 418497, -3840, 4256, 5744
1707802553846, 418508, -3440, 4224, 5696
1707802553856, 418519, -3328, 4272, 5552
1707802553869, 418530, -3216, 4288, 5472
1707802553880, 418541, -3248, 4304, 5360
1707802553891, 418552, -3248, 4304, 5408
1707802553902, 418563, -3072, 4400, 5680
1707802553913, 418574, -2960, 4496, 6112
1707802553924, 418585, -2896, 4528, 6240
1707802553935, 418596, -2672, 4688, 6240
1707802553946, 418607, -2608, 4976, 6192
1707802553955, 418618, -2288, 5152, 6448
1707802553968, 418629, -1856, 5392, 6800
1707802553979, 418640, -1168, 5824, 7168
1707802553990, 418651, -512, 6368, 7376
1707802554000, 418662, 96, 6816, 7600
1707802554010, 418673, 240, 7600, 7840
1707802554022, 418684, 1744, 8224, 8384
1707802554032, 418695, 2912, 9296, 9328
1707802554045, 418706, 3872, 10144, 10192
1707802554056, 418717, 4736, 10896, 10384
1707802554067, 418728, 5824, 11744, 10336
1707802554078, 418739, 6720, 12592, 10144
