Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802742772, 607433, 2656, -7568, -1680
1707802742783, 607444, 2656, -7616, -1696
1707802742794, 607455, 2688, -7568, -1648
1707802742805, 607466, 2752, -7600, -1696
1707802742816, 607477, 2768, -7568, -1648
1707802742827, 607488, 2672, -7520, -1712
1707802742838, 607499, 2784, -7600, -1648
1707802742849, 607510, 2608, -7584, -1776
1707802742860, 607521, 2864, -7520, -1744
1707802742871, 607532, 2784, -7584, -1664
1707802742882, 607543, 2752, -7600, -1648
1707802742893, 607554, 2656, -7520, -1728
1707802742904, 607565, 2688, -7504, -1760
1707802742915, 607576, 2736, -7536, -1728
1707802742926, 607587, 2704, -7552, -1808
1707802742937, 607598, 2800, -7584, -1632
1707802742948, 607609, 2752, -7584, -1600
1707802742959, 607620, 2752, -7584, -1600
1707802742970, 607631, 2768, -7632, -1712
1707802742981, 607642, 2752, -7664, -1760
1707802742992, 607653, 2720, -7664, -1760
1707802743003, 607664, 2704, -7632, -1712
1707802743014, 607675, 2688, -7616, -1664
1707802743025, 607686, 2752, -7600, -1664
1707802743036, 607697, 2624, -7600, -1728
1707802743047, 607708, 2672, -7568, -1584
1707802743058, 607719, 2640, -7648, -1680
1707802743069, 607730, 2624, -7648, -1664
1707802743080, 607741, 2544, -7600, -1680
1707802743091, 607752, 2704, -7664, -1664
1707802743102, 607763, 2688, -7600, -1696
1707802743113, 607774, 2720, -7600, -1680
1707802743124, 607785, 2688, -7584, -1680
1707802743135, 607796, 2672, -7584, -1568
1707802743146, 607807, 2624, -7648, -1648
1707802743157, 607818, 2720, -7648, -1632
1707802743168, 607829, 2800, -7664, -1456
1707802743179, 607840, 2832, -7664, -1488
1707802743190, 607851, 2768, -7648, -1504
1707802743201, 607862, 2816, -7632, -1456
1707802743212, 607873, 2736, -7632, -1440
1707802743223, 607884, 2752, -7584, -1632
1707802743234, 607895, 2848, -7536, -1584
1707802743245, 607906, 2688, -7456, -1568
1707802743256, 607917, 2560, -7504, -1744
1707802743267, 607928, 2672, -7408, -1824
1707802743278, 607939, 2592, -7296, -1760
1707802743289, 607950, 2640, -7344, -1856
1707802743300, 607961, 2640, -7280, -1984
1707802743311, 607972, 2624, -7280, -2032
1707802743322, 607983, 2480, -7200, -2144
1707802743333, 607994, 2592, -7168, -2192
1707802743344, 608005, 2560, -7184, -2208
1707802743355, 608016, 2560, -7104, -2400
1707802743366, 608027, 2608, -7120, -2512
1707802743377, 608038, 2624, -7008, -2608
1707802743388, 608049, 2528, -6960, -2672
1707802743399, 608060, 2448, -6912, -2784
1707802743410, 608071, 2336, -6784, -3120
1707802743421, 608082, 2400, -6752, -3392
1707802743432, 608093, 2528, -6816, -3744
1707802743443, 608104, 2528, -6784, -3968
1707802743454, 608115, 2384, -6816, -4304
1707802743465, 608126, 2432, -6752, -4672
1707802743476, 608137, 2304, -6784, -5120
1707802743487, 608148, 2368, -6848, -5440
1707802743498, 608159, 2192, -6832, -5952
1707802743509, 608170, 2432, -6816, -6160
1707802743520, 608181, 2288, -6784, -6768
1707802743531, 608192, 2480, -6720, -7120
1707802743542, 608203, 2032, -6704, -7648
1707802743553, 608214, 1728, -6720, -8352
1707802743564, 608225, 1488, -6848, -9104
1707802743575, 608236, 1312, -6912, -9952
1707802743586, 608247, 1344, -6864, -10960
1707802743597, 608258, 1488, -6864, -11760
1707802743608, 608269, 1488, -6832, -12528
1707802743619, 608280, 1456, -6736, -13840
1707802743630, 608291, 1600, -6496, -14944
1707802743641, 608302, 1408, -6160, -16464
1707802743652, 608313, 1232, -5984, -17168
1707802743663, 608324, 272, -6192, -17552
1707802743674, 608335, 0, -6448, -17664
1707802743685, 608346, 272, -6720, -17888
1707802743696, 608357, 512, -7072, -18432
1707802743707, 608368, 704, -7552, -18880
1707802743718, 608379, 1088, -7872, -18672
1707802743729, 608390, 1088, -8192, -18000
1707802743740, 608401, 1088, -8432, -18336
1707802743751, 608412, 608, -8960, -19216
1707802743762, 608423, 192, -8560, -18160
1707802743773, 608434, -1216, -8480, -15664
1707802743784, 608445, -3072, -8336, -12512
1707802743795, 608456, -4976, -7712, -8928
1707802743806, 608467, -5664, -6080, -4720
1707802743817, 608478, -5856, -3536, 176
1707802743828, 608489, -6016, -624, -4416
1707802743839, 608500, -6752, 736, -9568
1707802743850, 608511, -6464, 4352, -15152
1707802743861, 608522, -4848, 9632, -12288
1707802743872, 608533, -4224, 18080, -2304
1707802743883, 608544, -7744, 29584, 6656
1707802743894, 608555, -19696, 32464, 9872
1707802743905, 608566, -14496, 32640, 10272
1707802743916, 608577, -7216, 26592, 29024
1707802743927, 608588, 3104, 21008, 25248
1707802743938, 608599, 8768, 19840, 18480
1707802743949, 608610, 10560, 20160, 13712
1707802743960, 608621, 16464, 10800, 7216
1707802743971, 608632, 14736, 3136, 1296
1707802743982, 608643, 14416, 480, -384
1707802743993, 608654, 12944, -2784, 528
1707802744004, 608665, 12464, -2528, 3232
1707802744015, 608676, 6944, -1824, 2672
1707802744026, 608687, 5984, -1584, 2400
1707802744037, 608698, 5792, -1648, 3584
1707802744048, 608709, 6464, -1968, 4464
1707802744057, 608720, 7168, -1536, 4960
1707802744070, 608731, 7680, -752, 5120
1707802744081, 608742, 7760, -32, 5552
1707802744091, 608753, 7232, 528, 5664
1707802744101, 608764, 6992, 576, 5744
1707802744113, 608775, 7024, 576, 6064
1707802744125, 608786, 7088, 432, 6224
1707802744136, 608797, 7600, 800, 6480
1707802744147, 608808, 7504, 880, 6400
1707802744158, 608819, 7792, 800, 5712
1707802744169, 608830, 7888, 624, 5248
1707802744179, 608841, 7424, 368, 5216
1707802744189, 608852, 7040, -64, 5024
1707802744201, 608863, 6944, 0, 5536
1707802744211, 608874, 6816, -80, 5296
1707802744223, 608885, 6992, 64, 5504
1707802744233, 608896, 6912, 64, 5488
1707802744245, 608907, 6944, 0, 5328
1707802744255, 608918, 7104, -176, 5360
1707802744268, 608929, 6912, -448, 5440
1707802744279, 608940, 6784, -448, 5408
1707802744290, 608951, 6464, -336, 5488
1707802744301, 608962, 6224, -144, 5472
1707802744312, 608973, 6096, -240, 5344
1707802744323, 608984, 6064, -304, 5392
1707802744334, 608995, 6128, -320, 5520
1707802744345, 609006, 5664, -272, 5472
1707802744356, 609017, 5584, -192, 5872
1707802744367, 609028, 5520, -112, 5584
1707802744378, 609039, 5552, -112, 5488
1707802744389, 609050, 5584, -192, 5424
1707802744400, 609061, 5664, -208, 5232
1707802744411, 609072, 5696, -224, 5184
1707802744422, 609083, 5696, -240, 5200
1707802744433, 609094, 5776, -272, 5152
1707802744444, 609105, 5776, -352, 5248
1707802744455, 609116, 5872, -336, 5264
1707802744466, 609127, 5632, -160, 5312
1707802744476, 609138, 5600, -240, 5328
1707802744486, 609149, 5632, -192, 5408
1707802744499, 609160, 5712, -272, 5456
1707802744510, 609171, 5680, -192, 5456
1707802744521, 609182, 5744, -80, 5456
1707802744531, 609193, 5616, 0, 5376
1707802744541, 609204, 5568, 48, 5536
