Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707803065238, 929898, -3456, -5328, 4816
1707803065249, 929909, -3408, -5376, 4896
1707803065260, 929920, -3520, -5440, 4816
1707803065271, 929931, -3440, -5488, 4816
1707803065282, 929942, -3456, -5520, 4800
1707803065293, 929953, -3488, -5440, 4816
1707803065304, 929964, -3456, -5408, 4816
1707803065315, 929975, -3424, -5424, 4832
1707803065326, 929986, -3456, -5472, 4880
1707803065337, 929997, -3424, -5440, 4720
1707803065348, 930008, -3440, -5392, 4800
1707803065359, 930019, -3360, -5392, 4800
1707803065370, 930030, -3328, -5408, 4896
1707803065381, 930041, -3360, -5376, 4784
1707803065392, 930052, -3376, -5264, 4768
1707803065403, 930063, -3440, -5392, 4784
1707803065414, 930074, -3408, -5360, 4816
1707803065425, 930085, -3472, -5376, 4736
1707803065436, 930096, -3488, -5376, 4752
1707803065447, 930107, -3360, -5408, 4752
1707803065458, 930118, -3424, -5424, 4848
1707803065469, 930129, -3360, -5376, 4832
1707803065479, 930140, -3392, -5328, 4848
1707803065489, 930151, -3472, -5344, 4784
1707803065502, 930162, -3488, -5376, 4816
1707803065513, 930173, -3536, -5440, 4912
1707803065524, 930184, -3504, -5408, 4896
1707803065535, 930195, -3584, -5408, 4800
1707803065545, 930206, -3504, -5440, 4848
1707803065555, 930217, -3456, -5472, 4928
1707803065568, 930228, -3520, -5408, 4880
1707803065579, 930239, -3440, -5328, 5152
1707803065590, 930250, -3456, -5424, 4896
1707803065601, 930261, -3504, -5424, 4960
1707803065612, 930272, -3504, -5440, 4960
1707803065623, 930283, -3520, -5440, 5024
1707803065634, 930294, -3536, -5440, 5216
1707803065645, 930305, -3552, -5392, 5168
1707803065656, 930316, -3488, -5392, 5264
1707803065667, 930327, -3408, -5312, 5280
1707803065678, 930338, -3424, -5296, 5472
1707803065689, 930349, -3344, -5440, 5504
1707803065700, 930360, -3360, -5616, 5728
1707803065711, 930371, -3472, -5856, 5984
1707803065721, 930382, -3520, -6128, 6080
1707803065731, 930393, -3680, -6544, 6304
1707803065744, 930404, -3536, -6944, 6352
1707803065755, 930415, -3296, -7472, 6384
1707803065766, 930426, -3152, -8048, 6624
1707803065777, 930437, -2912, -8624, 6864
1707803065788, 930448, -2480, -9680, 7328
1707803065799, 930459, -2192, -10640, 7280
1707803065810, 930470, -2080, -11824, 6704
1707803065821, 930481, -2160, -13360, 5712
1707803065832, 930492, -992, -14112, 4848
1707803065842, 930503, 48, -13920, 4432
1707803065852, 930514, 1648, -13120, 4608
1707803065865, 930525, 2768, -12640, 4208
1707803065876, 930536, 3888, -13536, 2256
1707803065887, 930547, 5152, -14352, -416
1707803065897, 930558, 6880, -14544, -2912
1707803065907, 930569, 7360, -13408, -3776
1707803065920, 930580, 10208, -12144, -2800
1707803065931, 930591, 10384, -11072, -1296
1707803065942, 930602, 10080, -10848, -1024
1707803065953, 930613, 7408, -10560, -1248
1707803065964, 930624, 5504, -9520, -1824
1707803065975, 930635, 4336, -8272, -2528
1707803065986, 930646, 3456, -6880, -3264
1707803065997, 930657, 3296, -4864, -3328
1707803066008, 930668, 2304, -2976, -2224
1707803066018, 930679, 1936, -1008, -848
1707803066028, 930690, 1872, 1968, 592
1707803066040, 930701, 1216, 4784, 1936
1707803066050, 930712, 944, 8656, 2464
1707803066062, 930723, 768, 11984, 2576
1707803066072, 930734, 896, 15808, 3808
1707803066084, 930745, 1216, 22000, 7488
1707803066094, 930756, -2656, 31776, 19632
1707803066107, 930767, -3040, 28512, 12512
1707803066118, 930778, -2800, 18800, 15248
1707803066129, 930789, 2368, 18064, 13680
1707803066140, 930800, 3152, 16704, 10544
1707803066150, 930811, 3440, 13936, 8832
1707803066160, 930822, 3296, 10960, 7680
1707803066172, 930833, 1728, 8240, 6832
1707803066182, 930844, -400, 7664, 7040
1707803066195, 930855, -2624, 8096, 7808
1707803066206, 930866, -3072, 8944, 8336
1707803066216, 930877, -3296, 9888, 8432
1707803066226, 930888, -3328, 10384, 8768
1707803066239, 930899, -3488, 10288, 8448
1707803066249, 930910, -4112, 8752, 6944
1707803066259, 930921, -2880, 7344, 6880
1707803066272, 930932, -1712, 6720, 6784
1707803066282, 930943, -560, 6064, 6048
1707803066292, 930954, -368, 4752, 4720
1707803066302, 930965, 544, 3296, 3680
1707803066314, 930976, 720, 1488, 2384
1707803066326, 930987, 720, -1616, 1264
1707803066336, 930998, 1168, -3392, 2080
1707803066348, 931009, 2368, -6288, 960
1707803066358, 931020, 3216, -8336, 1584
1707803066371, 931031, 3248, -10656, 2528
1707803066382, 931042, 3696, -12160, 3712
1707803066393, 931053, 3968, -12112, 2720
1707803066404, 931064, 4080, -11440, 1056
1707803066415, 931075, 4256, -11328, 528
1707803066424, 931086, 4112, -12224, 1184
1707803066437, 931097, 4080, -13200, 1760
1707803066448, 931108, 4064, -13632, 2096
1707803066459, 931119, 4336, -13600, 2608
1707803066470, 931130, 5552, -12352, 4320
1707803066481, 931141, 6768, -11088, 5360
1707803066492, 931152, 7392, -10432, 5936
1707803066503, 931163, 7376, -10432, 5424
1707803066514, 931174, 4848, -10432, 4752
