Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802580423, 445084, -2576, 4752, 5584
1707802580434, 445095, -2448, 4736, 5552
1707802580445, 445106, -2416, 4688, 5552
1707802580456, 445117, -2416, 4720, 5504
1707802580467, 445128, -2576, 4720, 5696
1707802580478, 445139, -2656, 4704, 5664
1707802580489, 445150, -2688, 4704, 5632
1707802580500, 445161, -2784, 4672, 5616
1707802580511, 445172, -2768, 4576, 5616
1707802580522, 445183, -2768, 4576, 5504
1707802580533, 445194, -2848, 4656, 5568
1707802580544, 445205, -2640, 4656, 5568
1707802580553, 445216, -2624, 4720, 5472
1707802580566, 445227, -2592, 4752, 5552
1707802580577, 445238, -2560, 4624, 5616
1707802580588, 445249, -2608, 4656, 5584
1707802580599, 445260, -2592, 4656, 5632
1707802580610, 445271, -2592, 4624, 5616
1707802580621, 445282, -2640, 4656, 5584
1707802580632, 445293, -2640, 4672, 5616
1707802580643, 445304, -2624, 4704, 5584
1707802580654, 445315, -2784, 4640, 5632
1707802580665, 445326, -2640, 4640, 5712
1707802580676, 445337, -2624, 4608, 5712
1707802580687, 445348, -2672, 4576, 5664
1707802580698, 445359, -2656, 4608, 5648
1707802580709, 445370, -2656, 4656, 5728
1707802580720, 445381, -2688, 4688, 5680
1707802580731, 445392, -2672, 4720, 5760
1707802580742, 445403, -2720, 4720, 5664
1707802580753, 445414, -2608, 4624, 5744
1707802580764, 445425, -2608, 4656, 5808
1707802580775, 445436, -2576, 4576, 5808
1707802580786, 445447, -2656, 4560, 5856
1707802580797, 445458, -2656, 4688, 5856
1707802580808, 445469, -2624, 4704, 5840
1707802580819, 445480, -2608, 4688, 5952
1707802580830, 445491, -2624, 4576, 6128
1707802580841, 445502, -2688, 4640, 6176
1707802580852, 445513, -2768, 4688, 6288
1707802580863, 445524, -2608, 4576, 6384
1707802580874, 445535, -2752, 4656, 6368
1707802580885, 445546, -2608, 4736, 6416
1707802580896, 445557, -2464, 4816, 6384
1707802580907, 445568, -2336, 4816, 6336
1707802580918, 445579, -2336, 4784, 6224
1707802580929, 445590, -2320, 4816, 6144
1707802580940, 445601, -2336, 4784, 6016
1707802580951, 445612, -2496, 4848, 5920
1707802580962, 445623, -2368, 4864, 5872
1707802580973, 445634, -2352, 4960, 5776
1707802580984, 445645, -2384, 5008, 5696
1707802580995, 445656, -2512, 4912, 5680
