Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802990468, 855131, 3056, -2064, 7104
1707802990480, 855142, 3168, -2160, 7184
1707802990490, 855153, 3072, -2096, 7200
1707802990502, 855164, 3024, -2080, 7072
1707802990512, 855175, 2960, -2128, 7072
1707802990524, 855186, 2960, -2064, 7136
1707802990534, 855197, 2944, -2032, 7152
1707802990546, 855208, 3008, -1984, 7200
1707802990556, 855219, 3088, -2000, 7168
1707802990568, 855230, 3104, -2160, 7008
1707802990578, 855241, 3168, -2048, 7200
1707802990590, 855252, 3136, -2000, 7216
1707802990600, 855263, 3024, -2128, 7152
1707802990612, 855274, 3056, -2112, 7136
1707802990622, 855285, 3104, -2160, 7088
1707802990634, 855296, 3072, -2176, 7136
1707802990644, 855307, 3072, -2080, 7120
1707802990656, 855318, 3056, -2080, 7136
1707802990666, 855329, 3024, -2096, 7104
1707802990678, 855340, 3008, -2064, 7088
1707802990688, 855351, 2992, -2064, 7184
1707802990700, 855362, 2944, -2080, 7088
1707802990710, 855373, 2928, -2128, 7184
1707802990722, 855384, 2928, -2112, 7136
1707802990732, 855395, 2864, -2144, 7088
1707802990744, 855406, 2848, -2064, 7200
1707802990754, 855417, 2832, -2032, 7120
1707802990766, 855428, 2976, -2048, 7136
1707802990776, 855439, 3056, -2096, 7136
1707802990788, 855450, 3072, -2160, 7152
1707802990798, 855461, 3040, -2080, 7232
1707802990810, 855472, 2928, -2080, 7312
1707802990820, 855483, 2944, -2096, 7312
1707802990832, 855494, 3024, -2064, 7200
1707802990842, 855505, 3056, -2144, 7392
1707802990854, 855516, 3280, -2080, 7408
1707802990864, 855527, 3408, -2080, 7408
1707802990876, 855538, 3424, -2048, 7552
1707802990886, 855549, 3424, -2000, 7648
1707802990898, 855560, 3328, -2016, 7632
1707802990908, 855571, 3376, -2016, 7824
1707802990920, 855582, 3392, -2016, 7888
1707802990930, 855593, 3344, -2048, 7920
1707802990942, 855604, 3680, -1936, 7936
1707802990952, 855615, 3728, -1872, 7984
1707802990964, 855626, 3728, -1808, 7920
1707802990974, 855637, 3968, -1856, 7904
1707802990986, 855648, 4000, -1760, 7936
1707802990996, 855659, 4048, -1840, 7872
1707802991008, 855670, 4080, -1808, 7936
1707802991018, 855681, 4080, -1712, 7856
1707802991030, 855692, 4080, -1776, 7664
1707802991040, 855703, 4112, -1872, 7520
1707802991052, 855714, 4144, -2048, 7376
1707802991062, 855725, 4224, -2160, 7184
1707802991074, 855736, 4176, -2256, 6992
1707802991084, 855747, 4112, -2288, 6832
1707802991096, 855758, 4080, -2304, 6736
1707802991106, 855769, 3744, -2256, 6608
1707802991119, 855780, 3648, -2224, 6560
1707802991129, 855791, 3552, -2192, 6320
1707802991139, 855802, 3632, -2336, 6176
1707802991151, 855813, 3584, -2336, 6000
1707802991161, 855824, 3536, -2432, 5696
1707802991173, 855835, 3456, -2368, 5712
1707802991183, 855846, 3392, -2192, 5536
1707802991195, 855857, 3264, -2176, 5264
1707802991205, 855868, 3296, -2192, 4944
1707802991217, 855879, 3312, -2256, 4768
1707802991227, 855890, 3264, -2512, 4576
1707802991239, 855901, 3216, -2512, 4464
1707802991249, 855912, 3072, -2528, 4320
1707802991261, 855923, 3024, -2384, 4288
1707802991271, 855934, 2816, -2336, 4096
1707802991283, 855945, 2720, -2368, 3744
1707802991293, 855956, 2672, -2464, 3888
1707802991305, 855967, 2480, -2560, 3888
1707802991315, 855978, 2128, -2512, 4032
1707802991327, 855989, 1696, -2192, 4160
