Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802779446, 644107, 4448, -4896, 4512
1707802779457, 644118, 4464, -4992, 4368
1707802779468, 644129, 4512, -4928, 4400
1707802779479, 644140, 4432, -5024, 4400
1707802779490, 644151, 4432, -4960, 4432
1707802779501, 644162, 4400, -4832, 4288
1707802779512, 644173, 4352, -4880, 4432
1707802779523, 644184, 4352, -4832, 4432
1707802779534, 644195, 4464, -4928, 4352
1707802779545, 644206, 4496, -4880, 4384
1707802779556, 644217, 4432, -4832, 4368
1707802779567, 644228, 4432, -4880, 4416
1707802779578, 644239, 4432, -4880, 4400
1707802779589, 644250, 4320, -4800, 4352
1707802779600, 644261, 4224, -4816, 4400
1707802779611, 644272, 4384, -4864, 4432
1707802779620, 644283, 4496, -4848, 4608
1707802779633, 644294, 4560, -4848, 4496
1707802779644, 644305, 4560, -4832, 4480
1707802779655, 644316, 4640, -4832, 4576
1707802779666, 644327, 4608, -4816, 4496
1707802779677, 644338, 4640, -4784, 4496
1707802779688, 644349, 4784, -4864, 4576
1707802779699, 644360, 4816, -4960, 4464
1707802779710, 644371, 4736, -4880, 4368
1707802779721, 644382, 4768, -4880, 4464
1707802779732, 644393, 4736, -4960, 4448
1707802779743, 644404, 4720, -4944, 4416
1707802779754, 644415, 4688, -4944, 4464
1707802779765, 644426, 4736, -4992, 4544
1707802779776, 644437, 4720, -5072, 4512
1707802779787, 644448, 4720, -5088, 4544
1707802779798, 644459, 4576, -5136, 4496
1707802779809, 644470, 4560, -5168, 4560
1707802779820, 644481, 4592, -5216, 4608
1707802779831, 644492, 4528, -5216, 4736
1707802779842, 644503, 4544, -5424, 4688
1707802779853, 644514, 4592, -5472, 4768
1707802779864, 644525, 4528, -5552, 4944
1707802779875, 644536, 4400, -5600, 5024
1707802779886, 644547, 4288, -5680, 5200
1707802779897, 644558, 4384, -5712, 5152
1707802779908, 644569, 4272, -5696, 5200
1707802779919, 644580, 4240, -5744, 5360
