Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802892910, 757572, 4608, -3536, 5456
1707802892923, 757583, 4528, -3536, 5504
1707802892934, 757594, 4528, -3536, 5440
1707802892945, 757605, 4512, -3488, 5504
1707802892956, 757616, 4512, -3472, 5536
1707802892966, 757627, 4480, -3504, 5568
1707802892976, 757638, 4448, -3520, 5552
1707802892989, 757649, 4656, -3472, 5600
1707802892999, 757660, 4592, -3488, 5584
1707802893009, 757671, 4640, -3488, 5648
1707802893022, 757682, 4544, -3424, 5568
1707802893033, 757693, 4624, -3472, 5632
1707802893044, 757704, 4592, -3472, 5664
1707802893054, 757715, 4560, -3440, 5600
1707802893064, 757726, 4592, -3536, 5616
1707802893077, 757737, 4640, -3488, 5568
1707802893088, 757748, 4624, -3504, 5456
1707802893099, 757759, 4592, -3488, 5584
1707802893110, 757770, 4496, -3520, 5520
1707802893121, 757781, 4528, -3504, 5616
1707802893131, 757792, 4560, -3456, 5568
1707802893141, 757803, 4608, -3536, 5584
1707802893153, 757814, 4672, -3472, 5504
1707802893163, 757825, 4640, -3408, 5584
1707802893176, 757836, 4608, -3552, 5648
1707802893186, 757847, 4640, -3504, 5552
1707802893196, 757858, 4624, -3520, 5536
1707802893209, 757869, 4592, -3536, 5488
1707802893219, 757880, 4576, -3520, 5696
1707802893229, 757891, 4640, -3520, 5728
1707802893241, 757902, 4752, -3536, 5696
1707802893251, 757913, 4816, -3600, 5696
1707802893263, 757924, 4928, -3648, 5728
1707802893273, 757935, 4976, -3632, 5776
1707802893286, 757946, 5072, -3600, 5840
1707802893296, 757957, 5104, -3440, 6016
1707802893306, 757968, 5168, -3424, 6016
1707802893319, 757979, 5280, -3344, 6000
1707802893330, 757990, 5408, -3456, 5888
1707802893340, 758001, 5504, -3520, 5808
1707802893350, 758012, 5696, -3504, 5696
1707802893362, 758023, 5792, -3424, 5632
1707802893372, 758034, 6176, -3376, 5520
1707802893384, 758045, 6416, -3264, 5264
1707802893394, 758056, 6592, -3184, 5040
1707802893406, 758067, 6832, -3040, 4976
1707802893416, 758078, 6816, -2800, 4848
1707802893429, 758089, 6704, -2640, 4688
1707802893439, 758100, 6720, -2672, 4448
1707802893449, 758111, 6816, -2656, 4192
1707802893462, 758122, 6976, -2672, 3888
1707802893472, 758133, 7056, -2560, 3616
1707802893482, 758144, 7072, -2384, 3536
1707802893495, 758155, 6960, -2160, 3504
1707802893506, 758166, 6848, -1984, 3232
1707802893516, 758177, 6656, -1824, 3152
1707802893526, 758188, 6608, -1744, 2880
1707802893539, 758199, 6384, -1616, 2720
1707802893549, 758210, 6256, -1504, 2480
1707802893559, 758221, 6064, -1472, 2256
1707802893571, 758232, 6112, -1360, 2048
1707802893581, 758243, 5792, -1264, 1968
1707802893593, 758254, 5568, -1248, 1968
1707802893603, 758265, 5600, -1040, 1760
1707802893616, 758276, 4912, -896, 1632
1707802893626, 758287, 4448, -848, 1360
1707802893636, 758298, 4160, -800, 1312
1707802893649, 758309, 3824, -736, 1424
1707802893659, 758320, 3360, -624, 1616
1707802893669, 758331, 2960, -336, 1680
1707802893682, 758342, 2672, -112, 1888
1707802893692, 758353, 2608, 112, 1920
1707802893702, 758364, 2048, 432, 1936
1707802893714, 758375, 1712, 544, 2176
1707802893724, 758386, 1456, 720, 2032
1707802893737, 758397, 1136, 1024, 2224
1707802893747, 758408, 704, 1392, 2544
1707802893758, 758419, 368, 1728, 2512
1707802893768, 758430, 96, 1984, 2736
1707802893780, 758441, 80, 2272, 3008
1707802893790, 758452, -304, 2544, 3312
1707802893803, 758463, -480, 2928, 4160
1707802893814, 758474, -576, 3456, 4592
1707802893824, 758485, -352, 3920, 4928
1707802893834, 758496, -160, 4304, 4912
1707802893847, 758507, -272, 4576, 5248
1707802893857, 758518, -320, 4960, 5824
1707802893867, 758529, -256, 5408, 6816
1707802893880, 758540, -944, 5696, 7504
1707802893891, 758551, -1312, 5968, 8032
1707802893901, 758562, -1456, 6352, 8256
1707802893911, 758573, -992, 6528, 8336
1707802893923, 758584, -320, 6928, 8912
1707802893933, 758595, 160, 6944, 9584
1707802893944, 758606, 256, 7072, 9920
1707802893956, 758617, 160, 7248, 10000
1707802893966, 758628, 32, 7472, 10000
1707802893978, 758639, -304, 7696, 9984
1707802893988, 758650, -240, 7952, 10528
1707802894001, 758661, 608, 8016, 11312
1707802894011, 758672, 1232, 8016, 11872
1707802894021, 758683, 1504, 8112, 11904
1707802894033, 758694, 1648, 8272, 11744
1707802894043, 758705, 1600, 8656, 11280
1707802894056, 758716, 1568, 8928, 11280
1707802894066, 758727, 1616, 9040, 11648
1707802894076, 758738, 1472, 9152, 12240
1707802894089, 758749, 1504, 9264, 12720
1707802894099, 758760, 1264, 9312, 12752
1707802894109, 758771, 1120, 9504, 12608
1707802894122, 758782, 1104, 9376, 12240
1707802894133, 758793, 960, 9088, 11856
1707802894144, 758804, 928, 8848, 11776
1707802894155, 758815, 928, 8640, 11840
1707802894166, 758826, 800, 8272, 11824
1707802894176, 758837, 592, 8192, 11600
1707802894186, 758848, 448, 8112, 10864
1707802894199, 758859, 320, 7728, 10624
1707802894209, 758870, 64, 7472, 10192
1707802894219, 758881, 192, 7472, 9936
1707802894231, 758892, 240, 7360, 9664
1707802894241, 758903, 288, 7408, 9360
1707802894253, 758914, 352, 7232, 9200
