Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802925955, 790616, 3744, -2960, 6304
1707802925966, 790627, 3680, -2976, 6432
1707802925975, 790638, 3776, -2912, 6320
1707802925988, 790649, 3904, -3040, 6384
1707802925999, 790660, 3984, -2896, 6384
1707802926010, 790671, 3968, -2928, 6432
1707802926021, 790682, 3968, -2896, 6416
1707802926032, 790693, 3840, -2912, 6416
1707802926041, 790704, 3888, -2848, 6496
1707802926054, 790715, 3936, -2864, 6384
1707802926066, 790726, 3840, -2944, 6384
1707802926076, 790737, 3888, -2912, 6368
1707802926087, 790748, 3792, -3008, 6432
1707802926099, 790759, 3904, -2960, 6432
1707802926109, 790770, 3808, -2960, 6400
1707802926120, 790781, 3808, -2992, 6320
1707802926132, 790792, 3808, -2944, 6368
1707802926142, 790803, 3840, -3008, 6400
1707802926153, 790814, 3824, -3008, 6416
1707802926165, 790825, 3808, -3024, 6144
1707802926175, 790836, 3776, -2992, 6352
1707802926186, 790847, 3760, -2960, 6448
1707802926198, 790858, 3760, -2960, 6368
1707802926208, 790869, 3760, -2944, 6384
1707802926219, 790880, 3856, -2976, 6320
1707802926231, 790891, 3760, -2912, 6416
1707802926241, 790902, 3808, -2976, 6384
1707802926252, 790913, 3648, -3024, 6400
1707802926264, 790924, 3680, -2944, 6352
1707802926274, 790935, 3664, -2976, 6336
1707802926285, 790946, 3680, -2960, 6384
1707802926297, 790957, 3712, -2944, 6336
1707802926307, 790968, 3856, -2976, 6304
1707802926318, 790979, 3776, -3008, 6352
1707802926330, 790990, 3856, -2976, 6384
1707802926340, 791001, 3792, -2960, 6272
1707802926351, 791012, 3712, -2960, 6272
1707802926363, 791023, 3728, -2928, 6288
1707802926373, 791034, 3808, -2928, 6464
1707802926384, 791045, 3936, -2912, 6400
1707802926396, 791056, 3872, -2976, 6352
1707802926406, 791067, 3840, -2928, 6352
1707802926416, 791078, 3936, -2960, 6384
1707802926426, 791089, 3904, -2912, 6384
1707802926437, 791100, 3904, -2912, 6432
1707802926450, 791111, 3904, -2960, 6480
1707802926459, 791122, 3888, -2912, 6384
1707802926472, 791133, 3856, -2976, 6448
1707802926483, 791144, 3824, -2976, 6448
1707802926495, 791155, 3840, -2928, 6496
1707802926505, 791166, 3792, -2976, 6432
1707802926516, 791177, 3792, -2992, 6384
1707802926528, 791188, 3760, -3056, 6384
1707802926538, 791199, 3824, -3024, 6448
1707802926549, 791210, 3840, -3056, 6528
1707802926561, 791221, 3840, -3072, 6496
1707802926571, 791232, 3760, -3200, 6512
1707802926582, 791243, 3744, -3248, 6480
1707802926591, 791254, 3728, -3376, 6496
1707802926604, 791265, 3504, -3440, 6512
1707802926616, 791276, 3456, -3408, 6816
1707802926626, 791287, 3168, -3264, 7072
1707802926637, 791298, 3040, -3216, 7104
1707802926649, 791309, 2928, -3296, 6976
1707802926659, 791320, 2912, -3440, 6944
1707802926670, 791331, 2976, -3584, 7104
1707802926682, 791342, 2832, -3664, 7040
1707802926692, 791353, 2688, -3648, 7040
1707802926703, 791364, 2432, -3712, 7136
1707802926715, 791375, 2256, -3808, 7216
1707802926725, 791386, 2064, -3952, 7184
1707802926736, 791397, 1872, -4080, 6976
1707802926747, 791408, 1808, -4272, 7088
1707802926758, 791419, 1696, -4416, 7216
1707802926769, 791430, 1744, -4528, 7408
1707802926781, 791441, 1584, -4368, 7472
1707802926791, 791452, 1504, -4256, 7472
1707802926802, 791463, 1456, -4240, 7456
1707802926814, 791474, 1552, -4224, 7488
1707802926824, 791485, 1456, -4320, 7520
1707802926835, 791496, 1408, -4224, 7648
1707802926847, 791507, 1360, -4128, 7632
1707802926857, 791518, 1168, -4032, 7472
1707802926868, 791529, 1344, -3904, 7376
1707802926880, 791540, 1472, -3824, 7072
1707802926890, 791551, 1456, -3744, 7056
1707802926901, 791562, 1808, -3584, 7008
1707802926912, 791573, 1952, -3296, 6944
1707802926923, 791584, 2112, -3072, 6960
1707802926934, 791595, 2256, -2864, 6912
1707802926943, 791606, 2480, -2720, 6720
1707802926956, 791617, 2720, -2416, 6640
