Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707803009323, 873985, -1744, 3680, 6752
1707803009333, 873996, -1760, 3648, 6768
1707803009345, 874007, -1632, 3696, 6688
1707803009355, 874018, -1696, 3712, 6688
1707803009367, 874029, -1680, 3760, 6816
1707803009377, 874040, -1760, 3680, 6688
1707803009389, 874051, -1728, 3712, 6704
1707803009399, 874062, -1648, 3728, 6736
1707803009411, 874073, -1648, 3712, 6784
1707803009421, 874084, -1600, 3680, 6880
1707803009433, 874095, -1536, 3712, 6800
1707803009443, 874106, -1584, 3680, 6768
1707803009455, 874117, -1648, 3712, 6928
1707803009465, 874128, -1616, 3776, 6672
1707803009477, 874139, -1632, 3696, 6752
1707803009487, 874150, -1648, 3744, 6752
1707803009499, 874161, -1632, 3712, 6800
1707803009509, 874172, -1616, 3664, 6832
1707803009521, 874183, -1696, 3712, 6800
1707803009531, 874194, -1680, 3728, 6768
1707803009543, 874205, -1712, 3680, 6656
1707803009554, 874216, -1664, 3680, 6784
1707803009564, 874227, -1680, 3712, 6736
1707803009576, 874238, -1728, 3728, 6880
1707803009586, 874249, -1584, 3712, 6736
1707803009598, 874260, -1664, 3776, 6736
1707803009608, 874271, -1600, 3712, 6736
1707803009620, 874282, -1664, 3712, 6704
1707803009630, 874293, -1600, 3744, 6640
1707803009642, 874304, -1648, 3680, 6688
1707803009652, 874315, -1552, 3664, 6528
1707803009664, 874326, -1360, 3680, 6512
1707803009674, 874337, -1184, 3616, 6448
1707803009686, 874348, -1056, 3600, 6576
1707803009696, 874359, -992, 3664, 6720
1707803009708, 874370, -1152, 3760, 6944
1707803009718, 874381, -1584, 3696, 7120
1707803009730, 874392, -1664, 3600, 7488
1707803009740, 874403, -2992, 3568, 7696
1707803009752, 874414, -3872, 3424, 8208
1707803009762, 874425, -4736, 3520, 8192
1707803009774, 874436, -5728, 3536, 8208
1707803009784, 874447, -7264, 3568, 8048
1707803009796, 874458, -8336, 3184, 7056
1707803009806, 874469, -9248, 2832, 6464
1707803009818, 874480, -9392, 2480, 6288
1707803009828, 874491, -9568, 2448, 6448
1707803009840, 874502, -9008, 2832, 6608
1707803009850, 874513, -8800, 3424, 6384
1707803009862, 874524, -6960, 3920, 6016
1707803009872, 874535, -5408, 4336, 5344
1707803009884, 874546, -4128, 4720, 4848
1707803009894, 874557, -2736, 5120, 4528
1707803009906, 874568, -2496, 5648, 3520
1707803009916, 874579, 768, 5904, 2512
1707803009928, 874590, 2784, 5840, 1200
1707803009938, 874601, 3200, 5616, 1312
1707803009950, 874612, 7728, 5728, 1840
1707803009960, 874623, 10368, 5856, 2720
1707803009972, 874634, 12704, 6320, 3760
1707803009982, 874645, 14720, 6400, 4704
1707803009994, 874656, 15936, 6576, 4768
1707803010004, 874667, 14608, 6368, 4272
1707803010016, 874678, 11888, 6288, 3920
1707803010026, 874689, 11152, 6832, 3984
1707803010038, 874700, 5472, 7536, 4304
1707803010048, 874711, 2896, 8256, 4288
1707803010060, 874722, 2240, 8640, 4144
1707803010070, 874733, -3632, 8656, 2656
1707803010082, 874744, -7632, 7920, 720
1707803010092, 874755, -11104, 6384, 240
1707803010104, 874766, -15488, 3328, -80
1707803010116, 874777, -16400, -880, 2752
1707803010128, 874788, -17840, -2640, 6976
1707803010138, 874799, -14592, -2576, 9056
1707803010148, 874810, -13744, -640, 7984
1707803010158, 874821, -7456, 1200, 5824
1707803010170, 874832, -4720, 3072, 4624
1707803010182, 874843, -3168, 3808, 4624
1707803010192, 874854, -2288, 3680, 4416
1707803010202, 874865, -1504, 3104, 4656
1707803010214, 874876, -464, 3024, 5312
1707803010224, 874887, 736, 3360, 5968
1707803010237, 874898, 992, 3952, 5968
1707803010247, 874909, 5040, 4576, 5792
1707803010257, 874920, 8000, 5488, 6272
1707803010269, 874931, 9664, 5872, 6672
1707803010279, 874942, 11488, 6096, 7376
1707803010291, 874953, 11984, 6144, 7136
1707803010301, 874964, 9728, 5472, 6448
1707803010313, 874975, 6608, 4928, 5760
1707803010323, 874986, 5952, 4784, 5248
1707803010336, 874997, 160, 4720, 4848
1707803010346, 875008, -2832, 4368, 3536
1707803010356, 875019, -3584, 3392, 2192
1707803010368, 875030, -9216, 2048, 2560
1707803010379, 875041, -11888, 64, 4288
1707803010391, 875052, -12000, -192, 7104
1707803010401, 875063, -10080, 176, 8144
1707803010411, 875074, -9600, 1200, 7296
1707803010423, 875085, -5456, 2240, 6400
1707803010433, 875096, -3952, 2992, 5728
1707803010445, 875107, -3680, 3488, 5568
1707803010455, 875118, -1776, 3568, 5840
1707803010467, 875129, -848, 3472, 6080
1707803010477, 875140, -32, 3728, 6256
1707803010489, 875151, 1232, 4112, 6576
1707803010499, 875162, 3200, 4752, 6896
1707803010511, 875173, 4912, 5232, 7040
1707803010521, 875184, 6752, 5728, 7168
1707803010533, 875195, 7024, 6064, 7360
1707803010543, 875206, 8992, 5792, 7024
1707803010555, 875217, 8544, 5296, 7120
1707803010566, 875228, 7264, 5184, 7200
1707803010576, 875239, 5424, 5120, 7072
1707803010588, 875250, 3040, 5136, 6768
1707803010598, 875261, 1088, 5056, 6368
1707803010610, 875272, -720, 4640, 5728
1707803010620, 875283, -1072, 3920, 5040
1707803010632, 875294, -3792, 3120, 4816
1707803010642, 875305, -5152, 1440, 3792
1707803010654, 875316, -5520, 512, 4192
1707803010664, 875327, -7424, 32, 5248
1707803010676, 875338, -7504, -32, 6144
1707803010686, 875349, -7072, 128, 6112
1707803010698, 875360, -6416, 784, 6832
1707803010708, 875371, -6256, 2048, 7296
1707803010720, 875382, -4384, 2880, 7200
1707803010730, 875393, -3760, 3280, 6960
1707803010742, 875404, -3408, 3376, 6944
1707803010752, 875415, -2032, 3264, 6736
1707803010764, 875426, -896, 3328, 6608
1707803010774, 875437, 256, 3600, 6384
1707803010786, 875448, 1344, 3872, 6048
1707803010809, 875459, 2992, 4304, 6032
1707803010810, 875470, 4304, 4784, 6240
1707803010828, 875481, 5392, 5104, 6512
1707803010829, 875492, 5472, 5296, 6896
1707803010843, 875503, 6288, 5344, 7152
1707803010853, 875514, 5888, 5376, 7232
1707803010862, 875525, 4464, 5280, 7072
1707803010874, 875536, 3184, 5072, 6688
1707803010884, 875547, 1456, 4800, 6160
1707803010897, 875558, 256, 4496, 5712
1707803010907, 875569, -688, 4192, 5568
1707803010917, 875580, -928, 3856, 5680
1707803010929, 875591, -2256, 3568, 5808
1707803010939, 875602, -2944, 2880, 5488
1707803010951, 875613, -3136, 2656, 5904
1707803010961, 875624, -3376, 2624, 6464
1707803010973, 875635, -3472, 2624, 6736
1707803010983, 875646, -3888, 2512, 6976
1707803010995, 875657, -4080, 2448, 6944
1707803011005, 875668, -4128, 2368, 7040
1707803011017, 875679, -3696, 2416, 7040
1707803011027, 875690, -3328, 2368, 7024
1707803011039, 875701, -3104, 2448, 6976
1707803011049, 875712, -2464, 2496, 6992
1707803011061, 875723, -2384, 2672, 7200
1707803011071, 875734, -2048, 2832, 7200
1707803011083, 875745, -1920, 3040, 7280
1707803011093, 875756, -1808, 3040, 7248
1707803011105, 875767, -1840, 2992, 7200
1707803011115, 875778, -1664, 3024, 7296
1707803011127, 875789, -1536, 3184, 7312
1707803011137, 875800, -1456, 3296, 7392
1707803011149, 875811, -1472, 3392, 7344
1707803011159, 875822, -1488, 3488, 7264
1707803011171, 875833, -1600, 3472, 7248
1707803011181, 875844, -1792, 3296, 7248
1707803011193, 875855, -2016, 3200, 7184
1707803011203, 875866, -2144, 3152, 7088
1707803011215, 875877, -2320, 3088, 6912
1707803011225, 875888, -2224, 3120, 6864
1707803011237, 875899, -2208, 3104, 6672
1707803011247, 875910, -2240, 3072, 6832
1707803011259, 875921, -2160, 2928, 6800
1707803011269, 875932, -2064, 2944, 6880
1707803011281, 875943, -2208, 2992, 6800
1707803011291, 875954, -2224, 2992, 6832
1707803011303, 875965, -2288, 3040, 6784
1707803011313, 875976, -2272, 3072, 6704
1707803011325, 875987, -2192, 3152, 6816
1707803011335, 875998, -2224, 3184, 6816
1707803011347, 876009, -2160, 3136, 6832
1707803011357, 876020, -2144, 3264, 6544
1707803011369, 876031, -2160, 3296, 6768
1707803011379, 876042, -2192, 3280, 6864
1707803011391, 876053, -2288, 3376, 6880
1707803011401, 876064, -2384, 3408, 6848
1707803011413, 876075, -2496, 3440, 6832
1707803011423, 876086, -2496, 3440, 6896
1707803011435, 876097, -2656, 3440, 6960
1707803011445, 876108, -2672, 3552, 6832
