Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707802635950, 500612, -1328, 4704, 6160
1707802635960, 500623, -1264, 4640, 6080
1707802635972, 500634, -1280, 4592, 6064
1707802635982, 500645, -1312, 4560, 6128
1707802635994, 500656, -1024, 4544, 6080
1707802636004, 500667, -944, 4624, 6160
1707802636017, 500678, -944, 4720, 6112
1707802636028, 500689, -976, 4752, 6128
1707802636039, 500700, -992, 4832, 6192
1707802636050, 500711, -880, 4912, 6128
1707802636061, 500722, -800, 4880, 6192
1707802636072, 500733, -784, 4704, 6080
1707802636083, 500744, -848, 4624, 6080
1707802636094, 500755, -976, 4592, 6208
1707802636104, 500766, -1072, 4560, 6208
1707802636114, 500777, -1232, 4640, 6240
1707802636126, 500788, -1120, 4624, 6192
1707802636136, 500799, -1216, 4576, 6368
1707802636148, 500810, -1248, 4656, 6272
1707802636159, 500821, -1264, 4624, 6272
1707802636170, 500832, -1216, 4656, 6384
1707802636180, 500843, -1280, 4688, 6624
1707802636192, 500854, -1248, 4736, 6480
1707802636202, 500865, -1264, 4656, 6320
1707802636214, 500876, -1280, 4544, 6224
1707802636224, 500887, -1296, 4528, 6368
1707802636236, 500898, -1168, 4608, 6304
1707802636246, 500909, -1264, 4720, 6352
1707802636258, 500920, -1392, 4672, 6432
1707802636268, 500931, -1440, 4704, 6432
1707802636280, 500942, -1424, 4672, 6496
1707802636290, 500953, -1440, 4640, 6576
1707802636302, 500964, -1360, 4544, 6560
1707802636312, 500975, -1392, 4560, 6640
1707802636324, 500986, -1392, 4560, 6416
1707802636334, 500997, -1312, 4624, 6544
1707802636346, 501008, -1344, 4608, 6544
1707802636356, 501019, -1392, 4608, 6560
1707802636368, 501030, -1376, 4592, 6544
1707802636378, 501041, -1376, 4576, 6608
1707802636390, 501052, -1472, 4560, 6720
1707802636402, 501063, -1456, 4480, 6784
1707802636412, 501074, -1616, 4528, 6816
1707802636422, 501085, -1568, 4528, 7072
1707802636434, 501096, -1584, 4464, 6976
1707802636444, 501107, -1440, 4464, 7168
1707802636456, 501118, -1328, 4384, 7168
1707802636466, 501129, -1472, 4352, 7200
1707802636478, 501140, -1504, 4272, 7152
1707802636489, 501151, -1504, 4384, 7344
1707802636499, 501162, -1344, 4496, 7280
1707802636511, 501173, -1232, 4544, 7168
1707802636521, 501184, -1184, 4448, 7232
1707802636533, 501195, -1008, 4432, 7264
1707802636543, 501206, -832, 4400, 7024
1707802636556, 501217, -800, 4272, 7056
1707802636567, 501228, -880, 4224, 7024
1707802636578, 501239, -992, 4224, 6960
1707802636589, 501250, -880, 4160, 6752
1707802636600, 501261, -880, 4080, 6560
1707802636611, 501272, -784, 4016, 6480
1707802636622, 501283, -640, 3936, 6352
1707802636633, 501294, -656, 4000, 6032
1707802636644, 501305, -720, 3920, 5872
1707802636655, 501316, -816, 3824, 5600
1707802636666, 501327, -832, 3632, 5040
1707802636676, 501338, -1024, 3392, 4672
1707802636686, 501349, -1024, 3248, 4064
1707802636699, 501360, -880, 3200, 3648
1707802636709, 501371, -1456, 3120, 3104
1707802636719, 501382, -1952, 3024, 2368
1707802636731, 501393, -2240, 2784, 1840
1707802636741, 501404, -2448, 2752, 1456
1707802636754, 501415, -2608, 2720, 432
1707802636764, 501426, -2688, 2896, -304
1707802636774, 501437, -2688, 3088, -1104
1707802636786, 501448, -2752, 3456, -1984
1707802636796, 501459, -2784, 3600, -2816
1707802636808, 501470, -3408, 3696, -3216
1707802636818, 501481, -4000, 3984, -3264
1707802636830, 501492, -4544, 4208, -3568
1707802636840, 501503, -4432, 5184, -3568
1707802636852, 501514, -4304, 6128, -2736
1707802636862, 501525, -4752, 7616, -1936
1707802636874, 501536, -5072, 8240, -352
1707802636884, 501547, -5456, 9520, 1488
1707802636896, 501558, -6064, 10896, 3072
1707802636906, 501569, -6224, 11600, 4400
1707802636918, 501580, -6592, 12112, 5456
1707802636928, 501591, -6288, 13136, 6960
1707802636940, 501602, -6512, 14544, 8224
1707802636950, 501613, -6880, 15552, 9040
1707802636962, 501624, -6944, 15264, 12064
1707802636974, 501635, -5712, 14560, 12912
1707802636984, 501646, -4640, 13840, 12544
1707802636996, 501657, -4208, 13520, 12096
1707802637006, 501668, -2480, 13792, 11584
1707802637018, 501679, -2608, 14448, 10864
1707802637028, 501690, -2960, 13776, 10416
1707802637040, 501701, -3008, 12224, 11376
1707802637050, 501712, -2848, 10480, 12256
1707802637060, 501723, -2592, 9776, 12336
1707802637072, 501734, -2560, 9280, 11424
1707802637082, 501745, -2464, 9520, 10080
1707802637095, 501756, -800, 9440, 8864
