Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326017540, 185244, -8096, -1568, 112
1708326017553, 185255, -8144, -1536, -16
1708326017561, 185266, -8112, -1536, 80
1708326017573, 185277, -8096, -1584, 64
1708326017584, 185288, -8160, -1696, 32
1708326017594, 185299, -8128, -1584, 64
1708326017605, 185310, -8160, -1600, 0
1708326017616, 185321, -8096, -1552, -16
1708326017628, 185332, -8144, -1568, -16
1708326017638, 185343, -8080, -1568, 32
1708326017650, 185354, -8096, -1568, 112
1708326017661, 185365, -8160, -1552, 48
1708326017671, 185376, -8048, -1584, 48
1708326017682, 185387, -8032, -1568, 240
1708326017694, 185398, -8064, -1600, 112
1708326017705, 185409, -8032, -1552, 112
1708326017715, 185420, -8064, -1552, 64
1708326017726, 185431, -8128, -1552, 64
1708326017736, 185442, -8160, -1664, 48
1708326017749, 185453, -8192, -1632, -32
1708326017760, 185464, -8192, -1600, 64
1708326017771, 185475, -8160, -1600, 64
1708326017782, 185486, -8176, -1616, 96
1708326017793, 185497, -8112, -1552, 160
1708326017803, 185508, -8144, -1536, 240
1708326017814, 185519, -8160, -1520, 352
1708326017825, 185530, -8192, -1536, 128
1708326017836, 185541, -8160, -1568, 80
1708326017846, 185552, -8176, -1584, -64
1708326017858, 185563, -8160, -1552, -16
1708326017869, 185574, -8112, -1536, 80
1708326017880, 185585, -8080, -1616, 64
1708326017892, 185596, -8096, -1584, 160
1708326017903, 185607, -8112, -1584, 176
1708326017913, 185618, -8160, -1616, 96
1708326017924, 185629, -8176, -1616, 112
1708326017936, 185640, -8160, -1600, 96
1708326017946, 185651, -8144, -1728, 80
1708326017957, 185662, -8160, -1632, -32
1708326017969, 185673, -8144, -1664, -32
1708326017980, 185684, -8128, -1600, -128
1708326017990, 185695, -8080, -1584, 0
1708326018000, 185706, -8048, -1536, 48
1708326018013, 185717, -8080, -1664, 160
1708326018023, 185728, -8016, -1568, 80
1708326018034, 185739, -8144, -1616, 96
1708326018045, 185750, -8112, -1616, 80
1708326018056, 185761, -8080, -1600, -16
1708326018067, 185772, -8048, -1600, 0
1708326018079, 185783, -8128, -1680, 16
1708326018090, 185794, -8064, -1616, 128
1708326018101, 185805, -8112, -1552, 112
1708326018111, 185816, -8032, -1600, 80
1708326018121, 185827, -8112, -1552, 64
1708326018134, 185838, -8064, -1568, 16
1708326018144, 185849, -8064, -1600, 64
1708326018155, 185860, -8176, -1552, 32
1708326018167, 185871, -8128, -1648, -32
1708326018177, 185882, -8144, -1616, 16
1708326018188, 185893, -8160, -1536, 80
1708326018199, 185904, -8160, -1600, 144
1708326018211, 185915, -8176, -1600, 80
1708326018222, 185926, -8064, -1648, 80
1708326018232, 185937, -8144, -1632, 64
1708326018244, 185948, -8144, -1552, -64
1708326018255, 185959, -8080, -1520, -80
1708326018265, 185970, -8128, -1504, 64
1708326018276, 185981, -8080, -1504, -16
1708326018286, 185992, -8112, -1520, 112
1708326018299, 186003, -8128, -1552, 128
1708326018309, 186014, -8144, -1472, 208
1708326018320, 186025, -8144, -1552, 160
1708326018332, 186036, -8128, -1584, 144
1708326018342, 186047, -8192, -1600, 96
1708326018354, 186058, -8176, -1568, 48
1708326018364, 186069, -8144, -1552, 96
1708326018375, 186080, -8128, -1536, 144
1708326018386, 186091, -7952, -1552, 96
1708326018398, 186102, -8112, -1584, 128
1708326018408, 186113, -8096, -1632, 176
1708326018420, 186124, -8176, -1568, 80
1708326018431, 186135, -8064, -1648, 32
1708326018441, 186146, -8112, -1584, -160
1708326018452, 186157, -8112, -1600, 32
1708326018462, 186168, -8160, -1616, 16
1708326018475, 186179, -8160, -1632, 240
1708326018485, 186190, -8112, -1584, 48
1708326018495, 186201, -8096, -1600, 0
1708326018507, 186212, -8144, -1584, 80
1708326018519, 186223, -8144, -1616, 64
1708326018529, 186234, -8112, -1568, 64
1708326018540, 186245, -8128, -1616, 144
1708326018552, 186256, -7968, -1584, 128
1708326018562, 186267, -8112, -1600, 32
1708326018573, 186278, -8112, -1552, 32
1708326018584, 186289, -8048, -1552, 0
1708326018595, 186300, -8080, -1600, 64
1708326018607, 186311, -8112, -1568, 96
1708326018618, 186322, -8208, -1616, 48
1708326018627, 186333, -8080, -1616, 16
1708326018640, 186344, -8096, -1584, 32
1708326018651, 186355, -8032, -1552, 0
1708326018661, 186366, -8080, -1584, 16
1708326018672, 186377, -8144, -1552, 80
1708326018684, 186388, -8160, -1584, 96
1708326018695, 186399, -8160, -1600, 128
1708326018706, 186410, -8176, -1616, 80
1708326018716, 186421, -8096, -1536, 64
1708326018727, 186432, -8208, -1552, -96
1708326018738, 186443, -8176, -1568, 32
1708326018750, 186454, -8112, -1520, 112
1708326018761, 186465, -8096, -1520, 80
1708326018771, 186476, -8144, -1472, 128
1708326018782, 186487, -8032, -1520, 64
1708326018793, 186498, -8096, -1520, 96
1708326018804, 186509, -8112, -1520, 32
1708326018816, 186520, -8096, -1536, -48
1708326018827, 186531, -8128, -1600, 32
1708326018837, 186542, -8160, -1584, 32
1708326018848, 186553, -8128, -1632, 32
1708326018859, 186564, -8192, -1616, 16
1708326018870, 186575, -8176, -1552, 0
1708326018882, 186586, -8176, -1632, 48
1708326018893, 186597, -8176, -1632, 96
1708326018903, 186608, -8064, -1568, 64
1708326018914, 186619, -8176, -1584, 48
1708326018925, 186630, -8128, -1584, 32
1708326018936, 186641, -8096, -1552, 48
1708326018948, 186652, -8064, -1568, 128
1708326018959, 186663, -8160, -1584, 0
1708326018969, 186674, -8160, -1600, 16
1708326018980, 186685, -8160, -1536, 112
1708326018991, 186696, -8176, -1536, 144
1708326019001, 186707, -8160, -1504, 64
1708326019013, 186718, -8192, -1488, -80
1708326019024, 186729, -8128, -1536, -32
1708326019035, 186740, -8096, -1568, 48
