Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708325873945, 41650, -4448, 1408, 6064
1708325873955, 41661, -4480, 1424, 6208
1708325873966, 41672, -4400, 1312, 5936
1708325873977, 41683, -4528, 1440, 5888
1708325873988, 41694, -4464, 1520, 5920
1708325874000, 41705, -4336, 1440, 5840
1708325874010, 41716, -4192, 1296, 5728
1708325874022, 41727, -3952, 736, 5408
1708325874033, 41738, -3904, 304, 5056
1708325874043, 41749, -3744, -448, 4608
1708325874054, 41760, -4208, -1504, 3920
1708325874065, 41771, -4416, -3280, 3232
1708325874075, 41782, -4816, -4272, 2912
1708325874087, 41793, -5520, -6160, 2256
1708325874098, 41804, -5760, -8464, 1856
1708325874109, 41815, -6496, -9824, 1792
1708325874121, 41826, -7520, -10928, 1104
1708325874132, 41837, -7744, -12064, 1056
1708325874142, 41848, -10704, -13632, 1040
1708325874154, 41859, -12128, -15344, 1968
1708325874165, 41870, -12576, -14064, 4208
1708325874175, 41881, -15120, -18656, 2976
1708325874186, 41892, -17936, -16640, 2480
1708325874197, 41903, -17520, -18080, 4448
1708325874207, 41914, -19792, -17856, 5024
1708325874220, 41925, -20624, -16288, 6272
1708325874231, 41936, -20912, -14080, 3696
1708325874242, 41947, -22576, -11552, 3856
1708325874253, 41958, -23712, -8768, 4992
1708325874264, 41969, -23808, -5008, 6192
1708325874274, 41980, -23232, -1632, 6976
1708325874285, 41991, -23536, 704, 7856
1708325874297, 42002, -23840, 3024, 8096
1708325874308, 42013, -23984, 6688, 7040
1708325874318, 42024, -24384, 9936, 6320
1708325874329, 42035, -24384, 11872, 6640
1708325874340, 42046, -22560, 11328, 7360
1708325874350, 42057, -21424, 11456, 5728
1708325874363, 42068, -21088, 11072, 4032
1708325874373, 42079, -17136, 11216, 1808
1708325874383, 42090, -14784, 11520, -304
1708325874395, 42101, -14288, 11600, -1200
1708325874406, 42112, -10384, 10864, -1120
1708325874417, 42123, -8736, 9424, -240
1708325874428, 42134, -8560, 7792, 448
1708325874440, 42145, -6672, 6560, 1280
1708325874450, 42156, -6064, 5296, 2448
1708325874461, 42167, -6048, 4192, 3200
1708325874472, 42178, -5136, 3200, 3584
1708325874484, 42189, -4800, 2656, 3792
1708325874494, 42200, -4784, 2224, 3424
1708325874505, 42211, -4000, 1840, 3232
1708325874516, 42222, -3856, 1632, 3280
1708325874528, 42233, -3776, 1216, 3120
1708325874538, 42244, -3760, 736, 3328
1708325874550, 42255, -3824, 160, 3776
1708325874560, 42266, -3968, -512, 4208
1708325874571, 42277, -4080, -1040, 4736
1708325874582, 42288, -4032, -1360, 5184
1708325874593, 42299, -4048, -1648, 5136
1708325874603, 42310, -4192, -1920, 5280
1708325874615, 42321, -4384, -2720, 5504
1708325874626, 42332, -4432, -4080, 5760
1708325874637, 42343, -4656, -5232, 6016
1708325874649, 42354, -4576, -5648, 6128
1708325874659, 42365, -4336, -6128, 6352
1708325874669, 42376, -4272, -5904, 6416
1708325874681, 42387, -4080, -5472, 6640
1708325874692, 42398, -4000, -5408, 6896
1708325874704, 42409, -4848, -6112, 6944
1708325874714, 42420, -5120, -6992, 6816
1708325874726, 42431, -5056, -7120, 6608
