Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708325962826, 130530, -3024, 6320, 4240
1708325962836, 130541, -3056, 6480, 4304
1708325962847, 130552, -3072, 6544, 4416
1708325962857, 130563, -3184, 6608, 4624
1708325962869, 130574, -3264, 6832, 4880
1708325962880, 130585, -3664, 6944, 4816
1708325962890, 130596, -3952, 6992, 4912
1708325962902, 130607, -4064, 7184, 4592
1708325962913, 130618, -4944, 7040, 4608
1708325962924, 130629, -5424, 6944, 4432
1708325962934, 130640, -5552, 6816, 4032
1708325962945, 130651, -5776, 6640, 3728
1708325962957, 130662, -5792, 6464, 3600
1708325962968, 130673, -5872, 6304, 3808
1708325962979, 130684, -5520, 6416, 4064
1708325962989, 130695, -5360, 6832, 3744
1708325963001, 130706, -5312, 7776, 3584
1708325963012, 130717, -6656, 8288, 3344
1708325963023, 130728, -7888, 8736, 3536
1708325963033, 130739, -8144, 9744, 3264
1708325963045, 130750, -11968, 9968, 2976
1708325963056, 130761, -13808, 9472, 2816
1708325963067, 130772, -13952, 9520, 1344
1708325963077, 130783, -18224, 10320, 128
1708325963090, 130794, -19776, 9808, -128
1708325963100, 130805, -20032, 8784, -192
1708325963111, 130816, -21520, 8016, -1376
1708325963122, 130827, -22832, 7552, -3808
1708325963133, 130838, -22976, 6864, -5504
1708325963144, 130849, -24320, 5456, -5456
1708325963156, 130860, -24336, 4720, -5104
1708325963167, 130871, -24080, 3424, -6368
1708325963177, 130882, -23024, 2160, -7168
1708325963188, 130893, -20528, -448, -7104
1708325963199, 130904, -19840, -4576, -6192
1708325963210, 130915, -12688, -8272, -5248
1708325963222, 130926, -9632, -13776, -3216
1708325963231, 130937, -8848, -23456, 7680
1708325963243, 130948, -2576, -26864, 14928
1708325963254, 130959, -6176, -28384, 9664
1708325963265, 130970, -8480, -27776, -1376
1708325963277, 130981, -5664, -30912, -3744
1708325963288, 130992, -2784, -32304, -4112
1708325963297, 131003, 1280, -32624, 352
1708325963310, 131014, 4848, -30976, 3968
1708325963321, 131025, 6976, -28752, 5984
1708325963330, 131036, 8016, -23424, 5824
1708325963342, 131047, 8336, -19360, 3984
1708325963352, 131058, 9104, -16112, 1792
1708325963363, 131069, 9552, -12320, -1184
1708325963374, 131080, 8896, -10272, -2912
1708325963387, 131091, 8704, -9312, -2368
1708325963396, 131102, 8592, -8752, -560
1708325963408, 131113, 8368, -7888, 368
1708325963418, 131124, 8208, -7088, 864
1708325963429, 131135, 8176, -6192, 1280
1708325963441, 131146, 8320, -5760, 1376
1708325963452, 131157, 8320, -5616, 1264
1708325963463, 131168, 8736, -6112, 1408
1708325963474, 131179, 8944, -5680, 1392
1708325963484, 131190, 8656, -5648, 1712
1708325963495, 131201, 8352, -6288, 2896
1708325963508, 131212, 8368, -6608, 4192
1708325963518, 131223, 8432, -6800, 5008
