Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326238013, 405717, -144, -5616, 5904
1708326238025, 405728, -80, -5648, 5936
1708326238036, 405739, -64, -5728, 5936
1708326238048, 405750, 16, -5760, 5856
1708326238058, 405761, 176, -5856, 5792
1708326238069, 405772, 240, -5728, 5776
1708326238081, 405783, 464, -5632, 5712
1708326238092, 405794, 656, -5616, 5792
1708326238102, 405805, 688, -5440, 5520
1708326238113, 405816, 272, -5440, 5408
1708326238123, 405827, 48, -5520, 5408
1708326238136, 405838, 48, -5648, 5504
1708326238146, 405849, -240, -5744, 5616
1708326238158, 405860, -128, -5792, 5712
1708326238169, 405871, -96, -5664, 5808
1708326238179, 405882, 96, -5648, 5856
1708326238190, 405893, 304, -5632, 5856
1708326238200, 405904, 368, -5648, 5872
1708326238212, 405915, 80, -5712, 5968
1708326238222, 405926, 16, -5920, 5984
1708326238233, 405937, 32, -6048, 5824
1708326238245, 405948, -64, -5952, 5728
1708326238255, 405959, 0, -5840, 5760
1708326238267, 405970, 32, -5776, 5872
1708326238277, 405981, 112, -5728, 5968
1708326238289, 405992, 208, -5568, 5952
1708326238300, 406003, 272, -5184, 5696
1708326238311, 406014, 800, -4592, 5776
1708326238321, 406025, 2096, -3712, 6272
1708326238332, 406036, 2496, -1504, 7344
1708326238344, 406047, 7264, 1360, 8448
1708326238354, 406058, 9664, 3136, 9520
1708326238365, 406069, 10064, 3760, 9296
1708326238377, 406080, 13040, 1712, 9600
1708326238388, 406091, 16032, -1824, 11264
1708326238400, 406102, 16896, -4704, 12480
1708326238410, 406113, 22528, -5792, 12832
1708326238420, 406124, 24592, -5920, 12592
1708326238433, 406135, 25248, -4240, 12496
1708326238443, 406146, 27344, -1392, 10944
1708326238454, 406157, 25232, 608, 8544
1708326238465, 406168, 24576, 1696, 7840
1708326238476, 406179, 16448, 800, 8640
1708326238487, 406190, 10496, -1248, 9664
1708326238498, 406201, 8896, -4704, 10192
1708326238508, 406212, -2768, -7552, 8048
1708326238521, 406223, -8528, -10192, 3056
1708326238532, 406234, -10000, -12640, 352
1708326238542, 406245, -20192, -15040, -1008
1708326238554, 406256, -23568, -16160, -1680
1708326238565, 406267, -24304, -16784, -2304
1708326238575, 406278, -30032, -15664, -2800
1708326238585, 406289, -30176, -14496, -2080
1708326238597, 406300, -29808, -13680, -1040
1708326238608, 406311, -23568, -12160, 176
1708326238619, 406322, -18928, -11760, 2400
1708326238630, 406333, -17584, -11968, 4848
1708326238641, 406344, -7808, -12672, 6704
1708326238651, 406355, -5776, -12768, 6192
1708326238664, 406366, -5664, -13456, 3280
1708326238674, 406377, -5424, -13408, 832
1708326238685, 406388, -5552, -13136, -768
1708326238696, 406399, -5872, -13248, -1648
1708326238708, 406410, -9360, -14144, -1696
1708326238718, 406421, -10640, -15328, -1712
1708326238730, 406432, -10928, -16480, -1792
1708326238741, 406443, -13136, -16736, -1648
1708326238751, 406454, -14240, -16944, -1712
1708326238762, 406465, -14480, -16720, -1632
1708326238774, 406476, -17152, -15776, -2176
1708326238785, 406487, -18928, -14352, -3744
1708326238796, 406498, -19104, -13744, -4096
1708326238806, 406509, -15824, -12416, -3840
1708326238816, 406520, -11600, -9824, -2608
1708326238829, 406531, -10480, -7392, -1824
1708326238839, 406542, -1856, -4448, -560
1708326238850, 406553, 3120, -1040, 960
1708326238861, 406564, 4304, 1312, 1456
1708326238871, 406575, 13264, 3104, 2736
1708326238884, 406586, 16864, 5616, 5520
1708326238894, 406597, 17648, 7008, 7968
1708326238905, 406608, 16624, 5920, 10528
1708326238916, 406619, 14928, 3696, 15136
1708326238927, 406630, 14464, 1120, 17824
1708326238939, 406641, 9664, -3760, 18688
1708326238949, 406652, 8304, -6784, 20096
1708326238960, 406663, 8416, -7296, 20288
1708326238972, 406674, 9504, -5712, 18832
1708326238982, 406685, 8576, -3952, 15808
1708326238993, 406696, 8288, -3056, 13056
1708326239004, 406707, 5680, -3344, 10896
1708326239014, 406718, 4640, -4128, 8720
1708326239027, 406729, 4416, -4128, 7616
1708326239037, 406740, 2320, -4304, 6688
1708326239048, 406751, 1280, -4064, 5856
1708326239059, 406762, 1184, -4320, 5872
1708326239070, 406773, 1424, -4672, 6208
1708326239082, 406784, 1248, -4576, 6096
1708326239093, 406795, 1072, -4592, 5792
1708326239103, 406806, 544, -5008, 5648
1708326239114, 406817, 0, -5888, 5264
1708326239124, 406828, -112, -6624, 5184
1708326239136, 406839, -496, -7040, 5424
1708326239148, 406850, -720, -7424, 5568
1708326239159, 406861, -736, -7456, 6016
1708326239170, 406872, -336, -7136, 6128
1708326239180, 406883, -240, -6864, 6000
