Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708325901455, 69161, -3104, -816, 2288
1708325901465, 69172, -3392, -144, 1360
1708325901478, 69183, -3392, 1680, -16
1708325901488, 69194, -5440, 2848, -560
1708325901499, 69205, -7072, 4032, -576
1708325901509, 69216, -7664, 4688, 544
1708325901521, 69227, -14352, 5200, 1936
1708325901532, 69238, -17664, 4832, 3152
1708325901543, 69249, -18400, 3024, 4800
1708325901555, 69260, -24000, 2272, 6432
1708325901566, 69271, -26368, 1648, 7760
1708325901576, 69282, -26848, 592, 8960
1708325901587, 69293, -30496, -1232, 10352
1708325901598, 69304, -32048, -2976, 11536
1708325901610, 69315, -31968, -4880, 13184
1708325901621, 69326, -32624, -8272, 14160
1708325901631, 69337, -32512, -11056, 14640
1708325901643, 69348, -32176, -13776, 15408
1708325901654, 69359, -30784, -15216, 15104
1708325901665, 69370, -29680, -16464, 15328
1708325901675, 69381, -29216, -18080, 15376
1708325901687, 69392, -23360, -19296, 15792
1708325901698, 69403, -19664, -20208, 15648
1708325901708, 69414, -18944, -20336, 14544
1708325901720, 69425, -11456, -20096, 13872
1708325901731, 69436, -8528, -19456, 12432
1708325901742, 69447, -7888, -17776, 11584
1708325901752, 69458, -3616, -16560, 10800
1708325901763, 69469, -2096, -16240, 11760
1708325901775, 69480, -1792, -14960, 11760
1708325901786, 69491, -16, -13344, 10976
1708325901797, 69502, 80, -11584, 9920
1708325901808, 69513, 96, -9120, 8336
1708325901818, 69524, -240, -7152, 6624
1708325901830, 69535, -672, -5216, 5248
1708325901841, 69546, -704, -3312, 4016
1708325901852, 69557, -1040, -1984, 3344
1708325901862, 69568, -1424, -560, 2864
1708325901874, 69579, -1520, 944, 2208
1708325901884, 69590, -2464, 2160, 2048
1708325901895, 69601, -2560, 2880, 1952
1708325901905, 69612, -2400, 3472, 1984
1708325901918, 69623, -2992, 3696, 1888
1708325901929, 69634, -2752, 3984, 2032
1708325901940, 69645, -2512, 3824, 2208
1708325901950, 69656, -2416, 3872, 2480
1708325901962, 69667, -2176, 4080, 2640
1708325901972, 69678, -1920, 4016, 2784
1708325901984, 69689, -1744, 3920, 3344
1708325901995, 69700, -1952, 3744, 3760
1708325902006, 69711, -2080, 3520, 3856
1708325902016, 69722, -2080, 3424, 3824
1708325902027, 69733, -1968, 3280, 3680
1708325902038, 69744, -2176, 3376, 3488
1708325902050, 69755, -2608, 3168, 3472
