Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326121094, 288798, 5520, -4976, -8464
1708326121107, 288809, 5568, -5024, -8992
1708326121116, 288820, 5488, -5152, -8688
1708326121127, 288831, 5344, -5104, -8848
1708326121139, 288842, 5120, -5072, -9216
1708326121150, 288853, 5136, -4992, -9040
1708326121161, 288864, 5408, -4848, -8848
1708326121172, 288875, 5408, -4896, -8432
1708326121182, 288886, 5424, -4992, -8080
1708326121193, 288897, 5136, -5008, -7808
1708326121205, 288908, 5072, -4928, -7584
1708326121215, 288919, 5072, -4960, -7392
1708326121227, 288930, 5584, -4880, -7088
1708326121238, 288941, 5328, -4720, -6288
1708326121250, 288952, 5312, -4672, -5840
1708326121259, 288963, 5136, -4608, -5392
1708326121270, 288974, 5024, -4640, -4832
1708326121283, 288985, 4864, -4864, -4624
1708326121292, 288996, 4512, -4960, -4112
1708326121304, 289007, 4256, -5136, -3856
1708326121314, 289018, 4336, -5536, -2992
1708326121324, 289029, 3584, -5792, -2160
1708326121336, 289040, 3168, -6368, -1344
1708326121348, 289051, 3184, -6864, -288
1708326121360, 289062, 2864, -7008, 640
1708326121369, 289073, 2768, -7536, 1744
1708326121380, 289084, 2768, -8416, 3536
1708326121392, 289095, 2464, -9392, 5200
1708326121402, 289106, 2416, -10608, 7088
1708326121415, 289117, 2496, -12208, 9600
1708326121424, 289128, 2192, -13232, 11824
1708326121436, 289139, 1696, -13632, 13440
1708326121446, 289150, 1648, -13472, 15008
1708326121458, 289161, 1264, -13088, 15600
1708326121468, 289172, 976, -12784, 15888
1708326121479, 289183, 960, -12336, 15632
1708326121491, 289194, 1024, -11888, 15040
1708326121501, 289205, 1184, -11344, 14288
1708326121512, 289216, 1456, -10160, 13024
1708326121524, 289227, 1328, -9360, 11712
1708326121534, 289238, 608, -8768, 10096
1708326121544, 289249, 304, -8288, 7872
1708326121555, 289260, -1808, -7872, 6272
1708326121568, 289271, -2112, -7568, 5200
1708326121579, 289282, -2096, -6928, 3504
1708326121589, 289293, -2320, -6336, 1472
1708326121601, 289304, -1888, -5696, 0
1708326121612, 289315, -1632, -5408, -1856
1708326121623, 289326, -1232, -4864, -3184
1708326121633, 289337, -1056, -4848, -4080
1708326121645, 289348, -1008, -4944, -4896
1708326121657, 289359, -224, -5008, -5280
1708326121666, 289370, -64, -5152, -5888
1708326121678, 289381, -112, -5392, -6320
1708326121687, 289392, -32, -5184, -6704
1708326121701, 289403, -208, -4960, -7216
1708326121711, 289414, -80, -4544, -7632
1708326121722, 289425, -416, -4192, -7808
1708326121733, 289436, -640, -4160, -7472
1708326121744, 289447, -688, -4576, -6992
1708326121755, 289458, -800, -4560, -6528
1708326121765, 289469, -1104, -4560, -6752
1708326121776, 289480, -1584, -5120, -7136
1708326121787, 289491, -2176, -5392, -7936
1708326121799, 289502, -2512, -5552, -9152
1708326121808, 289513, -2320, -6160, -10032
1708326121820, 289524, -2256, -6592, -10336
1708326121832, 289535, -2208, -6944, -10160
1708326121846, 289546, -1888, -7552, -10016
1708326121854, 289557, -1376, -7984, -9856
1708326121865, 289568, -944, -8144, -10480
1708326121876, 289579, -480, -8640, -11872
1708326121886, 289590, -288, -9024, -13104
1708326121897, 289601, -160, -9152, -14352
1708326121908, 289612, 32, -9184, -15168
1708326121918, 289623, -96, -8912, -14864
1708326121931, 289634, -208, -8896, -14048
1708326121942, 289645, -144, -9008, -12928
1708326121952, 289656, -192, -9216, -12224
1708326121965, 289667, -352, -8928, -11648
1708326121974, 289678, -416, -8496, -10928
1708326121985, 289689, -656, -8128, -10848
1708326121996, 289700, -944, -7632, -10672
1708326122009, 289711, -1296, -7136, -10304
1708326122019, 289722, -1648, -6656, -9760
1708326122029, 289733, -2176, -6320, -8976
1708326122040, 289744, -2608, -5936, -7536
1708326122051, 289755, -2848, -5600, -6128
1708326122063, 289766, -3088, -5072, -4912
1708326122074, 289777, -3616, -4768, -3648
1708326122084, 289788, -3696, -4592, -2432
1708326122095, 289799, -4064, -4880, -1120
1708326122107, 289810, -4272, -5392, 480
1708326122118, 289821, -4720, -5648, 1904
1708326122129, 289832, -4720, -6256, 3280
1708326122140, 289843, -4336, -6144, 4512
1708326122151, 289854, -4240, -5936, 5568
1708326122161, 289865, -4016, -5648, 6432
1708326122173, 289876, -3600, -5376, 7968
1708326122183, 289887, -3664, -5968, 8544
1708326122194, 289898, -3664, -6960, 8992
1708326122206, 289909, -3296, -8256, 9200
1708326122217, 289920, -2752, -8912, 9536
1708326122227, 289931, -2032, -9328, 9728
1708326122239, 289942, -960, -9360, 9888
1708326122249, 289953, -272, -9376, 9632
1708326122260, 289964, 0, -9280, 9008
1708326122271, 289975, 192, -9536, 8336
1708326122283, 289986, 336, -9984, 7856
1708326122294, 289997, 240, -10704, 7376
1708326122305, 290008, 256, -11984, 7056
1708326122316, 290019, 592, -12320, 7088
1708326122326, 290030, 720, -12672, 6736
1708326122337, 290041, 864, -12656, 6288
1708326122347, 290052, 1072, -12496, 5776
1708326122361, 290063, 992, -12400, 5152
1708326122370, 290074, 432, -12784, 4528
1708326122382, 290085, 304, -13216, 3920
1708326122392, 290096, 144, -13424, 3328
1708326122405, 290107, -128, -13472, 2944
1708326122414, 290118, -192, -13440, 2624
1708326122425, 290129, -352, -13296, 2288
1708326122435, 290140, -592, -13104, 1616
1708326122448, 290151, -816, -12960, 1232
1708326122460, 290162, -960, -12752, 656
1708326122468, 290173, -1088, -12704, 16
1708326122481, 290184, -1536, -12704, -80
1708326122492, 290195, -1888, -12624, -224
1708326122502, 290206, -2256, -12816, -416
1708326122513, 290217, -2352, -12768, -448
1708326122525, 290228, -2432, -12400, -832
1708326122535, 290239, -2512, -12000, -1712
1708326122547, 290250, -2480, -11424, -2192
1708326122558, 290261, -2352, -11088, -2720
1708326122570, 290272, -2416, -10960, -3216
1708326122579, 290283, -2480, -10528, -3344
1708326122590, 290294, -2416, -10272, -3408
1708326122602, 290305, -2160, -10352, -3424
1708326122612, 290316, -2048, -10032, -3312
1708326122624, 290327, -1776, -9808, -3200
1708326122634, 290338, -1344, -9312, -2768
1708326122646, 290349, -960, -9216, -2352
1708326122657, 290360, -720, -8928, -2128
1708326122667, 290371, -288, -8416, -1760
1708326122677, 290382, 128, -8224, -1152
1708326122690, 290393, 272, -7840, -704
1708326122700, 290404, 256, -7760, -336
1708326122711, 290415, 320, -7584, 240
1708326122722, 290426, 592, -7376, 880
