Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708325996089, 163794, 5856, -3632, 736
1708325996100, 163805, 5792, -3648, 704
1708325996111, 163816, 5792, -3808, 784
1708325996123, 163827, 5888, -3888, 896
1708325996133, 163838, 6144, -3856, 1168
1708325996144, 163849, 6224, -3824, 1360
1708325996155, 163860, 6272, -3856, 1456
1708325996165, 163871, 6112, -3840, 1168
1708325996177, 163882, 6080, -3904, 912
1708325996189, 163893, 5936, -4000, 928
1708325996199, 163904, 6048, -4000, 1120
1708325996210, 163915, 6112, -4080, 1136
1708325996221, 163926, 6272, -4256, 1456
1708325996231, 163937, 6496, -4288, 1424
1708325996244, 163948, 6464, -4304, 1264
1708325996254, 163959, 6368, -4416, 800
1708325996265, 163970, 6336, -4448, 928
1708325996276, 163981, 6032, -4352, 1296
1708325996287, 163992, 5888, -4208, 1552
1708325996297, 164003, 5888, -4224, 1696
1708325996310, 164014, 5792, -4336, 1904
1708325996321, 164025, 5776, -4496, 1968
1708325996331, 164036, 5792, -4624, 1808
1708325996342, 164047, 5696, -4608, 1568
1708325996353, 164058, 5696, -4656, 1264
1708325996364, 164069, 5728, -4576, 1328
1708325996374, 164080, 5376, -4512, 1424
1708325996385, 164091, 5264, -4368, 1552
1708325996397, 164102, 5248, -4208, 1952
1708325996408, 164113, 5104, -4240, 2096
1708325996419, 164124, 5088, -4384, 2400
1708325996431, 164135, 5232, -4576, 2048
1708325996441, 164146, 4816, -4640, 1824
1708325996452, 164157, 4640, -4752, 1552
1708325996463, 164168, 4704, -4688, 1664
1708325996473, 164179, 4624, -4720, 1856
1708325996486, 164190, 4656, -4560, 2208
1708325996496, 164201, 4640, -4624, 2672
1708325996507, 164212, 4768, -4752, 2864
1708325996520, 164223, 4832, -4896, 2896
1708325996530, 164234, 4640, -5120, 2864
1708325996540, 164245, 4416, -5392, 2768
1708325996552, 164256, 4304, -5520, 2688
1708325996561, 164267, 4192, -5520, 2720
1708325996573, 164278, 4320, -5488, 2880
1708325996584, 164289, 4608, -5536, 3120
1708325996595, 164300, 4688, -5472, 3152
1708325996606, 164311, 4704, -5680, 3024
1708325996616, 164322, 4576, -5872, 2992
1708325996628, 164333, 4528, -6160, 2832
1708325996640, 164344, 4304, -6416, 2640
1708325996651, 164355, 4288, -6528, 2736
1708325996661, 164366, 4512, -6768, 2736
1708325996672, 164377, 4784, -6624, 2816
1708325996682, 164388, 4960, -6736, 2784
1708325996694, 164399, 5040, -6784, 2672
1708325996705, 164410, 4928, -6896, 2480
1708325996716, 164421, 4816, -7088, 2416
1708325996727, 164432, 4752, -7408, 2448
1708325996738, 164443, 4672, -7424, 2720
1708325996749, 164454, 4672, -7392, 2928
1708325996760, 164465, 4688, -7376, 2976
1708325996770, 164476, 4720, -7440, 3024
1708325996783, 164487, 4752, -7472, 3008
1708325996794, 164498, 4704, -7616, 2736
1708325996804, 164509, 4480, -7552, 2640
1708325996815, 164520, 4304, -7616, 2512
1708325996826, 164531, 4432, -8016, 2384
1708325996837, 164542, 4272, -8096, 2256
1708325996847, 164553, 4208, -8128, 2384
1708325996859, 164564, 4176, -8128, 2480
1708325996870, 164575, 4240, -8112, 2672
1708325996882, 164586, 4256, -7904, 2688
1708325996893, 164597, 4240, -7872, 2720
1708325996903, 164608, 4128, -7904, 2448
1708325996913, 164619, 4000, -8096, 2336
1708325996925, 164630, 3872, -8176, 2096
1708325996936, 164641, 3696, -8224, 1904
1708325996946, 164652, 3760, -8192, 1808
1708325996958, 164663, 3584, -8128, 1888
1708325996970, 164674, 3712, -8096, 1968
1708325996980, 164685, 3664, -8064, 1968
1708325996991, 164696, 3648, -8096, 2160
1708325997002, 164707, 3776, -8160, 2160
1708325997013, 164718, 3616, -8352, 2160
1708325997024, 164729, 3552, -8448, 2112
1708325997036, 164740, 3552, -8384, 2080
1708325997047, 164751, 3488, -8224, 1952
1708325997058, 164762, 3280, -8064, 1856
1708325997068, 164773, 3200, -7936, 2032
1708325997078, 164784, 3136, -7776, 2096
1708325997091, 164795, 2928, -7872, 2416
1708325997101, 164806, 2720, -8160, 2256
1708325997112, 164817, 2704, -8240, 2288
1708325997123, 164828, 2688, -8352, 2256
1708325997133, 164839, 2944, -8352, 2256
1708325997146, 164850, 3024, -8192, 2176
1708325997157, 164861, 3008, -8032, 2112
1708325997167, 164872, 2928, -7920, 2032
1708325997178, 164883, 2864, -7696, 2000
1708325997189, 164894, 2624, -7824, 1760
1708325997200, 164905, 2544, -7984, 1792
1708325997212, 164916, 2208, -8144, 1840
1708325997221, 164927, 2128, -8400, 1968
1708325997234, 164938, 2032, -8576, 1872
1708325997244, 164949, 2128, -8704, 1904
1708325997255, 164960, 2256, -8912, 1872
1708325997266, 164971, 2304, -8864, 1712
1708325997276, 164982, 2640, -8784, 1712
1708325997288, 164993, 2672, -8688, 1760
1708325997300, 165004, 2672, -8624, 1648
1708325997310, 165015, 2672, -8576, 1328
1708325997321, 165026, 2704, -8640, 1456
1708325997332, 165037, 2592, -8752, 1392
1708325997344, 165048, 2560, -8992, 1568
1708325997355, 165059, 2432, -9104, 1808
1708325997365, 165070, 2448, -9312, 1552
1708325997375, 165081, 2432, -9200, 1424
1708325997387, 165092, 2544, -9056, 1696
1708325997397, 165103, 2544, -8720, 1456
1708325997409, 165114, 2672, -8576, 1584
1708325997420, 165125, 2656, -8528, 1424
1708325997430, 165136, 2656, -8592, 1184
1708325997442, 165147, 2544, -8944, 928
1708325997454, 165158, 2464, -9120, 704
1708325997464, 165169, 2592, -9248, 704
1708325997475, 165180, 2784, -9200, 576
1708325997487, 165191, 2848, -8928, 464
1708325997496, 165202, 2992, -8624, 304
1708325997509, 165213, 2928, -8304, 128
1708325997520, 165224, 2784, -8224, 192
1708325997530, 165235, 2672, -8224, 384
1708325997541, 165246, 2688, -8320, 640
1708325997553, 165257, 2656, -8608, 848
1708325997563, 165268, 2736, -8672, 864
1708325997575, 165279, 2768, -8592, 752
1708325997586, 165290, 2800, -8480, 640
1708325997597, 165301, 2944, -8256, 672
1708325997608, 165312, 2624, -8208, 544
1708325997619, 165323, 2608, -8208, 320
1708325997629, 165334, 2352, -8336, 336
1708325997640, 165345, 2368, -8592, 368
1708325997651, 165356, 2576, -8656, 512
1708325997662, 165367, 2608, -8512, 576
1708325997673, 165378, 2768, -8432, 576
1708325997684, 165389, 2608, -8384, 560
1708325997696, 165400, 2432, -8352, 288
1708325997706, 165411, 2608, -8288, -32
1708325997717, 165422, 2704, -8288, -192
1708325997728, 165433, 2656, -8192, -192
1708325997738, 165444, 2496, -8144, -224
1708325997751, 165455, 2432, -8208, -320
1708325997761, 165466, 2640, -8192, -528
1708325997772, 165477, 2176, -8192, -576
1708325997785, 165488, 2048, -8288, -512
1708325997793, 165499, 2064, -8368, -560
1708325997805, 165510, 2176, -8528, -496
1708325997815, 165521, 2288, -8544, -400
1708325997826, 165532, 2368, -8400, -320
1708325997837, 165543, 2272, -8288, -320
1708325997850, 165554, 2272, -8240, -384
1708325997861, 165565, 2080, -8240, -704
1708325997871, 165576, 2144, -8304, -832
1708325997881, 165587, 2240, -8352, -816
1708325997893, 165598, 2400, -8288, -752
1708325997904, 165609, 2304, -8208, -736
1708325997914, 165620, 2208, -8128, -752
1708325997925, 165631, 2192, -8064, -960
1708325997937, 165642, 2016, -8128, -1040
1708325997948, 165653, 2128, -8176, -1104
1708325997959, 165664, 2288, -8080, -1168
1708325997971, 165675, 2384, -8032, -1072
1708325997982, 165686, 2384, -7952, -864
1708325997993, 165697, 2464, -7872, -880
1708325998003, 165708, 2320, -7808, -928
1708325998014, 165719, 2080, -8096, -1056
1708325998025, 165730, 2144, -8224, -1008
1708325998036, 165741, 2208, -8448, -1024
1708325998047, 165752, 2480, -8336, -1008
1708325998059, 165763, 2704, -8208, -1056
1708325998070, 165774, 2848, -8080, -1008
1708325998080, 165785, 2992, -8128, -1104
1708325998091, 165796, 3008, -8080, -1152
1708325998103, 165807, 3024, -8176, -1424
1708325998113, 165818, 3184, -8176, -1376
1708325998123, 165829, 3152, -8416, -1296
1708325998134, 165840, 3136, -8720, -1312
1708325998146, 165851, 3136, -8720, -1328
1708325998157, 165862, 3232, -8576, -1632
1708325998168, 165873, 3440, -8464, -1440
1708325998178, 165884, 3344, -8432, -1536
1708325998190, 165895, 3520, -8416, -1536
1708325998201, 165906, 3520, -8304, -1472
1708325998212, 165917, 3568, -8176, -1696
1708325998222, 165928, 3584, -7952, -1712
1708325998235, 165939, 3616, -7936, -1824
1708325998245, 165950, 3600, -7824, -1712
1708325998256, 165961, 3792, -7744, -1744
1708325998267, 165972, 3808, -7536, -1424
1708325998278, 165983, 3984, -7488, -1424
1708325998289, 165994, 4096, -7360, -1360
1708325998301, 166005, 4112, -7296, -1392
1708325998312, 166016, 4032, -7104, -1440
1708325998323, 166027, 4016, -6816, -1376
1708325998333, 166038, 3968, -6784, -1344
1708325998344, 166049, 4096, -6608, -1200
1708325998356, 166060, 4272, -6400, -928
