Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326052190, 219894, 3472, -5008, 3952
1708326052201, 219905, 3296, -5120, 4048
1708326052211, 219916, 3200, -5104, 4272
1708326052223, 219927, 3024, -5152, 4288
1708326052234, 219938, 3040, -5408, 4384
1708326052245, 219949, 2864, -5456, 4496
1708326052255, 219960, 2880, -5632, 4480
1708326052266, 219971, 2880, -5776, 4496
1708326052277, 219982, 2736, -5872, 4464
1708326052288, 219993, 2656, -5760, 4384
1708326052299, 220004, 2704, -5776, 4336
1708326052311, 220015, 2336, -5808, 4400
1708326052322, 220026, 2112, -5760, 4464
1708326052332, 220037, 2160, -5760, 4704
1708326052345, 220048, 2064, -6112, 4752
1708326052354, 220059, 2064, -6384, 4848
1708326052366, 220070, 2048, -6480, 4864
1708326052376, 220081, 1856, -6416, 4752
1708326052387, 220092, 1696, -6512, 4912
1708326052398, 220103, 1776, -6432, 5344
1708326052410, 220114, 1568, -6544, 5248
1708326052421, 220125, 1472, -6432, 5312
1708326052432, 220136, 1376, -6544, 5248
1708326052442, 220147, 1200, -6656, 5376
1708326052454, 220158, 1040, -6736, 5360
1708326052464, 220169, 880, -6864, 5488
1708326052475, 220180, 704, -6944, 5440
1708326052486, 220191, 704, -6992, 5584
1708326052498, 220202, 848, -7008, 5712
1708326052507, 220213, 880, -6976, 5680
1708326052520, 220224, 864, -6928, 5504
1708326052530, 220235, 864, -7056, 5520
1708326052541, 220246, 832, -6880, 5744
1708326052552, 220257, 720, -6848, 5808
1708326052564, 220268, 416, -6800, 5840
1708326052575, 220279, 368, -6608, 5856
1708326052586, 220290, 240, -6672, 5968
1708326052597, 220301, 288, -6784, 6144
1708326052607, 220312, 304, -6752, 5888
1708326052618, 220323, 160, -6656, 5632
1708326052630, 220334, 32, -6512, 5408
1708326052641, 220345, 0, -6432, 5328
1708326052651, 220356, -48, -6496, 5472
1708326052662, 220367, -208, -6368, 5520
1708326052674, 220378, -192, -6240, 5632
1708326052685, 220389, -256, -6144, 5664
1708326052695, 220400, -240, -6080, 5552
1708326052708, 220411, -512, -5792, 5216
1708326052718, 220422, -784, -5760, 4736
1708326052729, 220433, -1056, -5792, 4528
1708326052739, 220444, -1168, -5824, 4832
1708326052750, 220455, -1200, -5984, 4928
1708326052761, 220466, -1408, -6064, 5264
1708326052773, 220477, -1344, -6032, 5376
1708326052784, 220488, -1296, -5840, 5392
