Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326080559, 248263, 5392, -5728, -1184
1708326080569, 248274, 5296, -5776, -1040
1708326080581, 248285, 5360, -5760, -1232
1708326080594, 248296, 5408, -5840, -1280
1708326080603, 248307, 5376, -5824, -1440
1708326080614, 248318, 5344, -5792, -1280
1708326080624, 248329, 5408, -5776, -1280
1708326080636, 248340, 5424, -5776, -1216
1708326080647, 248351, 5440, -5808, -1392
1708326080657, 248362, 5472, -5888, -1360
1708326080668, 248373, 5440, -5952, -1536
1708326080679, 248384, 5488, -6000, -1568
1708326080691, 248395, 5520, -6016, -1648
1708326080702, 248406, 5632, -5984, -1680
1708326080713, 248417, 5568, -6016, -1680
1708326080724, 248428, 5648, -6016, -1696
1708326080736, 248439, 5712, -5984, -1440
1708326080745, 248450, 5696, -6000, -1536
1708326080756, 248461, 5552, -5984, -1456
1708326080768, 248472, 5440, -6064, -1408
1708326080779, 248483, 5344, -6128, -1296
1708326080791, 248494, 5312, -6160, -1296
1708326080801, 248505, 5312, -6208, -1392
1708326080812, 248516, 5312, -6192, -1440
1708326080823, 248527, 5248, -6128, -1616
1708326080833, 248538, 5200, -6096, -2064
1708326080846, 248549, 5152, -6224, -2544
1708326080856, 248560, 5248, -6672, -3728
1708326080868, 248571, 5728, -6896, -6064
1708326080878, 248582, 5664, -7424, -8512
1708326080889, 248593, 5232, -7808, -10368
1708326080901, 248604, 4160, -8512, -11840
1708326080912, 248615, 4176, -8864, -13488
1708326080923, 248626, 3808, -8864, -15168
1708326080933, 248637, 3072, -8656, -16784
1708326080944, 248648, 2976, -8144, -17424
1708326080955, 248659, 1632, -7664, -16960
1708326080967, 248670, 880, -8000, -15744
1708326080978, 248681, 736, -8192, -13296
1708326080988, 248692, -16, -8336, -12080
1708326080999, 248703, -224, -8112, -11280
1708326081011, 248714, -304, -7968, -9584
1708326081020, 248725, -576, -7744, -8544
1708326081032, 248736, -960, -7904, -7104
1708326081044, 248747, -1120, -8848, -4384
1708326081054, 248758, -1968, -9712, -2144
1708326081065, 248769, -2496, -10688, -608
