Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708326141169, 308873, 2032, 2080, 1792
1708326141180, 308884, 3024, 1696, 1504
1708326141191, 308895, 3744, 1616, 960
1708326141204, 308906, 4384, 1328, 752
1708326141213, 308917, 4976, 1056, 736
1708326141224, 308928, 5520, 768, 1088
1708326141237, 308939, 5296, 896, 1072
1708326141247, 308950, 4752, 1328, 1008
1708326141257, 308961, 4080, 1904, 1200
1708326141268, 308972, 3424, 2496, 1392
1708326141279, 308983, 2368, 3488, 1904
1708326141289, 308994, 400, 5040, 2272
1708326141302, 309005, -1648, 6720, 2784
1708326141313, 309016, -4144, 8224, 3360
1708326141323, 309027, -7760, 9840, 3024
1708326141334, 309038, -11136, 10928, 2560
1708326141347, 309049, -14160, 11024, 2160
1708326141356, 309060, -15968, 10112, 704
1708326141368, 309071, -16608, 9872, 416
1708326141379, 309082, -16624, 10256, 368
1708326141389, 309093, -15312, 10960, 976
1708326141400, 309104, -13360, 10656, 1520
1708326141411, 309115, -11392, 10256, 1584
1708326141422, 309126, -8560, 9424, 1536
1708326141434, 309137, -6880, 8560, 1392
1708326141445, 309148, -5264, 7744, 1296
1708326141456, 309159, -3648, 6592, 1456
1708326141467, 309170, -2624, 5744, 1824
1708326141477, 309181, -1648, 4960, 2032
1708326141488, 309192, -400, 4176, 2368
1708326141499, 309203, 288, 3856, 2496
1708326141510, 309214, 1168, 3456, 2480
1708326141520, 309225, 1872, 3104, 2016
1708326141533, 309236, 2288, 3024, 1904
1708326141544, 309247, 2896, 2768, 1872
1708326141554, 309258, 3664, 2192, 1872
1708326141565, 309269, 3888, 2160, 1904
1708326141577, 309280, 3776, 2128, 1664
1708326141587, 309291, 3040, 2304, 1408
1708326141598, 309302, 2608, 2512, 1120
1708326141609, 309313, 1776, 3168, 1136
1708326141619, 309324, 416, 4432, 1168
1708326141631, 309335, -1024, 5824, 1648
1708326141642, 309346, -3040, 7312, 2080
1708326141654, 309357, -6000, 9072, 2544
1708326141663, 309368, -8272, 10336, 2912
1708326141676, 309379, -11136, 11152, 2640
1708326141687, 309390, -13360, 11296, 1872
1708326141697, 309401, -14288, 10656, 864
1708326141708, 309412, -14544, 10608, 448
1708326141719, 309423, -13664, 10896, 368
1708326141730, 309434, -12224, 11024, 912
1708326141742, 309445, -10272, 10832, 1552
1708326141753, 309456, -7952, 10528, 1904
1708326141764, 309467, -6224, 9936, 2016
1708326141775, 309478, -4896, 8976, 1888
1708326141785, 309489, -3104, 7648, 1984
1708326141796, 309500, -1968, 6560, 2048
1708326141807, 309511, -832, 5808, 2144
1708326141818, 309522, 112, 4912, 2352
1708326141829, 309533, 864, 4224, 2448
1708326141841, 309544, 1584, 3600, 2480
1708326141852, 309555, 2416, 3024, 2288
1708326141862, 309566, 3040, 2512, 2000
1708326141873, 309577, 3600, 2000, 2000
1708326141884, 309588, 4368, 1552, 1904
1708326141896, 309599, 4752, 1088, 1536
1708326141906, 309610, 4384, 1456, 1072
1708326141918, 309621, 4048, 1232, 672
1708326141928, 309632, 3952, 1184, 544
1708326141939, 309643, 3536, 1536, 336
1708326141949, 309654, 2752, 2416, -16
1708326141960, 309665, 1888, 3472, 240
1708326141973, 309676, 896, 4464, 656
1708326141983, 309687, -800, 6176, 1568
1708326141994, 309698, -2560, 7584, 2128
1708326142005, 309709, -4688, 8720, 3040
1708326142016, 309720, -7856, 10416, 3216
1708326142027, 309731, -11072, 11936, 3120
1708326142040, 309742, -13168, 12208, 2816
1708326142050, 309753, -15200, 11984, 1760
1708326142061, 309764, -15696, 11776, 1696
1708326142072, 309775, -15552, 11808, 2256
1708326142082, 309786, -13952, 11952, 2720
1708326142093, 309797, -11952, 11792, 3408
1708326142105, 309808, -9680, 11360, 3392
1708326142116, 309819, -7168, 10448, 2752
1708326142127, 309830, -5616, 9776, 2336
1708326142137, 309841, -4336, 8576, 2288
1708326142148, 309852, -3120, 6928, 2528
1708326142158, 309863, -1936, 5536, 2608
1708326142171, 309874, -1008, 4304, 2496
1708326142180, 309885, -64, 3200, 2144
1708326142193, 309896, 688, 2448, 1952
1708326142204, 309907, 1488, 1792, 1392
1708326142213, 309918, 2224, 1328, 832
1708326142225, 309929, 3248, 880, 160
1708326142236, 309940, 4032, 480, -336
1708326142247, 309951, 4784, 368, -592
1708326142259, 309962, 5440, 160, -960
1708326142270, 309973, 5440, 288, -896
1708326142281, 309984, 4944, 1472, -1088
1708326142292, 309995, 4544, 1728, -1424
1708326142303, 310006, 4368, 2384, -1408
1708326142313, 310017, 3760, 3728, -480
1708326142324, 310028, 2464, 5184, 560
1708326142335, 310039, 880, 6800, 2288
1708326142346, 310050, -1936, 8944, 4016
