Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708325931816, 99521, -3536, -6288, -3312
1708325931827, 99532, -3520, -6272, -3488
1708325931837, 99543, -3648, -6256, -3520
1708325931850, 99554, -3744, -6224, -3280
1708325931860, 99565, -3696, -6208, -3488
1708325931871, 99576, -3776, -6224, -3632
1708325931881, 99587, -3712, -6224, -3856
1708325931894, 99598, -3792, -6240, -3584
1708325931904, 99609, -3632, -6224, -3568
1708325931914, 99620, -3616, -6256, -3456
1708325931927, 99631, -3696, -6224, -3408
1708325931938, 99642, -3552, -6224, -3424
1708325931948, 99653, -3536, -6240, -3408
1708325931959, 99664, -3488, -6080, -3456
1708325931969, 99675, -3280, -5856, -3312
1708325931980, 99686, -3184, -5648, -3072
1708325931993, 99697, -3200, -5280, -3024
1708325932003, 99708, -2928, -4976, -2912
1708325932014, 99719, -2944, -4528, -3056
1708325932026, 99730, -3008, -4000, -2832
1708325932035, 99741, -3136, -3552, -2736
1708325932047, 99752, -3584, -3120, -2512
1708325932058, 99763, -3712, -2576, -2272
1708325932081, 99774, -5472, -2272, -1472
1708325932081, 99785, -7088, -1648, -288
1708325932108, 99796, -7536, -672, 592
1708325932108, 99807, -11760, 160, 1328
1708325932126, 99818, -14656, 1312, 384
1708325932128, 99829, -15456, 2448, -224
1708325932140, 99840, -22752, 2064, -800
1708325932146, 99851, -26304, -144, -688
1708325932156, 99862, -27056, -3824, 0
1708325932168, 99873, -28320, -6400, 1008
1708325932180, 99884, -28064, -7856, 928
1708325932190, 99895, -27968, -9504, -224
1708325932202, 99906, -26096, -11152, -2192
1708325932212, 99917, -24784, -11440, -4128
1708325932223, 99928, -24400, -12496, -5952
1708325932234, 99939, -20336, -13632, -6320
1708325932244, 99950, -18080, -14304, -6096
1708325932257, 99961, -17648, -14224, -5520
1708325932266, 99972, -13840, -14240, -5104
1708325932277, 99983, -12224, -14144, -5120
1708325932290, 99994, -11888, -14368, -5520
1708325932299, 100005, -9344, -14368, -5696
1708325932312, 100016, -8368, -14240, -6016
1708325932322, 100027, -8128, -13280, -6112
1708325932333, 100038, -5520, -12240, -5696
1708325932344, 100049, -4432, -11104, -5008
1708325932355, 100060, -4240, -9728, -4176
1708325932366, 100071, -3184, -8864, -3520
1708325932376, 100082, -2992, -8128, -3296
1708325932387, 100093, -3024, -7328, -2928
1708325932400, 100104, -2528, -6480, -2480
1708325932410, 100115, -2400, -5616, -1984
1708325932421, 100126, -2560, -4496, -1536
1708325932432, 100137, -2720, -3744, -1056
1708325932442, 100148, -2640, -3024, -704
1708325932455, 100159, -2896, -2000, -224
1708325932465, 100170, -3152, -1344, -192
