Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128001788, 493354, 3008, 1824, 7392
1708128001799, 493365, 2976, 1616, 7232
1708128001810, 493376, 2976, 1504, 7184
1708128001821, 493387, 3008, 1536, 7424
1708128001832, 493398, 3056, 1648, 7280
1708128001843, 493409, 3104, 1776, 7280
1708128001854, 493420, 3072, 1824, 7408
1708128001865, 493431, 3104, 1904, 7456
1708128001876, 493442, 3024, 1840, 7280
1708128001887, 493453, 3040, 1552, 7152
1708128001898, 493464, 2704, 1456, 7216
1708128001909, 493475, 2656, 1408, 7408
1708128001920, 493486, 2640, 1456, 7344
1708128001931, 493497, 2496, 1440, 7280
1708128001942, 493508, 2592, 1456, 7472
1708128001953, 493519, 2592, 1520, 7504
1708128001964, 493530, 2592, 1440, 7728
1708128001975, 493541, 2608, 1440, 7888
1708128001984, 493552, 2624, 1600, 7856
1708128001997, 493563, 2640, 1568, 8048
1708128002008, 493574, 2688, 1664, 8208
1708128002019, 493585, 2832, 1840, 8208
1708128002030, 493596, 2784, 1888, 8176
1708128002041, 493607, 2832, 1888, 8208
1708128002052, 493618, 2752, 1856, 8080
1708128002063, 493629, 2768, 1680, 8032
1708128002074, 493640, 2720, 1584, 7792
1708128002085, 493651, 2656, 1472, 7616
1708128002094, 493662, 2720, 1424, 7536
1708128002107, 493673, 2528, 1440, 7504
1708128002118, 493684, 2624, 1504, 7568
1708128002129, 493695, 2624, 1408, 7648
1708128002140, 493706, 2640, 1440, 7584
1708128002149, 493717, 2656, 1488, 7632
1708128002162, 493728, 2640, 1488, 7408
1708128002173, 493739, 2624, 1584, 7408
1708128002182, 493750, 2592, 1504, 7728
1708128002195, 493761, 2640, 1488, 7776
1708128002206, 493772, 2672, 1536, 7632
1708128002217, 493783, 2800, 1440, 7696
1708128002228, 493794, 2608, 1440, 7600
1708128002238, 493805, 2480, 1392, 7520
1708128002250, 493816, 2544, 1376, 7696
1708128002261, 493827, 2560, 1424, 7696
1708128002272, 493838, 2448, 1376, 7696
1708128002283, 493849, 2544, 1328, 7584
1708128002294, 493860, 2560, 1312, 7648
1708128002305, 493871, 2656, 1456, 7712
1708128002316, 493882, 2672, 1488, 7568
1708128002327, 493893, 2656, 1488, 7440
1708128002338, 493904, 2656, 1360, 7408
1708128002349, 493915, 2688, 1296, 7312
1708128002360, 493926, 2624, 1344, 7568
1708128002371, 493937, 2592, 1344, 7520
