Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708127798705, 290272, 1984, 4672, 5856
1708127798716, 290283, 1920, 4640, 5760
1708127798727, 290294, 1808, 4544, 5728
1708127798736, 290305, 1744, 4560, 5648
1708127798749, 290316, 1808, 4544, 5648
1708127798760, 290327, 1712, 4656, 5760
1708127798771, 290338, 1680, 4752, 5808
1708127798782, 290349, 1664, 4720, 5824
1708127798793, 290360, 1600, 4672, 5840
1708127798804, 290371, 1568, 4688, 5968
1708127798813, 290382, 1664, 4624, 5952
1708127798824, 290393, 1696, 4528, 5856
1708127798837, 290404, 1552, 4512, 5776
1708127798847, 290415, 1760, 4640, 5728
1708127798859, 290426, 1936, 4656, 5808
1708127798870, 290437, 1888, 4704, 5696
1708127798881, 290448, 1984, 4784, 5856
1708127798892, 290459, 2096, 4832, 6000
1708127798903, 290470, 2064, 4848, 6112
1708127798914, 290481, 1952, 4816, 6160
1708127798923, 290492, 1856, 4736, 6224
1708127798934, 290503, 1936, 4720, 6224
1708127798947, 290514, 1856, 4800, 6128
1708127798958, 290525, 2048, 4816, 6048
1708127798969, 290536, 2096, 4864, 6096
1708127798980, 290547, 2192, 4880, 6016
1708127798991, 290558, 2160, 4784, 6080
1708127799002, 290569, 2128, 4752, 6032
1708127799013, 290580, 2176, 4768, 6224
1708127799024, 290591, 2096, 4768, 6336
1708127799035, 290602, 2016, 4880, 6384
1708127799046, 290613, 2016, 4816, 6400
1708127799057, 290624, 2032, 4768, 6240
1708127799068, 290635, 1968, 4688, 6112
1708127799079, 290646, 1920, 4704, 6208
1708127799088, 290657, 1872, 4640, 6192
1708127799101, 290668, 1952, 4768, 6208
1708127799112, 290679, 1840, 4672, 6208
1708127799121, 290690, 1888, 4704, 6192
1708127799134, 290701, 1936, 4736, 6160
1708127799145, 290712, 1904, 4640, 6176
1708127799156, 290723, 2000, 4784, 6288
1708127799167, 290734, 2000, 4848, 6240
1708127799178, 290745, 2080, 4992, 6272
1708127799187, 290756, 2080, 4992, 6320
1708127799200, 290767, 2064, 4928, 6304
1708127799211, 290778, 2128, 4848, 6160
1708127799222, 290789, 2064, 4816, 6128
