Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708127930299, 421865, -4816, 16, 10320
1708127930309, 421876, -5680, -592, 10224
1708127930319, 421887, -5824, 80, 9616
1708127930332, 421898, -4608, 960, 9360
1708127930343, 421909, -3360, 1376, 9824
1708127930354, 421920, -3632, 752, 10432
1708127930365, 421931, -4560, 0, 10320
1708127930376, 421942, -5008, -96, 9552
1708127930385, 421953, -4304, 752, 9376
1708127930398, 421964, -3520, 1680, 9088
1708127930409, 421975, -3424, 1904, 8064
1708127930420, 421986, -3888, 1584, 7008
1708127930431, 421997, -4400, 1136, 6272
1708127930442, 422008, -4496, 704, 6480
1708127930453, 422019, -5616, 160, 6528
1708127930463, 422030, -6064, -480, 7264
1708127930473, 422041, -6432, -1056, 7472
1708127930485, 422052, -6672, -1440, 7872
1708127930495, 422063, -6704, -1680, 8304
1708127930507, 422074, -6304, -1920, 8816
1708127930517, 422085, -6304, -2496, 9504
1708127930529, 422096, -6400, -2560, 10496
1708127930538, 422107, -6416, -2032, 11328
1708127930550, 422118, -5968, -752, 11648
1708127930563, 422129, -5552, 16, 11568
1708127930572, 422140, -5056, 240, 11600
1708127930583, 422151, -5024, 80, 11344
1708127930595, 422162, -5632, -320, 11184
1708127930605, 422173, -5856, -400, 10352
1708127930618, 422184, -5808, -80, 11200
1708127930628, 422195, -5584, -240, 12480
1708127930638, 422206, -5216, -736, 14240
1708127930649, 422217, -4528, -720, 15616
1708127930660, 422228, -3600, -208, 15920
1708127930672, 422239, -1952, 1008, 14976
1708127930682, 422250, -1312, 976, 14896
1708127930693, 422261, -1520, 16, 14704
1708127930705, 422272, -1792, -2224, 14544
1708127930715, 422283, -4896, -4848, 15152
1708127930727, 422294, -5872, -7760, 15952
1708127930739, 422305, -5760, -10128, 17200
1708127930749, 422316, -5200, -12368, 18208
1708127930761, 422327, -5632, -13936, 19504
1708127930772, 422338, -5296, -16032, 21680
1708127930782, 422349, -4128, -17680, 23920
1708127930792, 422360, -3776, -20800, 26192
1708127930804, 422371, -192, -24192, 28688
1708127930815, 422382, 2080, -29008, 31872
1708127930825, 422393, 2688, -32496, 32592
1708127930837, 422404, 7184, -32624, 32640
1708127930849, 422415, 16256, -32624, 32640
1708127930859, 422426, 28256, -32624, 32640
1708127930871, 422437, 32368, -32624, 32640
1708127930881, 422448, 32640, -32624, 32640
1708127930893, 422459, 32640, -32624, 32640
1708127930903, 422470, 32640, -32624, 32640
1708127930915, 422481, 32640, -32624, 32640
1708127930924, 422492, 32640, -32624, 29200
1708127930937, 422503, 32640, -32624, 17568
1708127930947, 422514, 32640, -32624, 12848
1708127930959, 422525, 32640, -32624, 13136
1708127930969, 422536, 32640, -29584, 13440
1708127930980, 422547, 32640, -21392, 10528
1708127930990, 422558, 32640, -17104, 11184
1708127931003, 422569, 32640, -18016, 12384
1708127931013, 422580, 27616, -20816, 12224
1708127931025, 422591, 25136, -21680, 15360
1708127931035, 422602, 25216, -20416, 15456
1708127931047, 422613, 27600, -18448, 13328
1708127931057, 422624, 27008, -17808, 7856
1708127931067, 422635, 25216, -18400, 2816
1708127931079, 422646, 23648, -18016, 560
1708127931089, 422657, 23072, -13440, 1648
1708127931101, 422668, 21840, -12768, 3360
1708127931111, 422679, 21392, -9824, 6096
1708127931123, 422690, 21184, -7088, 8048
1708127931133, 422701, 19264, -6208, 8272
1708127931145, 422712, 15872, -7616, 6400
1708127931155, 422723, 14784, -8096, 7536
1708127931167, 422734, 12256, -9104, 7328
1708127931178, 422745, 11008, -8656, 5760
1708127931188, 422756, 10512, -8992, 5312
1708127931200, 422767, 10176, -8016, 4496
1708127931210, 422778, 10144, -7248, 4480
1708127931221, 422789, 10112, -6544, 4624
1708127931232, 422800, 9504, -5792, 4944
1708127931244, 422811, 9312, -5456, 5392
1708127931254, 422822, 7856, -5520, 5504
1708127931267, 422833, 6672, -6208, 6352
