Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128200892, 692476, 2992, 64, 7152
1708128200904, 692487, 2944, 64, 7264
1708128200914, 692498, 2976, 48, 7216
1708128200926, 692509, 2848, 32, 7280
1708128200937, 692520, 2816, -16, 7360
1708128200949, 692531, 2720, -48, 7744
1708128200959, 692542, 2848, -48, 8368
1708128200969, 692553, 2912, 80, 8576
1708128200981, 692564, 3040, 192, 8640
1708128200991, 692575, 3056, 80, 8240
1708128201003, 692586, 2816, 0, 7904
1708128201015, 692597, 2768, -64, 7344
1708128201025, 692608, 2912, -96, 7296
1708128201036, 692619, 2928, -64, 7136
1708128201048, 692630, 2864, -64, 7440
1708128201058, 692641, 2816, -144, 7936
1708128201070, 692652, 2880, -256, 8384
1708128201080, 692663, 2912, -288, 8704
1708128201093, 692674, 3104, -368, 8848
1708128201104, 692685, 3152, -640, 8608
1708128201115, 692696, 3136, -880, 8208
1708128201126, 692707, 3168, -1200, 7792
1708128201137, 692718, 3152, -1840, 7328
1708128201146, 692729, 3072, -2480, 6784
1708128201159, 692740, 3056, -3056, 6304
1708128201170, 692751, 3136, -3744, 5856
1708128201181, 692762, 3952, -4064, 5776
1708128201192, 692773, 4864, -4336, 6112
1708128201203, 692784, 5200, -4928, 6496
1708128201214, 692795, 7440, -5392, 6624
1708128201225, 692806, 8464, -6480, 6768
1708128201236, 692817, 9232, -7296, 6912
1708128201247, 692828, 9968, -7856, 6496
1708128201258, 692839, 11472, -8544, 5824
1708128201269, 692850, 13488, -9728, 5472
1708128201278, 692861, 15424, -10624, 5872
1708128201289, 692872, 16032, -10176, 7472
1708128201302, 692883, 22816, -9776, 7872
1708128201313, 692894, 26112, -8400, 8496
1708128201323, 692905, 27936, -7328, 8432
1708128201333, 692916, 27648, -7072, 9440
1708128201346, 692927, 26848, -7968, 10096
1708128201357, 692938, 26480, -9744, 11136
1708128201368, 692949, 25712, -12080, 12272
1708128201379, 692960, 25376, -13632, 12160
1708128201390, 692971, 19440, -13696, 11872
1708128201401, 692982, 18112, -14816, 11584
1708128201412, 692993, 18032, -17472, 9296
1708128201423, 693004, 18960, -18336, 8144
1708128201434, 693015, 20416, -18256, 9952
1708128201445, 693026, 20432, -19504, 13888
1708128201456, 693037, 19168, -21648, 16320
1708128201467, 693048, 18608, -23488, 14560
1708128201478, 693059, 11712, -24304, 12656
1708128201489, 693070, 7392, -24192, 11024
1708128201500, 693081, 6304, -21200, 10304
1708128201511, 693092, 2304, -16464, 9056
1708128201522, 693103, 1264, -12112, 7472
1708128201533, 693114, -464, -11008, 6992
1708128201544, 693125, -2208, -9968, 6224
1708128201555, 693136, -4000, -9744, 5600
1708128201566, 693147, -5936, -10048, 2864
1708128201577, 693158, -7728, -9744, -320
1708128201587, 693169, -7904, -8528, -1536
1708128201597, 693180, -9200, -7072, -64
1708128201610, 693191, -8448, -5424, 1600
1708128201621, 693202, -7472, -4848, 1904
1708128201632, 693213, -6720, -3952, 1456
1708128201641, 693224, -6224, -4112, 480
1708128201654, 693235, -6032, -4064, -1328
1708128201665, 693246, -6192, -3728, -1952
1708128201676, 693257, -6224, -3568, -992
1708128201687, 693268, -6624, -3344, -512
1708128201698, 693279, -6768, -3392, -528
1708128201709, 693290, -6848, -4048, 224
1708128201720, 693301, -7184, -4544, 480
1708128201731, 693312, -7024, -5728, -672
1708128201742, 693323, -6864, -7312, -448
1708128201753, 693334, -5648, -8496, -416
1708128201764, 693345, -2912, -9776, -400
1708128201775, 693356, -112, -11712, 128
1708128201786, 693367, 3072, -14688, 1632
1708128201797, 693378, 3904, -18304, 704
1708128201808, 693389, 10848, -19712, -1728
1708128201817, 693400, 17216, -19232, 1216
1708128201830, 693411, 20432, -16544, 9216
1708128201839, 693422, 24128, -12496, 15424
1708128201852, 693433, 28928, -5248, 17520
1708128201863, 693444, 29456, 688, 14160
1708128201874, 693455, 26976, 1920, 9440
1708128201885, 693466, 26480, -1504, 4800
1708128201896, 693477, 24064, -3488, -400
1708128201907, 693488, 21904, -3792, -1520
1708128201918, 693499, 21232, -4064, -64
1708128201929, 693510, 16480, -5056, 960
1708128201938, 693521, 15392, -6944, 1456
1708128201951, 693532, 16752, -7568, 4080
1708128201962, 693543, 18896, -6128, 7104
1708128201973, 693554, 19200, -3824, 7664
1708128201984, 693565, 20928, -2912, 7424
1708128201995, 693576, 20864, -3264, 6352
1708128202006, 693587, 20720, -4288, 5568
1708128202017, 693598, 19104, -5440, 4496
1708128202028, 693609, 18160, -7040, 2608
1708128202039, 693620, 17808, -7920, 1440
1708128202048, 693631, 18240, -8224, 112
1708128202061, 693642, 20192, -6864, -912
1708128202072, 693653, 22032, -5328, -624
1708128202083, 693664, 23184, -4736, 96
1708128202094, 693675, 23440, -4048, 576
1708128202105, 693686, 25120, -3744, 832
1708128202115, 693697, 25104, -5376, 2960
1708128202125, 693708, 24880, -8224, 5376
1708128202138, 693719, 20128, -11744, 6944
1708128202149, 693730, 16704, -14768, 9664
1708128202160, 693741, 14496, -14592, 11312
1708128202171, 693752, 10864, -14320, 11552
1708128202182, 693763, 9936, -13760, 11600
1708128202193, 693774, 4272, -12544, 11648
1708128202204, 693785, 4144, -9744, 11072
1708128202215, 693796, 4208, -8640, 9568
1708128202226, 693807, 768, -8912, 8256
1708128202237, 693818, -4432, -8736, 6784
1708128202248, 693829, -7824, -7712, 5296
1708128202259, 693840, -9360, -5984, 4192
1708128202270, 693851, -8592, -3904, 1856
1708128202281, 693862, -7376, -3136, -560
1708128202290, 693873, -6336, -2048, -1024
1708128202303, 693884, -6128, -480, -384
1708128202313, 693895, -5424, -144, 688
1708128202325, 693906, -5616, -336, 752
1708128202335, 693917, -5776, -704, 608
1708128202345, 693928, -5168, -512, -912
1708128202358, 693939, -4544, -688, -3760
1708128202369, 693950, -4000, -464, -4688
1708128202380, 693961, -3824, -240, -3024
1708128202390, 693972, -3808, 64, -384
1708128202400, 693983, -3360, -112, 528
1708128202412, 693994, -3840, -800, -112
1708128202424, 694005, -3968, -1600, -752
1708128202435, 694016, -4592, -2432, -1296
1708128202446, 694027, -4912, -3008, -1536
1708128202457, 694038, -4832, -2992, -1216
1708128202468, 694049, -4672, -3440, -656
1708128202479, 694060, -4704, -4240, -656
1708128202490, 694071, -3728, -4720, -1024
1708128202501, 694082, -3296, -5120, -864
1708128202512, 694093, -3104, -5408, -16
1708128202523, 694104, -2080, -5024, 944
1708128202534, 694115, -2000, -4864, 1696
1708128202545, 694126, -2384, -5760, 2304
1708128202556, 694137, -3136, -7440, 2816
1708128202567, 694148, -4000, -10304, 2752
1708128202578, 694159, -4176, -13600, 2800
1708128202589, 694170, -3664, -15728, 3168
1708128202600, 694181, -3120, -18720, 4016
1708128202609, 694192, 3168, -22064, 4048
1708128202621, 694203, 8944, -27280, 4928
1708128202631, 694214, 14384, -30656, 6768
1708128202644, 694225, 20688, -32432, 9264
1708128202655, 694236, 27456, -31920, 14208
1708128202665, 694247, 31856, -29952, 17264
1708128202677, 694258, 32592, -23424, 19440
1708128202688, 694269, 32624, -13984, 20848
1708128202697, 694280, 31984, -8368, 14576
1708128202710, 694291, 28320, -7632, 8176
1708128202719, 694302, 27600, -9984, 7120
1708128202732, 694313, 21616, -12144, 7008
1708128202743, 694324, 19376, -13424, 7104
1708128202752, 694335, 17840, -13200, 6992
1708128202763, 694346, 16768, -12400, 7184
1708128202776, 694357, 16480, -11072, 7376
1708128202787, 694368, 15408, -10368, 7200
1708128202798, 694379, 15008, -9840, 6192
1708128202809, 694390, 14784, -9312, 5312
1708128202820, 694401, 11760, -10096, 6016
1708128202831, 694412, 8992, -10112, 5216
1708128202842, 694423, 7344, -10416, 5376
1708128202853, 694434, 6352, -10592, 5328
1708128202864, 694445, 5888, -10080, 4480
1708128202875, 694456, 5840, -9408, 4016
1708128202885, 694467, 6048, -8592, 3776
1708128202895, 694478, 6080, -7616, 3360
1708128202906, 694489, 7008, -6960, 2912
1708128202919, 694500, 7312, -7488, 3008
1708128202930, 694511, 6960, -8064, 2928
1708128202939, 694522, 6544, -8416, 3120
1708128202952, 694533, 5664, -8352, 3392
1708128202963, 694544, 5264, -8016, 3536
1708128202974, 694555, 5152, -7504, 3664
1708128202985, 694566, 5120, -6992, 3520
1708128202996, 694577, 5168, -6992, 3440
1708128203007, 694588, 5344, -7056, 3968
1708128203018, 694599, 5312, -7280, 4128
1708128203029, 694610, 4880, -7968, 4464
1708128203040, 694621, 4880, -8304, 4656
1708128203051, 694632, 4960, -8352, 4640
1708128203062, 694643, 5456, -7760, 4288
1708128203073, 694654, 5568, -6400, 3744
1708128203084, 694665, 5360, -5376, 3360
1708128203095, 694676, 5264, -4960, 2960
1708128203106, 694687, 5264, -4800, 3456
1708128203117, 694698, 5440, -4944, 3952
1708128203128, 694709, 5344, -5216, 4432
1708128203139, 694720, 5392, -5072, 4432
1708128203150, 694731, 5472, -4816, 4176
1708128203161, 694742, 5600, -4368, 3888
1708128203172, 694753, 5648, -3920, 3664
1708128203183, 694764, 5664, -3376, 3520
1708128203194, 694775, 5760, -3296, 3584
1708128203205, 694786, 5760, -3504, 3792
1708128203216, 694797, 5760, -3456, 4384
1708128203227, 694808, 5728, -3440, 4528
1708128203238, 694819, 5680, -3264, 4608
1708128203249, 694830, 5600, -2944, 4752
1708128203260, 694841, 5696, -2768, 5008
1708128203271, 694852, 5664, -2464, 4960
1708128203282, 694863, 5600, -2288, 5120
1708128203293, 694874, 5552, -2224, 5424
