Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708127836985, 328552, 1744, 7248, 32
1708127836995, 328563, 1872, 7376, -176
1708127837007, 328574, 1984, 7328, -400
1708127837018, 328585, 2064, 7168, -528
1708127837029, 328596, 1712, 7040, -480
1708127837040, 328607, 1536, 6960, -512
1708127837051, 328618, 1472, 6912, -656
1708127837062, 328629, 1648, 6992, -448
1708127837073, 328640, 1712, 7152, -480
1708127837084, 328651, 1856, 7152, -352
1708127837095, 328662, 1904, 7168, -384
1708127837106, 328673, 2064, 7392, -432
1708127837117, 328684, 2128, 7424, -448
1708127837127, 328695, 2144, 7440, -352
1708127837139, 328706, 2192, 7392, -640
1708127837150, 328717, 1952, 7328, -704
1708127837161, 328728, 2064, 7280, -912
1708127837172, 328739, 2240, 7456, -656
1708127837181, 328750, 2624, 7648, -624
1708127837194, 328761, 3008, 7968, -640
1708127837205, 328772, 3152, 8000, -688
1708127837216, 328783, 2896, 7680, -1248
1708127837227, 328794, 2896, 7264, -1696
1708127837238, 328805, 2112, 6960, -1936
1708127837249, 328816, 1760, 6560, -2112
1708127837260, 328827, 1632, 6240, -2128
1708127837271, 328838, 1472, 6000, -2176
1708127837282, 328849, 1584, 5744, -2448
1708127837293, 328860, 1648, 5504, -2448
1708127837304, 328871, 1664, 5056, -2688
1708127837313, 328882, 1632, 4288, -2832
1708127837326, 328893, 1200, 3488, -2576
1708127837337, 328904, 736, 2720, -2464
1708127837348, 328915, 656, 2064, -2416
1708127837357, 328926, -336, 1568, -2528
1708127837370, 328937, -784, 1120, -3104
1708127837381, 328948, -976, 768, -3344
1708127837390, 328959, -1184, 304, -3216
1708127837401, 328970, -1296, -528, -2256
1708127837413, 328981, -1520, -1408, -1392
1708127837423, 328992, -1504, -1888, -80
1708127837436, 329003, -1408, -2672, 400
1708127837445, 329014, -2560, -3632, 560
1708127837458, 329025, -3488, -5040, 560
1708127837469, 329036, -4544, -6096, 688
1708127837480, 329047, -5088, -7120, 1216
1708127837491, 329058, -5168, -8208, 1968
1708127837502, 329069, -5168, -9136, 3008
1708127837512, 329080, -5984, -10800, 4832
1708127837522, 329091, -6208, -13040, 8096
1708127837534, 329102, -8800, -14640, 10608
1708127837546, 329113, -9408, -15488, 13216
1708127837556, 329124, -9536, -15440, 14240
1708127837566, 329135, -9072, -15312, 14144
1708127837578, 329146, -8608, -16656, 14448
1708127837588, 329157, -8432, -18672, 15904
1708127837599, 329168, -8112, -20720, 18080
1708127837610, 329179, -7904, -22304, 19984
1708127837622, 329190, -5840, -22960, 20848
1708127837631, 329201, -4192, -23584, 22304
1708127837644, 329212, -3888, -23120, 22672
1708127837655, 329223, -1664, -24928, 22464
1708127837665, 329234, 416, -26512, 22480
1708127837677, 329245, 1216, -28656, 23328
1708127837687, 329256, 2304, -30704, 24512
1708127837699, 329267, 6512, -32448, 25696
1708127837709, 329278, 9712, -32624, 26848
1708127837721, 329289, 13920, -32624, 28208
1708127837731, 329300, 14400, -32624, 29248
1708127837743, 329311, 27184, -32624, 31760
1708127837753, 329322, 32480, -27808, 32624
1708127837765, 329333, 32640, -16544, 32608
1708127837775, 329344, 30240, -6464, 23632
1708127837787, 329355, 20816, -8336, 17856
1708127837797, 329366, 17488, -11952, 18032
1708127837810, 329377, 14320, -12128, 16512
1708127837820, 329388, 13600, -11376, 15024
1708127837831, 329399, 13248, -10208, 15296
1708127837841, 329410, 15440, -6768, 15040
1708127837853, 329421, 15984, -2720, 14064
1708127837863, 329432, 16672, 240, 11920
1708127837876, 329443, 13808, 1312, 8960
1708127837885, 329454, 10992, 912, 7328
1708127837897, 329465, 7808, -368, 6208
1708127837907, 329476, 6944, -2464, 5392
1708127837920, 329487, 1904, -3728, 5776
1708127837931, 329498, 1120, -4128, 6752
1708127837942, 329509, 1056, -3696, 7344
1708127837953, 329520, 1776, -2464, 7840
1708127837964, 329531, 3056, -624, 8400
1708127837974, 329542, 3488, 816, 8416
1708127837986, 329553, 3488, 1680, 8080
1708127837997, 329564, 3136, 2096, 7472
1708127838008, 329575, 2400, 2000, 6752
1708127838019, 329586, 1248, 1440, 6784
1708127838030, 329597, 928, 768, 6624
1708127838041, 329608, -528, 512, 6560
1708127838052, 329619, -816, 592, 6240
1708127838061, 329630, -848, 816, 5952
1708127838074, 329641, -816, 1104, 6064
1708127838085, 329652, -800, 1568, 6480
1708127838096, 329663, -864, 1872, 6784
1708127838107, 329674, -864, 1792, 7168
1708127838118, 329685, -864, 1648, 7312
1708127838129, 329696, -1248, 1536, 7120
1708127838140, 329707, -1280, 1184, 7296
1708127838151, 329718, -1248, 1648, 7376
1708127838162, 329729, -1248, 1664, 7776
1708127838173, 329740, -1376, 1936, 6864
1708127838184, 329751, -1424, 1664, 6464
1708127838193, 329762, -1504, 1264, 6384
1708127838206, 329773, -1584, 656, 6832
1708127838217, 329784, -1872, 384, 6880
1708127838228, 329795, -1776, 480, 6352
1708127838238, 329806, -1792, 240, 6512
1708127838250, 329817, -1968, 672, 6704
1708127838261, 329828, -1568, 1088, 7040
1708127838272, 329839, -960, 1280, 6928
1708127838282, 329850, -496, 1952, 6912
1708127838294, 329861, -224, 2304, 6896
1708127838305, 329872, -272, 2512, 7056
1708127838316, 329883, -576, 2368, 7120
1708127838327, 329894, -800, 1696, 7552
1708127838338, 329905, -1760, 1136, 8048
1708127838349, 329916, -1984, 848, 8624
1708127838358, 329927, -1600, 992, 8720
1708127838371, 329938, -1072, 1536, 8640
1708127838382, 329949, -352, 2240, 8736
1708127838393, 329960, 176, 2448, 8720
1708127838402, 329971, 496, 2816, 8896
1708127838415, 329982, 416, 2880, 8976
1708127838426, 329993, 288, 2496, 9008
1708127838437, 330004, 176, 2224, 8560
1708127838448, 330015, 112, 1984, 8272
1708127838459, 330026, 128, 1856, 8368
1708127838470, 330037, 464, 2096, 8224
1708127838481, 330048, 800, 2464, 8112
1708127838492, 330059, 1136, 2720, 7984
1708127838501, 330070, 1264, 2960, 8032
1708127838514, 330081, 1408, 3072, 8128
1708127838525, 330092, 1504, 3200, 8288
1708127838536, 330103, 1392, 3168, 8480
1708127838545, 330114, 1152, 2928, 8656
1708127838558, 330125, 944, 2496, 8528
1708127838569, 330136, 720, 2224, 8544
1708127838580, 330147, 528, 2144, 8528
1708127838591, 330158, 608, 2256, 8480
1708127838602, 330169, 896, 2560, 8464
1708127838613, 330180, 1104, 2912, 8464
1708127838624, 330191, 1040, 2976, 8368
1708127838635, 330202, 1056, 2944, 8192
1708127838646, 330213, 992, 2624, 8160
1708127838657, 330224, 928, 2304, 8320
1708127838668, 330235, 640, 2144, 8496
1708127838679, 330246, 720, 2128, 8416
1708127838690, 330257, 832, 2224, 8256
1708127838701, 330268, 880, 2384, 8176
1708127838712, 330279, 720, 2368, 8048
1708127838723, 330290, 880, 2304, 8416
1708127838734, 330301, 832, 2320, 8768
1708127838745, 330312, 736, 2144, 8992
1708127838756, 330323, 608, 1856, 9120
