Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128118707, 610273, 4016, 3408, 6816
1708128118719, 610284, 4272, 3632, 6912
1708128118729, 610295, 4624, 3776, 6880
1708128118739, 610306, 4752, 3936, 6928
1708128118750, 610317, 4848, 4000, 6864
1708128118762, 610328, 4832, 4096, 6768
1708128118773, 610339, 4928, 4048, 6608
1708128118785, 610350, 4848, 4064, 6432
1708128118795, 610361, 4848, 3888, 6448
1708128118806, 610372, 4560, 3744, 6480
1708128118818, 610383, 4544, 3648, 6544
1708128118828, 610394, 4544, 3680, 6560
1708128118838, 610405, 4640, 3744, 6496
1708128118850, 610416, 4608, 3728, 6544
1708128118860, 610427, 4560, 3680, 6416
1708128118872, 610438, 4528, 3744, 6752
1708128118884, 610449, 4544, 3680, 6720
1708128118894, 610460, 4608, 3632, 6944
1708128118906, 610471, 4832, 4112, 6960
1708128118916, 610482, 5360, 4480, 7264
1708128118926, 610493, 5696, 4576, 7216
1708128118938, 610504, 6384, 4864, 7072
1708128118950, 610515, 7104, 5392, 7136
1708128118960, 610526, 7792, 6160, 7152
1708128118972, 610537, 7888, 6640, 6576
1708128118983, 610548, 8288, 6720, 6160
1708128118993, 610559, 8512, 7424, 6128
1708128119004, 610570, 8576, 8064, 6032
1708128119016, 610581, 9504, 8416, 5600
1708128119026, 610592, 9648, 8336, 4768
1708128119036, 610603, 9280, 8144, 4448
1708128119048, 610614, 8768, 7904, 4320
1708128119060, 610625, 8672, 7920, 4272
1708128119070, 610636, 7696, 7712, 3952
1708128119082, 610647, 7088, 7312, 3888
1708128119092, 610658, 7056, 6976, 4128
1708128119103, 610669, 5936, 6608, 4272
1708128119113, 610680, 5184, 5984, 4048
1708128119125, 610691, 4224, 5168, 3424
1708128119137, 610702, 3136, 4320, 2992
1708128119148, 610713, 1712, 3616, 2464
1708128119158, 610724, 640, 3040, 1872
1708128119168, 610735, -96, 2896, 1088
1708128119179, 610746, -240, 3024, 976
1708128119191, 610757, -640, 3232, 752
1708128119201, 610768, -896, 3648, 224
1708128119213, 610779, -1232, 3504, -208
1708128119225, 610790, -1440, 3264, -368
1708128119235, 610801, -1744, 2336, 16
1708128119247, 610812, -1984, 1792, 368
1708128119258, 610823, -1616, 1280, 1072
1708128119269, 610834, -1296, -64, 2400
1708128119279, 610845, -1376, -1392, 3648
1708128119292, 610856, -1936, -3520, 4544
1708128119302, 610867, -2128, -4672, 6016
1708128119314, 610878, -3456, -5536, 8080
1708128119324, 610889, -4784, -6896, 10272
1708128119334, 610900, -5872, -8272, 9744
1708128119347, 610911, -7248, -10064, 9152
1708128119358, 610922, -7616, -11744, 11120
1708128119367, 610933, -7776, -10832, 11872
1708128119380, 610944, -6112, -10192, 10528
1708128119391, 610955, -5696, -9920, 8656
1708128119402, 610966, -4800, -9152, 8160
1708128119413, 610977, -4272, -8544, 8416
1708128119424, 610988, -4992, -8592, 8768
1708128119435, 610999, -6432, -8912, 8832
1708128119446, 611010, -7504, -9200, 8608
1708128119455, 611021, -7280, -9200, 8480
1708128119466, 611032, -5776, -8352, 8816
1708128119479, 611043, -5280, -7120, 9168
1708128119490, 611054, -4560, -6416, 8864
1708128119501, 611065, -4624, -6016, 8288
1708128119512, 611076, -4560, -5792, 8080
1708128119523, 611087, -3936, -5344, 7936
1708128119534, 611098, -4112, -4512, 8080
1708128119543, 611109, -4848, -4608, 7824
1708128119556, 611120, -5392, -4848, 7344
1708128119567, 611131, -5392, -4272, 6272
1708128119578, 611142, -4064, -3472, 5728
1708128119589, 611153, -3344, -2800, 6080
1708128119600, 611164, -3296, -2480, 6496
1708128119611, 611175, -4064, -2528, 6608
1708128119622, 611186, -4400, -2848, 6160
1708128119633, 611197, -4192, -2640, 5264
1708128119644, 611208, -3856, -2336, 4928
1708128119655, 611219, -3824, -2064, 4960
1708128119666, 611230, -4064, -2400, 5008
1708128119677, 611241, -4176, -2304, 4288
1708128119687, 611252, -4080, -1536, 3936
1708128119697, 611263, -3488, -1536, 3648
1708128119710, 611274, -3296, -1616, 3296
1708128119721, 611285, -3280, -1408, 3168
1708128119732, 611296, -2800, -1232, 3040
1708128119742, 611307, -2720, -992, 2544
1708128119751, 611318, -2336, -544, 2320
1708128119764, 611329, -2176, -464, 2128
1708128119773, 611340, -2288, -496, 2000
1708128119785, 611351, -1792, -864, 1712
1708128119798, 611362, -1568, -1136, 1296
1708128119808, 611373, -1296, -848, 896
1708128119819, 611384, 640, -64, 352
1708128119830, 611395, 2080, 416, -192
1708128119839, 611406, 3648, 1072, -272
1708128119852, 611417, 4448, 1056, -784
