Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708127971901, 463467, 5664, 3088, 4624
1708127971912, 463478, 5648, 3104, 4704
1708127971923, 463489, 5792, 3200, 4688
1708127971934, 463500, 5696, 3184, 4528
1708127971945, 463511, 5712, 3072, 4432
1708127971956, 463522, 5776, 2944, 4432
1708127971965, 463533, 5536, 2880, 4464
1708127971978, 463544, 5424, 2720, 4736
1708127971989, 463555, 5408, 2688, 4512
1708127972000, 463566, 5392, 2768, 4672
1708127972011, 463577, 5456, 2832, 4640
1708127972022, 463588, 5552, 2976, 4544
1708127972033, 463599, 5680, 3040, 4816
1708127972044, 463610, 5776, 3120, 4592
1708127972055, 463621, 5680, 3088, 4512
1708127972066, 463632, 5664, 3088, 4544
1708127972077, 463643, 5632, 3104, 4464
1708127972088, 463654, 5472, 3104, 4384
1708127972099, 463665, 5344, 3136, 4384
1708127972110, 463676, 5248, 3136, 4240
1708127972121, 463687, 5072, 3200, 4240
1708127972132, 463698, 4976, 3408, 4128
1708127972143, 463709, 4816, 3616, 3936
1708127972154, 463720, 4720, 3952, 3728
1708127972163, 463731, 4496, 4176, 3536
1708127972174, 463742, 4368, 4432, 3392
1708127972187, 463753, 4112, 4752, 3104
1708127972198, 463764, 4176, 4832, 3056
1708127972209, 463775, 4224, 4944, 3216
1708127972220, 463786, 4144, 4912, 3408
1708127972231, 463797, 4336, 5200, 3280
1708127972242, 463808, 4592, 5728, 3456
1708127972253, 463819, 4592, 6528, 4096
1708127972264, 463830, 6032, 7232, 4912
1708127972275, 463841, 7648, 7648, 6096
1708127972286, 463852, 8816, 7680, 7184
1708127972296, 463863, 10064, 7840, 7888
1708127972306, 463874, 11152, 7984, 7488
1708127972318, 463885, 12112, 7840, 6832
1708127972330, 463896, 12752, 7744, 5280
1708127972339, 463907, 13008, 7952, 4400
1708127972350, 463918, 14560, 8352, 4288
1708127972361, 463929, 15264, 8496, 5792
1708127972372, 463940, 15792, 8528, 7168
1708127972383, 463951, 15792, 8144, 8160
1708127972395, 463962, 14640, 7488, 9120
1708127972405, 463973, 13936, 6976, 9536
1708127972417, 463984, 13408, 6224, 9776
1708127972429, 463995, 13264, 5392, 10352
1708127972439, 464006, 13024, 4832, 10384
1708127972449, 464017, 12880, 4528, 9744
1708127972461, 464028, 12960, 4432, 9248
1708127972471, 464039, 12992, 4224, 8960
1708127972483, 464050, 12896, 4096, 8928
1708127972493, 464061, 12880, 3824, 8624
1708127972505, 464072, 12768, 3232, 8720
1708127972515, 464083, 12784, 2416, 8704
1708127972527, 464094, 11616, 1584, 8272
1708127972537, 464105, 10800, 896, 7584
1708127972548, 464116, 10624, 240, 6928
1708127972561, 464127, 8944, -80, 6464
1708127972572, 464138, 8144, -448, 5968
1708127972581, 464149, 7792, -624, 5696
1708127972592, 464160, 7424, -672, 4992
1708127972605, 464171, 6848, -400, 4368
1708127972614, 464182, 6288, -128, 3888
1708127972625, 464193, 5696, -64, 3360
1708127972638, 464204, 5632, -64, 2640
1708127972649, 464215, 5040, -144, 2288
1708127972660, 464226, 5008, -80, 1936
1708127972671, 464237, 4928, 176, 1648
1708127972680, 464248, 4704, 576, 1392
1708127972691, 464259, 4448, 1264, 1040
1708127972704, 464270, 4176, 1552, 1248
1708127972715, 464281, 4112, 1584, 1536
1708127972726, 464292, 4160, 1440, 1872
1708127972737, 464303, 3984, 1424, 1888
1708127972746, 464314, 3488, 1296, 1440
1708127972758, 464325, 3424, 1040, 1136
