Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128048736, 540302, 752, 4672, 6224
1708128048747, 540313, 880, 4672, 6224
1708128048758, 540324, 816, 4720, 6240
1708128048769, 540335, 816, 4752, 6208
1708128048780, 540346, 864, 4800, 6176
1708128048791, 540357, 800, 4752, 6336
1708128048802, 540368, 832, 4784, 6368
1708128048813, 540379, 768, 4848, 6320
1708128048822, 540390, 816, 4864, 6144
1708128048835, 540401, 768, 4896, 6144
1708128048846, 540412, 672, 4816, 6016
1708128048857, 540423, 784, 4848, 6336
1708128048868, 540434, 784, 5008, 6352
1708128048879, 540445, 832, 5200, 6496
1708128048890, 540456, 848, 5296, 6272
1708128048901, 540467, 816, 5360, 6192
1708128048910, 540478, 880, 5536, 6064
1708128048921, 540489, 896, 5552, 6224
1708128048932, 540500, 896, 5600, 6096
1708128048945, 540511, 928, 5696, 6080
1708128048956, 540522, 912, 5664, 6112
1708128048967, 540533, 944, 5568, 5760
1708128048977, 540544, 1024, 5360, 5744
1708128048987, 540555, 640, 5072, 5552
1708128049000, 540566, 640, 4816, 4832
1708128049011, 540577, 848, 4608, 4512
1708128049021, 540588, 1072, 4368, 4080
1708128049031, 540599, 1136, 4304, 3584
1708128049043, 540610, 1696, 4128, 3024
1708128049053, 540621, 2000, 3984, 1952
1708128049065, 540632, 2112, 3808, 1488
1708128049075, 540643, 2864, 3424, 1232
1708128049087, 540654, 3296, 3056, 1152
1708128049097, 540665, 3728, 3136, 1232
1708128049109, 540676, 4096, 3296, 1696
1708128049119, 540687, 4752, 3536, 2432
1708128049131, 540698, 4976, 3664, 2864
1708128049141, 540709, 5136, 3680, 3440
1708128049152, 540720, 5184, 3776, 3600
1708128049163, 540731, 5696, 3760, 3824
1708128049174, 540742, 5888, 3728, 4560
1708128049186, 540753, 6032, 3808, 4928
1708128049197, 540764, 6176, 3584, 5120
1708128049207, 540775, 6896, 3616, 6256
1708128049219, 540786, 7360, 3712, 7568
1708128049229, 540797, 7456, 3744, 8352
