Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128078886, 570453, 5760, 3968, 4464
1708128078897, 570464, 6272, 4016, 4528
1708128078909, 570475, 6704, 4128, 4272
1708128078919, 570486, 7088, 4192, 4000
1708128078931, 570497, 7392, 4256, 3904
1708128078941, 570508, 7552, 4096, 4112
1708128078953, 570519, 7840, 3904, 4288
1708128078963, 570530, 7984, 3920, 4496
1708128078975, 570541, 8128, 3984, 4688
1708128078985, 570552, 8064, 3904, 4736
1708128078997, 570563, 8128, 3872, 4624
1708128079007, 570574, 8336, 3968, 4448
1708128079019, 570585, 8544, 4032, 4240
1708128079029, 570596, 8880, 4048, 4080
1708128079040, 570607, 8896, 4016, 4128
1708128079051, 570618, 8864, 4000, 4128
1708128079063, 570629, 8864, 3872, 4336
1708128079073, 570640, 8608, 3744, 4448
1708128079085, 570651, 8400, 3632, 4336
1708128079096, 570662, 8080, 3504, 4320
1708128079106, 570673, 7632, 3536, 4272
1708128079118, 570684, 7200, 3568, 4080
1708128079130, 570695, 6864, 3312, 3904
1708128079139, 570706, 6592, 3040, 3840
1708128079151, 570717, 6624, 2720, 4160
1708128079163, 570728, 6128, 2656, 4480
1708128079173, 570739, 5920, 2528, 5088
1708128079183, 570750, 5824, 2656, 5072
1708128079195, 570761, 5584, 2736, 4832
1708128079206, 570772, 5424, 2528, 4320
1708128079217, 570783, 5616, 2336, 3744
1708128079227, 570794, 5776, 2096, 3072
1708128079239, 570805, 5888, 1712, 2560
1708128079251, 570816, 5856, 1520, 2672
1708128079261, 570827, 5952, 1216, 2848
1708128079271, 570838, 5776, 864, 3408
1708128079282, 570849, 6400, 880, 3952
1708128079294, 570860, 7088, 1088, 4256
1708128079304, 570871, 7584, 1248, 4208
1708128079317, 570882, 8192, 1184, 3632
1708128079327, 570893, 8608, 1040, 2560
1708128079337, 570904, 8832, 752, 2368
1708128079349, 570915, 9024, 448, 2640
1708128079361, 570926, 8960, -160, 3488
1708128079371, 570937, 9344, -672, 4384
1708128079383, 570948, 9728, -992, 4864
1708128079393, 570959, 9824, -1216, 5040
1708128079405, 570970, 11168, -1440, 4928
1708128079415, 570981, 11984, -1536, 4768
1708128079427, 570992, 12656, -1568, 4416
1708128079437, 571003, 13392, -2080, 3696
1708128079450, 571014, 13776, -2656, 2624
1708128079459, 571025, 15888, -2704, 2688
1708128079471, 571036, 16528, -2240, 3632
1708128079481, 571047, 16544, -1952, 4064
1708128079493, 571058, 16608, -2016, 4432
1708128079503, 571069, 16352, -2832, 4592
1708128079514, 571080, 16224, -3696, 5056
1708128079526, 571091, 16480, -4976, 5072
1708128079536, 571102, 17536, -5760, 4640
1708128079548, 571113, 18560, -5472, 4320
1708128079558, 571124, 19408, -4656, 4192
1708128079570, 571135, 19648, -4160, 5200
1708128079580, 571146, 19216, -4352, 6480
1708128079592, 571157, 17952, -5376, 8448
1708128079602, 571168, 16928, -6560, 9424
1708128079614, 571179, 15456, -7600, 8960
1708128079624, 571190, 13504, -8848, 7808
1708128079635, 571201, 12272, -10288, 7472
1708128079648, 571212, 11648, -11136, 7904
1708128079659, 571223, 11552, -12336, 8432
1708128079670, 571234, 10144, -14416, 8320
1708128079680, 571245, 8496, -18000, 7424
1708128079690, 571256, 5088, -20624, 8784
1708128079703, 571267, 2464, -22896, 10784
1708128079712, 571278, -2000, -23520, 12128
1708128079724, 571289, -6224, -22992, 12864
1708128079734, 571300, -10704, -23200, 13600
1708128079747, 571311, -12016, -23872, 13184
1708128079756, 571322, -21008, -23808, 11248
1708128079768, 571333, -21648, -22288, 9008
1708128079778, 571344, -21472, -20912, 6320
1708128079791, 571355, -18480, -19568, 4160
1708128079801, 571366, -16432, -17824, 2944
1708128079811, 571377, -15216, -16384, 2848
1708128079824, 571388, -14224, -15056, 3456
1708128079833, 571399, -13072, -13216, 4752
1708128079846, 571410, -11840, -11872, 5456
1708128079857, 571421, -10656, -11008, 5728
1708128079868, 571432, -10496, -10448, 5536
1708128079879, 571443, -8736, -10624, 4816
1708128079890, 571454, -7920, -10496, 4368
1708128079901, 571465, -7120, -10080, 4144
1708128079911, 571476, -6560, -9680, 3952
1708128079921, 571487, -6432, -9872, 3888
1708128079932, 571498, -6592, -11136, 4528
1708128079943, 571509, -6992, -13104, 6112
1708128079956, 571520, -6896, -14624, 7152
1708128079967, 571531, -4736, -14800, 7744
1708128079978, 571542, -2448, -15120, 8960
1708128079988, 571553, 624, -16064, 10160
1708128079998, 571564, 3184, -18704, 11888
1708128080011, 571575, 5680, -21584, 14960
1708128080022, 571586, 7792, -23808, 17264
1708128080033, 571597, 8816, -24672, 19088
1708128080044, 571608, 8848, -26048, 21136
1708128080054, 571619, 11984, -27216, 23024
1708128080064, 571630, 15200, -26928, 25056
1708128080075, 571641, 16512, -26080, 27088
1708128080088, 571652, 27312, -23216, 26736
1708128080099, 571663, 29136, -18464, 23088
1708128080110, 571674, 27056, -14704, 18128
1708128080121, 571685, 24672, -12512, 13232
1708128080130, 571696, 21856, -12240, 12208
1708128080141, 571707, 20496, -13504, 13568
1708128080154, 571718, 19552, -13728, 14640
1708128080164, 571729, 19664, -12608, 14928
1708128080174, 571740, 19456, -11872, 15200
1708128080187, 571751, 19792, -10544, 15568
1708128080198, 571762, 20224, -8736, 15248
1708128080207, 571773, 19920, -6720, 13904
1708128080218, 571784, 18928, -4944, 11840
1708128080231, 571795, 18560, -4864, 10848
1708128080241, 571806, 17632, -5472, 9696
1708128080251, 571817, 17440, -6224, 8560
1708128080263, 571828, 15856, -6736, 8000
1708128080273, 571839, 14768, -6720, 7312
1708128080285, 571850, 14560, -6688, 6992
1708128080294, 571861, 12656, -6624, 7616
1708128080308, 571872, 11952, -6624, 8896
1708128080318, 571883, 11392, -6816, 9072
1708128080328, 571894, 10976, -7328, 8896
1708128080339, 571905, 10944, -8384, 8720
1708128080351, 571916, 9936, -9040, 8112
1708128080361, 571927, 9488, -9200, 6640
1708128080373, 571938, 9360, -9392, 5680
1708128080382, 571949, 8784, -9824, 5120
1708128080396, 571960, 8640, -10432, 4768
1708128080406, 571971, 8912, -11008, 4768
1708128080416, 571982, 9072, -11552, 4896
1708128080429, 571993, 9216, -13200, 5296
1708128080439, 572004, 9072, -14560, 5872
1708128080449, 572015, 8688, -15728, 6224
1708128080461, 572026, 8432, -16544, 6608
1708128080470, 572037, 8416, -16480, 6992
1708128080482, 572048, 8240, -15776, 6992
1708128080494, 572059, 7504, -15040, 6304
1708128080504, 572070, 6496, -14256, 5248
1708128080516, 572081, 6096, -14608, 3136
1708128080525, 572092, 6480, -15712, 2016
1708128080538, 572103, 6992, -17344, 2880
1708128080549, 572114, 6992, -19568, 4112
1708128080561, 572125, 7152, -21616, 5328
1708128080571, 572136, 7040, -25120, 6416
1708128080581, 572147, 6960, -27968, 6672
1708128080593, 572158, 4336, -29888, 8384
1708128080603, 572169, -864, -32432, 10144
1708128080615, 572180, -6016, -31232, 12480
1708128080625, 572191, -11840, -28976, 14672
1708128080636, 572202, -13184, -25344, 16864
1708128080649, 572213, -17280, -22352, 17184
1708128080660, 572224, -14640, -20032, 16112
1708128080671, 572235, -13584, -17024, 15296
1708128080681, 572246, -4880, -14384, 15008
1708128080691, 572257, -1984, -11408, 12832
1708128080704, 572268, -1328, -9856, 10864
1708128080713, 572279, -1424, -8240, 9456
1708128080725, 572290, -1840, -6304, 8672
1708128080736, 572301, -1920, -4832, 9104
1708128080746, 572312, -1872, -3904, 10048
1708128080758, 572323, -1952, -3536, 9824
1708128080768, 572334, -2400, -3520, 8544
1708128080780, 572345, -2624, -3776, 6976
1708128080790, 572356, -2416, -3856, 6368
1708128080801, 572367, -1856, -3488, 6368
1708128080811, 572378, -1296, -2736, 6544
1708128080823, 572389, -912, -2304, 6880
1708128080834, 572400, -720, -2048, 7520
1708128080844, 572411, -656, -1920, 7744
1708128080857, 572422, -944, -1744, 7808
1708128080867, 572433, -928, -1488, 8352
1708128080877, 572444, -896, -1328, 8928
1708128080889, 572455, -432, -880, 9424
1708128080899, 572466, -336, -752, 9472
1708128080911, 572477, -224, -1008, 9120
1708128080923, 572488, -256, -1216, 8448
1708128080933, 572499, -432, -992, 8112
1708128080943, 572510, -352, -960, 8080
1708128080955, 572521, -208, -992, 7904
1708128080965, 572532, -112, -992, 7824
1708128080977, 572543, -448, -1152, 7744
1708128080989, 572554, -1232, -1488, 8096
1708128080999, 572565, -1696, -1648, 8336
1708128081011, 572576, -1984, -1760, 8432
1708128081021, 572587, -1856, -1744, 8528
1708128081033, 572598, -1376, -1760, 8608
1708128081043, 572609, -896, -1328, 8448
